Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104)
0.0,0.0006651577600000001,0.2,0.0,0.00195755928768,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.196497246960753e-25,0.0006651577600000001,0.2,0.0,0.0019575592876799955,0.2,0.2,0.2,0.2,2.9653830976023827e-46,8.726861313134188e-39,-1.6061444411468294e-116,2.5552258834346747e-150,6.584189025240587e-19,1.0032243894732853e-23,1.065236189609168e-40,2.581079326589672e-18,1.3799953857565767e-18,1.1009267482132062e-20,4.9519117200779806e-51,7.80445472848822e-45,7.804270489936818e-45,9.394868761207618e-57,3.952424143776169e-64,7.031105690572716e-90,1.6661606043734564e-82,-1.6375506405900692e-107,-1.9552824436041795e-145,8.030400011271556e-90,-1.7377576513193107e-122,-6.146768350014604e-137,2.260288295578029e-117,3.167637707419885e-142,3.0301001888027323e-154,2.5510474030088815e-152,6.380578086767448e-185,2.9801666561612563e-148,-3.581546450872669e-120
2.295019229149011e-24,0.0006651577600000001,0.2,0.0,0.001957559287679987,0.2,0.2,0.2,0.2,8.303072673286673e-46,2.443521167677573e-38,1.5980467804322017e-115,4.199843525894004e-149,1.8435729270673538e-18,2.809028290525183e-23,6.4340265852500845e-40,7.227022114450364e-18,3.863987080118387e-18,3.0825948949966405e-20,7.48332945592101e-50,4.714335678169147e-44,4.714057255301119e-44,5.674500731497132e-56,2.38726428590624e-63,1.0669294594346495e-88,2.519964202843039e-81,1.6202368670896283e-106,3.799245300826267e-144,1.381123612068089e-88,1.7289816786871921e-121,1.845304713426487e-135,6.399770053049401e-116,5.205503247891526e-141,3.7886144903903194e-153,3.18964210900594e-151,1.2218428736780795e-183,8.346355080715439e-147,3.5634589944975537e-119
5.245758238054882e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799703,0.2,0.2,0.2,0.2,1.8978451824655248e-45,5.585191240405881e-38,8.882101628542951e-114,1.267251868138888e-146,4.213880976153904e-18,6.420636092628915e-23,3.0977068393992045e-39,1.651890769016887e-17,8.831970468841888e-18,7.045931188562155e-20,8.050224376882167e-49,2.27019025327931e-43,2.2698907381284704e-43,2.7320278353507713e-55,1.1493652138452522e-62,1.157515669347309e-87,2.7154494203100914e-80,8.950066627624769e-105,4.043126770424248e-142,1.8584656721382373e-87,9.609737042916378e-120,2.39868919733086e-133,1.4035805832589724e-114,1.5707603936631123e-138,1.5079582905382207e-151,1.2695530976628324e-149,4.509523012510763e-181,2.0532807311381727e-144,1.9805822324773867e-117
1.1147236255866625e-23,0.0006651577600000001,0.2,0.0,0.001957559287679937,0.2,0.2,0.2,0.19999999999999998,4.032921012739241e-45,1.1868531385862496e-37,3.5538351758707978e-112,2.440694030671412e-144,8.954497074326842e-18,1.3643851696836137e-22,1.352849960819763e-38,3.510267884159437e-17,1.876793724628842e-17,1.497260377568778e-19,7.399543136547869e-48,9.918364623563e-43,9.915611561387422e-43,1.1931483322513498e-54,5.019583943834555e-62,1.0819358474350417e-86,2.5044142750107094e-79,3.5341542514589444e-103,3.247636108887135e-140,2.394738650530152e-86,3.844878642006003e-118,2.0908452573903536e-131,2.6445880740658096e-113,3.0252712056090077e-136,5.557456978186501e-150,4.678834133579617e-148,1.1747029140798349e-178,3.4978118560008055e-142,7.924356608699172e-116
2.295019229149011e-23,0.0006651577600000001,0.2,0.0,0.00195755928767987,0.2,0.19999999999999998,0.2,0.19999999999999996,8.303072673286671e-45,2.443521167677572e-37,1.2968182314556882e-110,3.858830923622218e-142,1.8435729270672072e-17,2.8090282905249583e-22,5.647882277452244e-38,7.227022114439936e-17,3.863987080117959e-17,3.082594894991742e-19,6.330464940705809e-47,4.1439328735488995e-42,4.141577570186765e-42,4.981159413394121e-54,2.0955844774138318e-61,9.563979535209241e-86,2.1570418777467213e-78,1.2569923265234787e-101,2.3753869455183308e-138,3.223945546297046e-85,1.4029576088268657e-116,1.5841037271084295e-129,4.691783159174749e-112,4.783087848441688e-134,1.9541579765912993e-148,1.6452095048454763e-146,2.8215175546076225e-176,5.259548827971306e-140,2.8915181554315577e-114
4.655610436273708e-23,0.0006651577600000001,0.2,0.0,0.0019575592876797366,0.2,0.19999999999999996,0.2,0.19999999999999987,1.684337599438153e-44,4.9568572258602155e-37,4.633429608276127e-109,5.6850733124055585e-140,3.739819366335994e-17,5.698314532207256e-22,2.3073441962630662e-37,1.4660530574982517e-16,7.838373791095435e-17,6.253263929829023e-19,5.2341508321823706e-46,1.695554894329342e-41,1.6936074837231087e-41,2.0349661499368413e-53,8.56126209070238e-61,8.416740490673503e-85,1.8074034363874567e-77,4.278718108055164e-100,1.69756401886179e-136,4.6092868462216485e-84,5.01223593770384e-115,1.1492702298944279e-127,8.261675152561438e-111,7.046766839519461e-132,6.874977031511054e-147,5.7880568988419664e-145,6.973915753709892e-174,7.625419657063854e-138,1.0330298734901399e-112
9.376792850523102e-23,0.0006651577600000001,0.2,0.0,0.00195755928767947,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,3.392398263657123e-44,9.983529342225494e-37,1.7003150345158512e-107,8.364633941084673e-138,7.532312244872536e-17,1.1476887015570274e-21,9.326654154401943e-37,2.9527547495994038e-16,1.5787147213047359e-16,1.2594601999468999e-18,4.25632453015191e-45,6.874909085758585e-41,6.859073065790174e-41,8.225658527685473e-53,3.4607878256520723e-60,7.672373878371356e-84,1.5086538011723903e-76,1.4391750816270401e-98,1.2438126821541806e-134,6.909716457330594e-83,1.8390610315363032e-113,8.463076865660592e-126,1.503284271057122e-109,1.0368172644725885e-129,2.5150759304337932e-145,2.1174474508839375e-143,1.8429201687751363e-171,1.1268833447558569e-135,3.790334309375786e-111
1.881915767902189e-22,0.0006651577600000001,0.2,0.0,0.0019575592876789364,0.19999999999999996,0.1999999999999997,0.2,0.19999999999999943,6.808519592095061e-44,2.003687357495603e-36,6.68230260183032e-106,1.2934017050850502e-135,1.5117298001941483e-16,2.3034031982290015e-21,3.7502066157795015e-36,5.926158133772251e-16,3.16846940569391e-16,2.5277278138610605e-18,3.4328799295089527e-44,2.7814234798573987e-40,2.7686511568999616e-40,3.3075011054024063e-52,1.3918741876509914e-59,7.524208069450876e-83,1.279538468903071e-75,4.897769849278695e-97,9.744820927717192e-133,1.0674623035544138e-81,7.226008673863052e-112,6.629211917301891e-124,2.9367927429037115e-108,1.6032109875525462e-127,9.931191698725653e-144,8.361090133401814e-142,5.321077217381626e-169,1.7765274508205807e-133,1.4892919865281742e-109
3.7703887336019465e-22,0.0006651577600000001,0.2,0.0,0.0019575592876778696,0.19999999999999987,0.1999999999999994,0.2,0.19999999999999885,1.364076224897092e-43,4.014356204041701e-36,2.909236127070585e-104,2.18959706736133e-133,3.028726951606284e-16,4.61483219157043e-21,1.5040005853466264e-35,1.1872964902000112e-15,6.347978774467414e-16,5.0642630416340445e-18,2.7574758473951876e-43,1.1291530277219955e-39,1.1188936052424232e-39,1.3264558661907626e-51,5.587031632166168e-59,8.193617168508796e-82,1.1286108239630583e-74,1.729144872152212e-95,8.448855804955334e-131,1.6782600092819145e-80,3.145052082569339e-110,5.739600195924017e-122,6.362416781210229e-107,2.714087954799872e-125,4.363259982049306e-142,3.6734372965593585e-140,1.716326640848629e-166,3.0963677584305967e-131,6.482002806770847e-108
