Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123)
8.983135182277674e-22,0.0004434385066666667,0.2,0.0,0.0013050395251158564,0.19999999999999973,0.1999999999999988,0.2,0.1999999999999977,3.400852436202447e-58,6.126454603266706e-46,6.247760009204763e-111,3.4033060704272166e-143,5.89191263936939e-16,1.355008200527437e-22,2.6875778341877985e-39,2.3096988633133596e-15,1.2348907371153584e-15,9.85172843161865e-18,1.0404366914947774e-45,4.0620584530091996e-41,1.0656336896814379e-41,3.9363460458307135e-61,3.119301971294741e-65,2.550197081859524e-88,3.072115030932043e-85,4.8468712014555964e-105,4.9827689492907294e-145,6.0166708473331746e-86,1.6978783329080087e-119,3.4214382803527576e-130,2.9149577240407267e-121,7.457557167807188e-134,1.146894806973318e-158,1.1788049682020538e-153,9.149208318333752e-179
1.7974074999813627e-21,0.0004434385066666667,0.2,0.0,0.0013050395251117091,0.19999999999999943,0.19999999999999754,0.2,0.1999999999999954,6.804659566093997e-58,1.225823192990708e-45,2.9438937887409445e-108,6.404300929250225e-140,1.1788944229722152e-15,2.711193645353141e-22,1.075731539148859e-38,4.621404415420602e-15,2.4708543593141816e-15,1.971201613792341e-17,8.331931844774395e-45,2.9958784734239265e-40,5.963086174406708e-41,1.5755642163441145e-60,9.18472817743234e-64,3.003198058984258e-86,4.858818133618042e-84,3.067034229172512e-103,4.694687039840138e-142,7.085434603002504e-84,8.000264929187395e-117,4.1007543645155416e-127,6.863570476053299e-119,1.4033542476457574e-130,5.404816570031178e-156,5.555195285430256e-151,2.382927064632304e-174
3.595595463488553e-21,0.0004434385066666667,0.2,0.0,0.0013050395251034148,0.19999999999999885,0.19999999999999507,0.19999999999999998,0.19999999999999077,1.3612273825876974e-57,2.4521786583187364e-45,1.441798494840761e-105,1.2533644750886734e-136,2.3583007410277725e-15,5.423564534970071e-22,4.304327381631152e-38,9.244815519474585e-15,4.9427816036960626e-15,3.943259154201167e-17,6.668922450465225e-44,2.295095467944848e-39,3.744672846762076e-40,6.304308786440372e-60,2.811362077929458e-62,3.6766065064028235e-84,7.771619756552594e-83,1.9623883422928645e-101,4.597974115886702e-139,8.674205201374568e-82,3.918201807055025e-114,5.733979549301461e-124,1.680247416815419e-116,2.746458012193795e-127,2.6473500035620616e-153,2.7210074692289164e-148,6.876806135356759e-170
7.191971390502933e-21,0.0004434385066666667,0.2,0.0,0.0013050395250868258,0.19999999999999768,0.19999999999999013,0.19999999999999996,0.19999999999998153,2.722750234544245e-57,4.904889588974611e-45,7.214126955656198e-103,2.507095864415149e-133,4.717113377078906e-15,1.0848306314066019e-21,1.7220112494761834e-37,1.8491637726940538e-14,9.886636092396754e-15,7.887374231610317e-17,5.336489080064496e-43,1.7954131693298452e-38,2.5852191985521012e-39,2.522133751521442e-59,8.791775810832399e-61,4.598731571314126e-82,1.2970831667323325e-81,1.309554988489546e-99,4.6009571485026305e-136,1.0849772775699581e-79,1.9604962407421396e-111,9.175255599888945e-121,4.2029788613216695e-114,5.4937200319748085e-124,1.3247091211674443e-150,1.3615666260666927e-145,2.1070594372671633e-165
1.4384723244531694e-20,0.0004434385066666667,0.2,0.0,0.001305039525053648,0.19999999999999532,0.19999999999998025,0.19999999999999987,0.19999999999996304,5.445795938457148e-57,9.810311450285626e-45,3.6506198648614234e-100,5.0732182402734214e-130,9.434738648941244e-15,2.1697789871706253e-21,6.8886057266308106e-37,3.6985282139304385e-14,1.9774345069545865e-14,1.5775604372794603e-16,4.2697317777626436e-42,1.420060756645999e-37,1.9039275540078682e-38,1.0089353953660423e-58,2.7806196450686385e-59,5.817643461976729e-80,2.8007400136395996e-80,1.1281289195815571e-97,4.656420416521266e-133,1.372555038352408e-77,9.920849142684321e-109,1.624366163624634e-117,1.0633654442335753e-111,1.1116782995318579e-120,6.70386535992931e-148,6.890387625020521e-143,6.6698380935074775e-161
2.8770226952589213e-20,0.0004434385066666667,0.2,0.0,0.0013050395249872922,0.1999999999999906,0.1999999999999605,0.1999999999999997,0.19999999999992604,1.0891887346282185e-56,1.9621155172904722e-44,1.8580998571253244e-97,1.0327113340675142e-126,1.8869989191706214e-14,4.339675698478011e-21,2.755554516515045e-36,7.397257095375986e-14,3.9549763022834997e-14,3.155206460062711e-16,3.4160016406469783e-41,1.1295390903643755e-36,1.4574348247189475e-37,4.0359042999395e-58,8.845567365748117e-58,7.402573712616964e-78,1.3756219011151992e-78,2.2052153591997013e-95,4.740496301507738e-130,1.7464878777327328e-75,5.049533793973653e-106,3.0700787912520913e-114,2.706356035275085e-109,2.262947749121569e-117,3.412582960877072e-145,3.5075315683469403e-140,2.1475625494308465e-156
5.754123436870426e-20,0.0004434385066666667,0.2,0.0,0.0013050395248545806,0.19999999999998117,0.19999999999992094,0.1999999999999994,0.19999999999985207,2.1784070161929205e-56,3.924284261813122e-44,9.485242141523216e-95,2.1085520033399966e-123,3.774049027339732e-14,8.679469120210134e-21,1.1022443130780254e-35,1.4794714854158191e-13,7.910059892537685e-14,6.310498483814791e-16,2.7328878021396145e-40,9.010260192273526e-36,1.1396632550373029e-36,1.6143940063142052e-57,2.8221901879807373e-56,9.447104969901586e-76,1.4045706796812787e-76,8.98793827884764e-93,4.843982290595044e-127,2.2288554950516653e-73,2.577689814416187e-103,6.026889349282096e-111,6.913522168242464e-107,4.620403449109094e-114,1.7435867382841737e-142,1.7920987078665791e-137,6.975188544022941e-152
1.1508324920093435e-19,0.0004434385066666667,0.2,0.0,0.0013050395245891577,0.1999999999999623,0.19999999999984183,0.19999999999999876,0.19999999999970414,4.3568435793213e-56,7.848621750853896e-44,4.849197398725591e-92,4.31170127972773e-120,7.548149242142422e-14,1.735905596014379e-20,4.4090227528572826e-35,2.958963035528704e-13,1.5820227071431507e-13,1.262108244406126e-15,2.1863448374608982e-39,7.197766225250591e-35,9.012162619148359e-36,6.457657729925328e-57,9.017556279060669e-55,1.2074203884856471e-73,1.7389339725540665e-74,4.449546092428585e-90,4.9868432414519955e-124,2.848671363037463e-71,1.3178078724355496e-100,1.2077242039308728e-107,1.77935564166337e-104,9.448094916695673e-111,8.975711536913596e-140,9.225443524623343e-135,2.275497823166273e-147
2.301672788653945e-19,0.0004434385066666667,0.2,0.0,0.001305039524058312,0.19999999999992454,0.19999999999968363,0.1999999999999975,0.19999999999940823,8.713716705585403e-56,1.5697296728922083e-43,2.4809141793105367e-89,8.823523178898461e-117,1.5096349665605676e-13,3.4718229625888713e-20,1.763618591053427e-34,5.91794612918025e-13,3.1640561422760937e-13,2.524225001552346e-15,1.7490897073702084e-38,5.754003190487334e-34,7.167669218500902e-35,2.583154370886364e-56,2.8834493262148276e-53,1.544328003586156e-71,2.2151547459791888e-72,2.267141529090459e-87,5.381211556985179e-121,3.643550033644358e-69,6.742081198854339e-98,2.446235796228236e-104,4.800373729948909e-102,1.9334707829956955e-107,4.84514517228209e-137,4.979952020589193e-132,7.4396986240237765e-143
4.603353381943149e-19,0.0004434385066666667,0.2,0.0,0.0013050395229966204,0.19999999999984905,0.1999999999993672,0.199999999999995,0.19999999999881643,1.742746295884815e-55,3.1394646685156955e-43,1.2697279307232216e-86,1.8063289233742228e-113,3.019275048796366e-13,6.943657690088896e-20,7.054496462167087e-34,1.1835912290186447e-12,6.328123009958695e-13,5.048458376232496e-15,1.3992772992726454e-37,4.6014658980873625e-33,5.71730630975077e-34,1.0335355924201527e-55,9.223463890320254e-52,1.9759595887178858e-69,2.8328556143558294e-70,1.1597303888448082e-84,7.789196071420224e-118,4.661932081283205e-67,3.4505865389450686e-95,4.982004937331832e-101,1.7375183833016225e-99,3.958151553509228e-104,3.5157904867645095e-134,3.613610540263781e-129,2.435064275125335e-138
