Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141)
7.794865755351516e-22,0.002771490666666666,0.2,0.0,0.008156497031995977,0.19999999999999973,0.19999999999999882,0.2,0.1999999999999978,5.724992531246044e-50,1.3154032055200595e-40,1.8940157949431708e-110,3.0023977390967945e-141,5.715997237742455e-16,1.6274353113784546e-21,1.0065121409477307e-36,2.240737962450474e-15,1.1980219817364908e-15,9.557584430086392e-18,1.8764825196557249e-44,7.865592933883219e-41,6.502788854038679e-41,8.199335522888838e-56,4.0396795257066515e-64,1.3494799878756942e-87,5.722620085860708e-80,9.764976353983326e-101,7.150751860992246e-140,1.0605957050420339e-85,1.7382598507260597e-117,2.1495586814660252e-129,1.1044798037434492e-115,1.1214370003749905e-132,3.1412077233115637e-152
1.559650376592054e-21,0.002771490666666666,0.2,0.0,0.008156497031991955,0.19999999999999946,0.19999999999999762,0.2,0.19999999999999554,1.1454958991711179e-49,2.631949246144796e-40,5.386735630090418e-108,3.3250822664533564e-138,1.1436960589498003e-15,3.2562845543893277e-21,4.0286716110837905e-36,4.483422699729472e-15,2.39708481662703e-15,1.9123472580977842e-17,1.5027079100114281e-43,3.894443775475607e-40,2.8030954573188494e-40,3.2818709308424534e-55,7.272134747892147e-63,9.61160781977278e-86,7.841284163542713e-79,5.3442732638519246e-99,4.060559572546852e-137,7.59807264282824e-84,4.946906407823814e-115,1.2675697298119039e-126,1.5684737299296978e-113,1.2419641262795791e-129,8.990878501859427e-150
3.119977978705859e-21,0.002771490666666666,0.2,0.0,0.008156497031983907,0.19999999999999887,0.19999999999999524,0.19999999999999998,0.19999999999999105,2.2914891912641246e-49,5.265041327394175e-40,1.8536227287020274e-105,4.525947938405766e-135,2.2878887292986486e-15,6.513983040404644e-21,1.6119934039737224e-35,8.96879217393592e-15,4.7952104864043885e-15,3.825524887811023e-17,1.202775383231605e-42,2.1554042788649763e-39,1.2818836612224811e-39,1.3131757863442376e-54,1.569475877624903e-61,8.274025601859698e-84,1.1492523571804299e-77,3.1299814228807544e-97,2.7926818412723514e-134,6.545056489203868e-82,1.7027215466842598e-112,9.447636893410816e-124,2.697069317511057e-111,1.6905040320663554e-126,3.101629699064287e-147
6.240633182933469e-21,0.002771490666666666,0.2,0.0,0.008156497031967814,0.19999999999999774,0.19999999999999044,0.19999999999999996,0.19999999999998208,4.583475775450059e-49,1.0531225489892548e-39,7.297366749030578e-103,7.07729488553578e-132,4.576274069987302e-15,1.3029380012409568e-20,6.449023289058292e-35,1.7939531120942632e-14,9.591461825944222e-15,7.6518801453773e-17,9.624639881747268e-42,1.3400749721084098e-38,6.410820889935144e-39,5.253557678185158e-54,3.868570234882751e-60,8.146186670976396e-82,1.7544588737594854e-76,1.9101722563819405e-95,2.1978406051981965e-131,6.444337328696912e-80,6.703924478400586e-110,8.60341438908206e-121,5.30688228592996e-109,2.6434673364642002e-123,1.2228426995796332e-144
1.2481943591388687e-20,0.002771490666666666,0.2,0.0,0.008156497031935626,0.19999999999999546,0.19999999999998083,0.19999999999999987,0.19999999999996415,9.167448943821615e-49,2.1063593814887767e-39,3.18231341183239e-100,1.2285200723939492e-128,9.153044751328436e-15,2.606017395631656e-20,2.5798192688653804e-34,3.58810090093313e-14,1.9183964504964364e-14,1.5304590653069053e-16,7.700686750701281e-41,9.183223371528785e-38,3.5905816955411836e-38,2.101593656415561e-53,1.0556394391179096e-58,8.883172207344428e-80,2.739654595387208e-75,1.1927379184220183e-93,1.9162572191366744e-128,7.027397660470286e-78,2.92360648244714e-107,9.544587287492022e-118,1.1568240246222645e-106,4.588692058619821e-120,5.3378958705217896e-142
2.4964564408299126e-20,0.002771490666666666,0.2,0.0,0.008156497031871253,0.19999999999999088,0.19999999999996165,0.1999999999999997,0.19999999999992826,1.8335395280563468e-48,4.212833046487209e-39,1.487989163689925e-97,2.2906131377455886e-125,1.8306586113866006e-14,5.2121761843719154e-20,1.03196970261637e-33,7.176396476360963e-14,3.836896986276653e-14,3.0610011638689356e-16,6.1609393623794094e-40,6.731541640233781e-37,2.2571600878704784e-37,8.406713139367343e-53,3.08724400430263e-57,1.0385421819457887e-77,4.32971880159366e-74,7.538682956138232e-92,1.7916082646743414e-125,8.215828658016862e-76,1.3670347240854382e-104,1.2748088134917425e-114,2.7040730437426372e-104,8.555756272157565e-117,2.4974088941068418e-139
4.992980604212e-20,0.002771490666666666,0.2,0.0,0.008156497031742503,0.19999999999998172,0.1999999999999233,0.1999999999999994,0.1999999999998565,3.667128795404214e-48,8.425780376481629e-39,7.256860204861373e-95,4.4605175216378893e-122,3.6613668838362366e-14,1.0424493761687875e-19,4.1279628255146614e-33,1.435298761821703e-13,7.673898057741844e-14,6.12208534908771e-16,4.9289074792224824e-39,5.139185240609529e-36,1.559590710704518e-36,3.362750824814726e-52,9.414194291090172e-56,1.266329355720085e-75,6.88784122269386e-73,4.796669337938721e-90,1.7472907466709152e-122,1.0017864612624976e-73,6.666986511148322e-102,1.989421867334252e-111,6.593163979431938e-102,1.666064868583772e-113,1.218395691213435e-136
9.986028930976176e-20,0.002771490666666666,0.2,0.0,0.008156497031485004,0.1999999999999634,0.19999999999984655,0.1999999999999988,0.19999999999971296,7.334307330097933e-48,1.6851675036460678e-38,3.622904248395933e-92,8.898872030192117e-119,7.322783428503991e-14,2.0849128915661554e-19,1.6512019520961262e-32,2.870616986593073e-13,1.5347900200291248e-13,1.2244253671904128e-15,3.943188379787379e-38,4.012896795798581e-35,1.1492142556028975e-35,1.3451117362950815e-51,2.93813449796302e-54,1.5805663807344226e-73,1.1029932590624957e-71,3.072255007035908e-88,1.7445058088809611e-119,1.250384849971779e-71,3.3284186562071117e-99,3.476277376457275e-108,1.645691842778245e-99,3.323851545806999e-110,6.083826671270966e-134
1.9972125584504527e-19,0.002771490666666666,0.2,0.0,0.008156497030970008,0.1999999999999268,0.19999999999969306,0.19999999999999757,0.1999999999994259,1.4668664399477311e-47,3.3703464356379646e-38,1.8311778982199743e-89,1.7982545737503007e-115,1.4645616516913445e-13,4.169839922097597e-19,6.604841602161862e-32,5.741253421736449e-13,3.069590448386613e-13,2.448859012705243e-15,3.1545756621516333e-37,3.170889616633683e-34,8.799868956627566e-35,5.380456108281859e-51,9.282846580954302e-53,1.997265173450589e-71,1.8176904349451625e-70,2.0246635326465004e-86,1.7634373185791456e-116,1.5800529814128702e-69,1.6823319682874796e-96,6.5264553525675996e-105,4.158914784521314e-97,6.716729068867433e-107,3.0753333751839453e-131
3.994431889156123e-19,0.002771490666666666,0.2,0.0,0.008156497029940014,0.19999999999985357,0.1999999999993861,0.19999999999999513,0.19999999999885176,2.933737853820384e-47,6.740704299606105e-38,9.314404633379373e-87,3.6578439960612648e-112,2.929128269002811e-13,8.339693982107294e-19,2.6419435195130255e-31,1.148252623442574e-12,6.139191304492025e-13,4.897726227541092e-15,2.5236705123962652e-36,2.5208657934068247e-33,6.882346605906321e-34,2.1521733900818273e-50,2.9513554846855033e-51,2.539832141775126e-69,3.6147048978827196e-69,1.6081553020851322e-84,1.7939340894405816e-113,2.0093280651298365e-67,8.557290483928058e-94,1.2768455167120412e-101,1.0577145405170553e-94,1.366255226301598e-103,1.5643647093005307e-128
