Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150),SX(113),SX(114),SX(156),C2H4X(145),C2H4O(72),CCO(143),SX(136),SX(115)
1.0448830488026918e-21,0.002217192533333333,0.2,0.0,0.006525197625595179,0.19999999999999968,0.1999999999999986,0.2,0.19999999999999735,7.911476316370617e-59,1.4252103378877371e-46,3.806368492644505e-113,5.605987451602639e-146,6.853241676768875e-16,1.5760923897901052e-22,3.6361395855678277e-39,2.6865511217913868e-15,1.4363764678538817e-15,1.1459144085566696e-17,3.2746500885795787e-46,1.2501503816753742e-41,3.070615240123068e-42,1.0651303533376022e-61,2.596023401855884e-66,5.742055415286672e-90,2.2406987948976964e-86,9.565148079207749e-107,3.530800429943494e-147,1.3547210841797643e-87,1.0344107837187689e-121,5.062978819561534e-133,7.633672654150849e-123,1.228534152305085e-136,6.988413751765692e-161,7.182853039583173e-156,3.3496296145736625e-179,4.2914293390409776e-141,2.4230524669071054e-117,6.354847196493532e-158,2.07241272490802e-173,2.5461164884434354e-157,7.001742285766493e-159,1.2834452938857736e-183,6.027300687049675e-153,1.09875808859252e-150,1.0870346862189827e-182,5.924330451506794e-155,6.958854930577961e-165
2.0906739021655945e-21,0.002217192533333333,0.2,0.0,0.006525197625590355,0.19999999999999934,0.19999999999999715,0.2,0.19999999999999465,1.5829826200348748e-58,2.8516589123852396e-46,1.8127378634658387e-110,1.066574508651504e-142,1.3712437516579617e-15,3.153554103981785e-22,1.4554034403196e-38,5.3754363452775705e-15,2.874000873558497e-15,2.292824398322401e-17,2.6223759289433066e-45,9.315759535463832e-41,1.7634004803419012e-41,4.2632970865617515e-61,7.72519283566522e-65,6.834348696670857e-88,3.5485890376158146e-85,6.060979637958697e-105,3.3626533417649657e-144,1.6124254936202e-85,4.926258906832852e-119,6.283004289263864e-130,1.8168580388427946e-120,2.3373641470604458e-133,3.3286740163424687e-158,3.421288023811522e-153,1.0022507517123294e-174,8.178270558546982e-138,1.153950054361102e-114,4.8382632833376494e-154,3.1556259592086537e-169,1.9038019547392616e-153,5.330771902146785e-155,3.880589784085875e-179,2.2934284855554246e-149,4.180848083058965e-147,3.311884291860908e-178,1.4702818638180726e-151,4.665670633919678e-161
4.1822556088913995e-21,0.002217192533333333,0.2,0.0,0.006525197625580707,0.19999999999999865,0.19999999999999427,0.19999999999999998,0.19999999999998927,3.166652596830468e-58,5.704556061380121e-46,8.931643615343775e-108,2.100405130198955e-139,2.743082919616049e-15,6.308477532355815e-22,5.823509518198967e-38,1.0753206792064588e-14,5.7492496849634e-15,4.586644376714554e-17,2.0989636055672397e-44,7.178159697458124e-40,1.133212393398159e-40,1.7058740455322317e-60,2.3787641185444284e-63,8.417241886279713e-86,5.658291089942826e-84,3.866188360582841e-103,3.3144433395148543e-141,1.9858770411825366e-83,2.42724501237503e-116,9.070159965131258e-127,4.476211942544999e-118,4.602971522778073e-130,1.6407668243263709e-155,1.6864180323753913e-150,3.1324387698773784e-170,1.6121475424831256e-134,5.68569286897652e-112,3.8120075902179313e-150,4.9725237387295725e-165,1.4872374250348521e-149,4.200041672021537e-151,1.2188846892469455e-174,9.032817553239284e-146,1.646654183313475e-143,1.0439806462874983e-173,4.244764692745389e-148,3.4261660033648385e-157
8.36541902234301e-21,0.002217192533333333,0.2,0.0,0.006525197625561412,0.1999999999999973,0.19999999999998852,0.19999999999999993,0.1999999999999785,6.3339925504215235e-58,1.1410350359369387e-45,4.4833684113744196e-105,4.215443169578297e-136,5.486761255515979e-15,1.2618324389066559e-21,2.329783016366861e-37,2.150874768489724e-14,1.14997473077559e-14,9.174284328941611e-17,1.679596133252994e-43,5.632693456143154e-39,7.955124303325375e-40,6.82460610822739e-60,7.462636045880879e-62,1.0562141978387005e-83,9.161391486717551e-83,2.503698537754039e-101,3.331828388194557e-138,2.4919228777733574e-81,1.2183909381970888e-113,1.4886010388215246e-123,1.1248228636197746e-115,9.238011062152694e-127,8.247782128872079e-153,8.477260929007052e-148,1.0018364393097907e-165,3.237288367191615e-131,2.8540162321121072e-109,3.0605539689176876e-146,7.984571029924551e-161,1.1890244723882235e-145,3.3720840645107894e-147,3.9079517890062994e-170,3.6256957163135685e-142,6.609528905902855e-140,3.353081491548178e-169,1.3932494495685593e-144,2.6503069959792046e-153
1.673174584924623e-20,0.002217192533333333,0.2,0.0,0.00652519762552282,0.19999999999999454,0.19999999999997703,0.19999999999999984,0.199999999999957,1.2668672457603115e-57,2.2821938955345935e-45,2.272519207904461e-102,8.544849208162566e-133,1.0974117927250857e-14,2.5238018102338763e-21,9.319890567181938e-37,4.301982946759699e-14,2.300074255327166e-14,1.834956421516674e-16,1.343847026879133e-42,4.462208405821508e-38,5.919760771048833e-39,2.7300639263562495e-59,2.3641265900093453e-60,1.3383816823937065e-81,1.6315394614083888e-81,1.7816631095465641e-99,3.396017633229211e-135,3.157640459684187e-79,6.1757512599466444e-111,2.6810386501496108e-120,2.866116511803712e-113,1.8725768651793686e-123,4.2037507720152497e-150,4.3207118805445996e-145,3.242634375098844e-161,6.563975332333142e-128,1.446637016305142e-106,2.4816712135572084e-142,1.2948664459572312e-156,9.620775886395576e-142,2.7342588313235115e-143,1.266459558544125e-165,1.4698785526817698e-138,2.6795421962712843e-136,1.0875989058815776e-164,5.0184766425532376e-141,2.1082519690130087e-149
3.3464399503052674e-20,0.002217192533333333,0.2,0.0,0.006525197625445638,0.19999999999998905,0.19999999999995402,0.19999999999999965,0.19999999999991397,2.5338032271964212e-57,4.564511614729108e-45,1.1576470480952646e-99,1.7409271353655475e-129,2.194883127046068e-14,5.0477405528286066e-21,3.7281079562390965e-36,8.604199302113427e-14,4.600273304402623e-14,3.670012391470104e-16,1.0751456737491121e-41,3.5521830761035266e-37,4.558051175670185e-38,1.0920694705629617e-58,7.52692341479475e-59,1.704437525845483e-79,4.745326147331201e-80,2.064048415293299e-97,3.535122681543041e-132,4.0212768818384214e-77,3.145997706845161e-108,5.119555342499232e-117,7.458740726770718e-111,3.8151871864676143e-120,2.1884152696001568e-147,2.2492960280556754e-142,1.0559368076856711e-156,1.3375442477571543e-124,7.369332944707554e-104,2.0225159150867008e-138,2.1105821554003146e-152,7.832116115402811e-138,2.2283396833106688e-139,4.126780878821103e-161,5.98945216462863e-135,1.091858213718175e-132,3.545538769744046e-160,1.9165681109680193e-137,1.701565508172197e-145
6.692970681066557e-20,0.002217192533333333,0.2,0.0,0.0065251976252912736,0.19999999999997808,0.19999999999990803,0.1999999999999993,0.19999999999982793,5.06767519006781e-57,9.129147053114966e-45,5.912076388260219e-97,3.556132270418625e-126,4.389825795584064e-14,1.0095618037779226e-20,1.4912735478067872e-35,1.7208632008076003e-13,9.20067140244276e-14,7.340124302210589e-16,8.601437606984894e-41,2.8347078571752975e-36,3.5753332111348195e-37,4.3683630116152145e-58,2.4024858210870634e-57,2.1761119057914253e-77,3.487734570131636e-78,6.043583256224555e-95,3.918203616893274e-129,5.134102162703747e-75,1.6066536680845877e-105,1.0107386609909019e-113,2.0668432242621755e-108,7.79315233067295e-117,1.213791239643857e-144,1.2473103906069798e-139,3.449015329223255e-152,2.7323804689046395e-121,3.763501068763501e-101,1.6525515618264947e-134,3.449015218801159e-148,6.395446015225352e-134,1.8206757254023385e-135,1.3484268583210357e-156,2.446888253021743e-131,4.460599993993241e-129,1.1587754741087642e-155,7.567583826954394e-134,1.383517459884825e-141
1.3386032142589134e-19,0.002217192533333333,0.2,0.0,0.006525197624982544,0.19999999999995613,0.19999999999981602,0.19999999999999857,0.19999999999965584,1.0135419115807451e-56,1.8258417929874115e-44,3.023109215095303e-94,7.273415082234928e-123,8.779711132244172e-14,2.0191373006725097e-20,5.965155073571666e-35,3.4417497401021623e-13,1.840146759807992e-13,1.4680348007026041e-15,6.881258973568141e-40,2.264943218195747e-35,2.8318219533454378e-36,1.7473617261761553e-57,7.678121460771613e-56,2.781846529614918e-75,4.046799284267227e-76,2.8022052602725803e-92,5.265667569089959e-126,6.563224067763652e-73,8.215539164766041e-103,2.031468624682873e-110,6.945120188430506e-106,1.593946107184099e-113,8.248964250788054e-142,8.395923660697647e-137,1.1281888818065426e-147,5.588885840464271e-118,1.9244464840793228e-98,1.3520052495588346e-130,5.643497522096517e-144,5.229916543682735e-130,1.4894716314556217e-131,4.411951153507841e-152,1.000931741660343e-127,1.8246669453199714e-125,3.791943427960844e-151,3.0419823438720188e-130,1.1291189986685384e-137
2.677215506563429e-19,0.002217192533333333,0.2,0.0,0.006525197624365085,0.19999999999991222,0.199999999999632,0.1999999999999971,0.19999999999931167,2.0270906967285404e-56,3.6516959683346193e-44,1.5468258846248455e-91,1.4886045923786664e-119,1.7559481803900852e-13,4.038288294079537e-20,2.3860743268972617e-34,6.883522811099471e-13,3.680305998758179e-13,2.9360794949994914e-15,5.5050507336141604e-39,1.8108132669722313e-34,2.2540784945748873e-35,6.989528037744477e-57,2.4554094199362794e-54,3.558441520596374e-73,5.110623704926676e-74,1.4153497235783186e-89,1.0546673174737173e-122,8.395478685877936e-71,4.203622084025628e-100,4.1210313610352664e-107,3.4784578676129776e-103,3.262230289729814e-110,1.0832499544934867e-138,8.430898270605542e-134,3.6924838478413366e-143,1.143903417895939e-114,9.84676155725576e-96,1.1068297805056593e-126,9.24018560057478e-140,4.279273997052751e-126,1.21923451657094e-127,1.44444211267999e-147,4.0970887471033785e-124,7.46886335269712e-122,1.2415903265798961e-146,1.2341893958297138e-126,9.232208866063527e-134
5.35444009117246e-19,0.002217192533333333,0.2,0.0,0.006525197623130166,0.19999999999982443,0.19999999999926396,0.19999999999999415,0.1999999999986233,4.0541882670930696e-56,7.303404319023487e-44,7.91702692473837e-89,3.047592482248604e-116,3.5119023140560096e-13,8.076590279364998e-20,9.544322870145672e-34,1.3767068922726836e-12,7.360624475949573e-13,5.872168696928464e-15,4.4040580076387433e-38,1.448174786407669e-33,1.7987094566641657e-34,2.796032490837483e-56,7.854663970974594e-53,4.553234907534968e-71,6.528840307594169e-72,7.232339910023379e-87,3.1968649580118803e-119,1.0742585504817268e-68,2.1515149060949963e-97,8.399390387109564e-104,2.6363824315653895e-100,6.678703374333543e-107,9.858037412195503e-135,1.280155553250127e-130,1.2085083091791101e-138,2.3420766190616976e-111,5.039809148672525e-93,9.0639849888657e-123,1.5133832219474292e-135,3.5013882074844746e-122,9.982302283948557e-124,4.729836573579228e-143,1.6775785828790662e-120,3.058172758728629e-118,4.0661417670519705e-142,5.030993953870466e-123,7.55566424464374e-130
