Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35)
8.438191848640922e-22,0.002217192533333333,0.2,0.0,0.006525197625596106,0.19999999999999976,0.19999999999999887,0.2,0.19999999999999785,6.389093500943621e-59,1.1509611788174441e-46,5.751826172778428e-114,5.531064511532842e-147,5.534491933805725e-16,1.2728094279521358e-22,2.3713953816513004e-39,2.1695857543946118e-15,1.1599786422522553e-15,9.254093683413656e-18,1.7246859879765365e-46,6.80219842211813e-42,1.835157306828099e-42,6.946502347201105e-62,9.220526333491306e-67,1.3303772193627108e-90,9.58278990211576e-87,2.6680938325771617e-107,4.3089720143638154e-148,3.1387542068513164e-88,1.5631042740445316e-122,5.820583608696827e-134,1.4284286681768862e-123
1.6883714880469196e-21,0.002217192533333333,0.2,0.0,0.006525197625592211,0.19999999999999948,0.1999999999999977,0.2,0.19999999999999568,1.2783737908490945e-58,2.3029223239066404e-46,2.6972940982136347e-111,1.0357202905804264e-143,1.1073792288049026e-15,2.5467246851185364e-22,9.491761565373692e-39,4.341056465963887e-15,2.320965085235327e-15,1.8516227410992302e-17,1.3811475722642927e-45,4.99363481849243e-41,1.015973731036997e-41,2.7804111776887428e-61,2.7021186689641253e-65,1.5592393692570596e-88,1.5133407019527402e-85,1.6858039832039724e-105,4.040443157517758e-145,3.678707941253952e-86,7.330110572430998e-120,6.876026377937067e-131,3.347320681954862e-121
3.3774760944125743e-21,0.002217192533333333,0.2,0.0,0.006525197625584419,0.19999999999999893,0.19999999999999538,0.19999999999999998,0.19999999999999135,2.5573026723585377e-58,4.606844614084952e-46,1.3174190914001648e-108,2.0212503753132192e-140,2.215239299650914e-15,5.094555199445253e-22,3.7979409885865385e-38,8.683997888981559e-15,4.642937971198648e-15,3.7040494858719286e-17,1.1054778440061663e-44,3.815481807510312e-40,6.317411751247003e-41,1.1125265788465145e-60,8.248559834309721e-64,1.9036679016841732e-86,2.407611752131562e-84,1.0729067164387589e-103,3.9463767390185336e-142,4.491317166704747e-84,3.580190892563715e-117,9.485663086214513e-128,8.172052029237776e-119
6.7556853071438834e-21,0.002217192533333333,0.2,0.0,0.006525197625568836,0.19999999999999782,0.19999999999999074,0.19999999999999996,0.19999999999998266,5.115160435377339e-58,9.214689194441251e-46,6.582124333775189e-106,4.0369433329819796e-137,4.430959441332341e-15,1.0190216228074347e-21,1.5194237050913228e-37,1.736988073453339e-14,9.286883743114003e-15,7.40890297244521e-17,8.846062443707298e-44,2.9805792912385237e-39,4.329424079355676e-40,4.450830289295346e-60,2.5757675251699345e-62,2.3776403829968142e-84,3.8690024988603394e-83,6.896418193212906e-102,3.94312395989499e-139,5.60955933056543e-82,1.7887445114394023e-114,1.5012690371190345e-124,2.0411545593274864e-116
1.3512103732606502e-20,0.002217192533333333,0.2,0.0,0.006525197625537671,0.1999999999999956,0.19999999999998144,0.19999999999999987,0.1999999999999653,1.0230875961414602e-57,1.8430378355152553e-45,3.328269679246024e-103,8.162476480747383e-134,8.862399724652817e-15,2.038153828523518e-21,6.078189490455666e-37,3.474164642370299e-14,1.857477528689956e-14,1.48186099337033e-16,7.077745940963701e-43,2.355733137667905e-38,3.173666246966934e-39,1.7804766467578038e-59,8.140373987535646e-61,3.005560173962083e-82,6.55640730452362e-82,4.671966188203524e-100,3.9875607673594696e-136,7.091009770244015e-80,9.044836933112077e-112,2.637637390251e-121,5.160174919470062e-114
2.702494058353174e-20,0.002217192533333333,0.2,0.0,0.006525197625475341,0.19999999999999116,0.19999999999996287,0.19999999999999973,0.19999999999993054,2.0462307013487768e-57,3.6861756676569973e-45,1.6933731545316066e-100,1.6608956924606686e-130,1.772528029112425e-14,4.076418239916743e-21,2.431374746164169e-36,6.948517779430598e-14,3.715055837429005e-14,2.9638023808665604e-16,5.6625551689677515e-42,1.873091729099185e-37,2.4229695169829895e-38,7.122193522888923e-59,2.5885812499828777e-59,3.822901552733862e-80,1.527289796877538e-80,4.3397449869257954e-98,4.057560433766582e-133,9.01936429803079e-78,4.601875908229887e-109,4.9621318170768405e-118,1.312662228065333e-111
5.4050614285382215e-20,0.002217192533333333,0.2,0.0,0.00652519762535068,0.1999999999999823,0.1999999999999257,0.19999999999999943,0.19999999999986104,4.0925169117628666e-57,7.37245133193841e-45,8.642654773665994e-98,3.3904663247460558e-127,3.545104142338905e-14,8.152947062547426e-21,9.725696987673358e-36,1.3897224050456706e-13,7.430212454834857e-14,5.927685136837469e-16,4.5301875059012474e-41,1.4938731845095731e-36,1.891987214061628e-37,2.848933264830288e-58,8.257304745847976e-58,4.877804636963787e-78,8.558688798779654e-79,9.680175183270131e-96,4.1418828963866315e-130,1.1508203498568783e-75,2.348710010103547e-106,9.716071485696727e-115,3.34981849634967e-109
1.0810196168908317e-19,0.002217192533333333,0.2,0.0,0.006525197625101359,0.19999999999996457,0.1999999999998514,0.19999999999999885,0.19999999999972207,8.185089332588927e-57,1.4745002660492996e-44,4.418003679050762e-95,6.93233467361882e-124,7.090256368520635e-14,1.6306004707185727e-20,3.890318475649213e-35,2.7794636580130964e-13,1.4860525689357572e-13,1.1855450572693083e-15,3.6242073536835427e-40,1.1932552048252523e-35,1.4950335661714837e-36,1.1395838128816439e-57,2.63814547114716e-56,6.233639971073431e-76,9.186722156645603e-77,4.14927203963577e-93,4.235490364063709e-127,1.4707046943162017e-73,1.2006275548148817e-103,1.9443376836508277e-111,8.563769694989645e-107
2.1620465649648508e-19,0.002217192533333333,0.2,0.0,0.006525197624602716,0.19999999999992912,0.1999999999997028,0.19999999999999765,0.19999999999944412,1.6370234174235731e-56,2.9490105317570607e-44,2.260199857576825e-92,1.4185704433122858e-120,1.4180560819799186e-13,3.261211999397007e-20,1.556135390110306e-34,5.558946158996765e-13,2.972115215724707e-13,2.3710981140059506e-15,2.8993888223815663e-39,9.538616845470835e-35,1.1886038117741587e-35,4.558368867191365e-57,8.435313394252891e-55,7.972631504309756e-74,1.1469223292554028e-74,2.071548621137239e-90,4.3415491899849824e-124,1.8809910066091897e-71,6.142272457375783e-101,3.935471784457102e-108,2.1945503816637362e-104
4.324100461112889e-19,0.002217192533333333,0.2,0.0,0.006525197623605429,0.1999999999998582,0.1999999999994056,0.1999999999999953,0.19999999999888823,3.274052385770234e-56,5.898031063164398e-44,1.1567396640835477e-89,2.903990014030021e-117,2.836116971801665e-13,6.522435055756968e-20,6.224558069773066e-34,1.1117911141159372e-12,5.944240508840226e-13,4.742204105741317e-15,2.3195202331938984e-38,7.627841443868441e-34,9.479130970052984e-35,1.8234215868260347e-56,2.698191355665494e-53,1.0200702389334973e-71,1.4629684702311354e-72,1.0569202241920192e-87,4.508601472857067e-121,2.4066760382928725e-69,3.143531838804226e-98,8.01213103252475e-105,5.697540733137606e-102
8.6482082534089655e-19,0.002217192533333333,0.2,0.0,0.0065251976216108565,0.1999999999997164,0.19999999999881118,0.19999999999999055,0.19999999999777643,6.548110323749983e-56,1.179607212608854e-43,5.921094950507585e-87,5.945925852575074e-114,5.672238749709294e-13,1.3044881164489245e-19,2.4898269374554125e-33,2.223584102626567e-12,1.188849109322175e-12,9.484415602260425e-15,1.8556198558459252e-37,6.1009209956455584e-33,7.571413508566831e-34,7.296202941944293e-56,8.632255149419484e-52,1.305377933440535e-69,1.8714559871954253e-70,5.40810675763561e-85,5.1457237448760375e-118,3.079845158691771e-67,1.6091045775489865e-95,1.6359521190733385e-101,1.6258085928541721e-99
1.7296423838001118e-18,0.002217192533333333,0.2,0.0,0.0065251976176217115,0.1999999999994328,0.19999999999762233,0.19999999999998105,0.19999999999555285,1.3096226281922e-55,2.359215425692408e-43,3.0310583933857855e-84,1.2175064739359794e-110,1.1344482298581122e-12,2.6089773366003136e-19,9.959318430327856e-33,4.447170047960256e-12,2.3776992254586747e-12,1.8968836647492558e-14,1.4844973510662379e-36,4.879985805130116e-32,6.052356030937999e-33,2.9267325974793407e-55,2.761891459524997e-50,1.6705843905491072e-67,2.394975349391053e-68,2.7683853707751665e-82,9.609517116972976e-115,3.941587317621085e-65,8.237142609374253e-93,3.3451799743438266e-98,7.592982679623774e-97
3.459285500718542e-18,0.002217192533333333,0.2,0.0,0.006525197609643422,0.19999999999886559,0.19999999999524462,0.1999999999999621,0.19999999999110568,2.619246343221099e-55,4.718431868409962e-43,1.5515780725627282e-81,6.940902296582757e-107,2.2688969368551037e-12,5.217955770522749e-19,3.983732117360904e-32,8.894341811877367e-12,4.755399454772452e-12,3.7937670946735667e-14,1.1875984652916282e-35,3.9033521098724047e-31,4.8399456971837235e-32,1.197267080151426e-54,8.836615467980202e-49,2.1379012430863147e-65,3.065052224496558e-66,1.417174647365213e-79,4.5395836526663095e-111,5.044412648586076e-63,4.216538451425797e-90,1.9051411247663985e-94,8.970310429949693e-94
6.918571734555403e-18,0.002217192533333333,0.2,0.0,0.006525197593686843,0.19999999999773113,0.19999999999048923,0.19999999999992416,0.19999999998221135,5.238527166929871e-55,9.436865285700063e-43,7.94135703482219e-79,1.421454242378991e-103,4.537794339739589e-12,1.043591261284562e-18,1.5934958832927462e-31,1.7788684832710535e-11,9.510799901563112e-12,7.587530838036275e-14,9.500790026456053e-35,3.12188946282469e-30,3.8711341629761405e-31,5.640666141362706e-54,2.827007888696248e-47,2.735574675669145e-63,3.922282933312849e-64,7.2541143363355e-77,3.3768740725418093e-107,6.455234223783535e-61,2.158130764510369e-87,3.9007823146513003e-91,1.6683218953640275e-90
1.3837144202229125e-17,0.002217192533333333,0.2,0.0,0.006525197561773687,0.19999999999546222,0.19999999998097842,0.19999999999984827,0.19999999996442266,1.0479221922068048e-54,1.887374914130688e-42,4.0633403149534344e-76,2.909251354922736e-100,9.075589101070566e-12,2.0871826195398378e-18,6.3740063042847925e-31,3.557736884637289e-11,1.9021600747796883e-11,1.5175045858838473e-13,7.600632889792511e-34,2.4963351692065724e-29,3.0965035869510695e-30,4.981681715728765e-53,9.042226807293003e-46,3.499264503216998e-61,5.0181994296084735e-62,3.7123878108252896e-74,2.7301531074455433e-103,8.258879292381782e-59,1.1042531480483456e-84,7.982581964286248e-88,3.372070703767066e-87
2.0755716669902847e-17,0.002217192533333333,0.2,0.0,0.006525197529860533,0.19999999999319332,0.1999999999714676,0.1999999999997724,0.19999999994663398,1.5728244964079487e-54,2.8310685753043093e-42,3.536443220115787e-75,1.857324291135024e-99,1.361338381796355e-11,3.1307739675851503e-18,1.3544801375473332e-30,5.336605083203149e-11,2.8532401546683105e-11,2.2762548413737856e-13,2.2564379565895718e-33,7.409103262130115e-29,9.192325909802489e-30,1.8868201723577746e-52,4.325222959469276e-45,2.3523050356023742e-60,3.373558226227648e-61,3.231134288004736e-73,3.4647740796241503e-102,5.552152989692958e-58,9.610652540348135e-84,5.096355883627476e-87,3.605573615396056e-86
2.767428913757657e-17,0.002217192533333333,0.2,0.0,0.006525197497947382,0.1999999999909244,0.1999999999619568,0.1999999999996965,0.1999999999288453,2.100157834475346e-54,3.774775848049576e-42,2.1124275583741855e-74,2.15820684432879e-98,1.815117849041854e-11,4.174365305419835e-18,2.3105900669171424e-30,7.115473078968656e-11,3.804320229822177e-11,3.035003850275486e-13,4.916659614873877e-33,1.6140339494636484e-28,2.0028966784914483e-29,5.608257010808252e-52,1.4312482829015194e-44,1.082125268325012e-59,1.551987697758681e-60,1.9301212722414557e-72,3.059207525581848e-101,2.5542389457248675e-57,5.740754200469743e-83,5.921618253758305e-86,2.663571635077363e-85
4.1511434072924017e-17,0.002217192533333333,0.2,0.0,0.006525197434121085,0.19999999998638662,0.1999999999429352,0.19999999999954476,0.19999999989326794,3.175677991008859e-54,5.662292365451527e-42,4.97703222966263e-73,1.923278104086655e-96,2.7226767731035236e-11,6.261547957122877e-18,4.783807383558242e-30,1.0673208594539728e-10,5.7064803690177326e-11,4.552498942418949e-13,1.4271546252578814e-32,4.683301922794946e-28,5.813546377522674e-29,3.0172105174505365e-51,8.34768698983852e-44,1.3177955322279399e-58,1.8900675257726394e-59,4.547695031703209e-71,1.9745042584965752e-99,3.1106465806578763e-56,1.3525744836601094e-81,5.276608184862399e-84,1.0880440965734846e-83
5.534857900827146e-17,0.002217192533333333,0.2,0.0,0.006525197370294795,0.19999999998184884,0.19999999992391362,0.19999999999939302,0.1999999998576906,4.3144328966251443e-54,7.550068087834744e-42,3.1122110913815536e-72,1.7341680610886185e-95,3.630235680823754e-11,8.348730571271189e-18,8.136044305831205e-30,1.4230943364341766e-10,7.608640490801907e-11,6.069989450429821e-13,3.1210262066394793e-32,1.0238479474787827e-27,1.2713162523830465e-28,9.809832812352881e-51,2.776764134017874e-43,6.092128671532201e-58,8.738319905676654e-59,2.8438277106040945e-70,2.0530535933938696e-98,1.4381406139051478e-55,8.45789819393119e-81,4.757678049754732e-83,8.936453917586455e-83
6.91857239436189e-17,0.002217192533333333,0.2,0.0,0.006525197306468516,0.19999999997731105,0.19999999990489203,0.19999999999924128,0.19999999982211325,5.613081228671659e-54,9.438417345852652e-42,1.5009681025951404e-71,1.2660181884129834e-94,4.537794571035296e-11,1.0435913145177728e-17,1.2430101374142715e-29,1.7788677335105696e-10,9.510800593931035e-11,7.587475046883708e-13,5.855469898145795e-32,1.920210928427228e-27,2.385090064080659e-28,2.6169790546096096e-50,7.485307664562425e-43,2.2322534672788798e-57,3.202038752816174e-58,1.3716099457629657e-69,1.664783996181012e-97,5.26987198919011e-55,4.079137315680796e-80,3.473216010565013e-82,5.640605552726429e-82
