Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150)
1.5515040003435602e-21,0.0033257888,0.2,0.0,0.009787796438391233,0.1999999999999994,0.1999999999999974,0.2,0.19999999999999513,1.12262680017057e-43,3.303791810042105e-36,7.19639682144823e-103,1.7264893055142245e-131,1.2463123336562596e-15,1.8989900278260033e-20,2.545060728410271e-34,4.885690532584564e-15,2.6121748070349775e-15,2.083929515588471e-17,3.839409045318856e-42,4.109381892787277e-39,3.966533605927168e-39,4.4892410668699404e-51,1.8967671257135e-58,6.016250560361684e-81,4.8888798796529265e-74,2.5218633021987957e-94,8.520284210583071e-129,1.8932651552973753e-79,7.774147418851011e-109,1.177720895032268e-120,1.9014681956179494e-105,2.1400716966426717e-123,1.0988987593653966e-140,9.251650610788852e-139,1.0443564515352238e-164,2.585711690131611e-129,1.6022642478445712e-106,1.9940446270007655e-144,2.762914722317961e-158
3.1036816889200095e-21,0.0033257888,0.2,0.0,0.009787796438382464,0.1999999999999988,0.1999999999999948,0.19999999999999998,0.19999999999999024,2.2457410631288546e-43,6.609018180140501e-36,4.241023490847924e-101,3.9899744096885513e-129,2.4931658363645324e-15,3.798804627956554e-20,1.0183558011677986e-33,9.773502510302679e-15,5.225483862760932e-15,4.168763906726594e-17,3.0730833684119063e-41,1.796527627381109e-38,1.6821912919303724e-38,1.796281080889832e-50,7.699022002778095e-58,8.870420931953238e-80,5.760025421631077e-73,1.1855562977309707e-92,1.0014446629553306e-126,3.063642068918375e-78,4.5792019036885816e-107,1.4333440456392927e-118,5.590194306940783e-104,4.9457953206641195e-121,6.511699242940995e-139,5.482212602826092e-137,4.780600470232787e-162,6.091368733062083e-127,9.437808370340792e-105,1.843546335323821e-141,3.2721153641164195e-156
6.208037066072909e-21,0.0033257888,0.2,0.0,0.009787796438364926,0.19999999999999754,0.19999999999998958,0.19999999999999993,0.19999999999998047,4.491969589045339e-43,1.3219470920336769e-35,2.73751880898539e-99,1.0076980857164715e-126,4.9868728417721255e-15,7.59843382820404e-20,4.0740863204821884e-33,1.9549126462624886e-14,1.0452101974119402e-14,8.338432687537384e-17,2.4590892995923108e-40,8.405393025802136e-38,7.490473760122096e-38,7.186293218739664e-50,3.2881366028149146e-57,1.432346492812431e-78,7.565039345324036e-72,6.215023702269602e-91,1.2888970023658757e-124,5.210294928270188e-77,2.953591414027774e-105,1.9753900019307618e-116,1.799841537303477e-102,1.2491029411374465e-118,4.226178388342283e-137,3.558028028932418e-135,2.468301189644944e-159,1.5711674859991836e-124,6.087398803528707e-103,1.8624446280528478e-138,4.244149544760786e-154
1.2416747820378708e-20,0.0033257888,0.2,0.0,0.00978779643832985,0.19999999999999504,0.1999999999999791,0.19999999999999984,0.19999999999996093,8.984426640877973e-43,2.6440376400727224e-35,2.2328784246170204e-97,3.12172164523833e-124,9.974286852551503e-15,1.519769222864454e-19,1.6297671622022692e-32,3.9100374354813215e-14,2.0905338196462596e-14,1.667777024329714e-16,1.9675205119723382e-39,4.336996544443733e-37,3.604973365087912e-37,2.8747506194277165e-49,1.753251391819217e-56,2.9280000538923394e-77,1.0782758600980275e-70,3.5381565026132755e-89,2.0906300209818067e-122,1.0972688302540354e-75,2.4073124970551826e-103,3.588976549551287e-114,7.309900612006009e-101,3.86960213333703e-116,3.491864528000478e-135,2.9398077227721394e-133,1.7393001579723845e-156,5.118429509565719e-122,4.961508571128432e-101,2.3075736279940494e-135,7.001796290291004e-152
2.4834169328990302e-20,0.0033257888,0.2,0.0,0.009787796438259699,0.19999999999999005,0.1999999999999582,0.19999999999999968,0.19999999999992182,1.7969340744541898e-42,5.288218736149976e-35,3.389533711354235e-95,1.7193779397051472e-121,1.9949114873967023e-14,3.0396209029307674e-19,6.519333937489714e-32,7.820287008936546e-14,4.1811810639653964e-14,3.3356445331369334e-16,1.5741160444923592e-38,2.5145474710878462e-36,1.9288997022933627e-36,1.1499465448122279e-48,1.738033592407183e-55,1.118127594541493e-75,1.619516789425081e-69,2.123753732617347e-87,6.295384400534374e-120,4.25267407230219e-74,3.6562179325392255e-101,1.281504965632723e-111,5.5185615027798785e-99,2.131338602380019e-113,5.430119363715821e-133,4.5716283415409e-131,2.941158404068783e-153,3.105204815187191e-119,7.535521060423696e-99,5.0822970608688356e-132,2.171468770831596e-149
4.966901234621349e-20,0.0033257888,0.2,0.0,0.009787796438119398,0.19999999999998008,0.1999999999999164,0.19999999999999934,0.1999999999998436,3.593916895186436e-42,1.0576580928301137e-34,1.0474798129892903e-92,1.997944899788343e-118,3.989877091622515e-14,6.079324262976244e-19,2.607786642649925e-31,1.5640786135917242e-13,8.362475552005666e-14,6.671379541372452e-16,1.2593326906376743e-37,1.6295851178412378e-35,1.1610646259455091e-35,4.5998758069128484e-48,3.429342113547152e-54,8.677921017643301e-74,2.5066411006785376e-68,1.3141838364152867e-85,3.8756009986580736e-117,3.3121010950705704e-72,1.1312517222081758e-98,1.047613016253064e-108,8.507763938214647e-97,2.476685437456682e-110,1.7032208964436517e-130,1.4339450757045958e-128,1.894306721054322e-149,3.8399025242695073e-116,2.3315271324896163e-96,2.36178606476123e-128,1.3599925912928288e-146
9.933869838065987e-20,0.0033257888,0.2,0.0,0.009787796437838794,0.19999999999996013,0.19999999999983278,0.19999999999999868,0.1999999999996872,7.187882536648777e-42,2.1153305312590083e-34,4.466058710626254e-90,3.3500933075943602e-115,7.979808299844969e-14,1.21587309827186e-18,1.0431252778639508e-30,3.1281784310159616e-13,1.6725064525694192e-13,1.3342849520327795e-15,1.0074820945495998e-36,1.150826873258535e-34,7.760246303165144e-35,1.8399658740079757e-47,9.187418038837736e-53,9.263264435301008e-72,3.9429889164056705e-67,8.266780249764016e-84,3.302183423984734e-114,3.53687000449061e-70,4.825961114094341e-96,1.3576339948627067e-105,1.8130536139205252e-94,4.152848185390885e-107,7.29210473456614e-128,6.139237545459814e-126,3.299593132078936e-145,6.55111548302026e-113,9.94637988169623e-94,1.583981052184467e-124,1.1640246686356013e-143
1.9867807044955262e-19,0.0033257888,0.2,0.0,0.009787796437277589,0.1999999999999202,0.19999999999966553,0.19999999999999735,0.19999999999937437,1.4375813819564853e-41,4.230675408111443e-34,2.1119132640966954e-87,6.308480358969328e-112,1.5959670715373194e-13,2.431754442080892e-18,4.172522410587988e-30,6.256378033976827e-13,3.345024246350318e-13,2.6685789328175736e-15,8.05992052150012e-36,8.594994176709678e-34,5.596873800653933e-34,7.359875603267515e-47,2.719077029046014e-51,1.0955432760550789e-69,6.25513714955135e-66,5.2450482806913595e-82,3.1225334595079315e-111,4.183210561470749e-68,2.2824996459826037e-93,2.172930243833993e-102,4.286527129056016e-92,7.82013755856754e-104,3.4520929372020814e-125,2.9063239410219605e-123,8.505877768815751e-141,1.2393306384925434e-109,4.704266195650871e-91,1.1930885199219749e-120,1.1019783110894638e-140
3.973568145873382e-19,0.0033257888,0.2,0.0,0.009787796436155178,0.19999999999984042,0.19999999999933102,0.19999999999999468,0.19999999999874873,2.8751676385362577e-41,8.461365161794899e-34,1.040001010593214e-84,1.240554439350659e-108,3.191939554276294e-13,4.863517129141199e-18,1.6690132700148944e-29,1.2512777112348135e-12,6.690059830084893e-13,5.337166834362062e-15,6.447961917673207e-35,6.630950651500608e-33,4.2329588672160595e-33,2.9439374670088627e-46,8.373126712376547e-50,1.348911242096363e-67,9.971227576598183e-65,3.3441907546558648e-80,3.075144089867348e-108,5.150986675741489e-66,1.1240582590729312e-90,3.8938918954326476e-99,1.0554108017873974e-89,1.5378204953726215e-100,1.700638685354677e-122,1.4317711070346853e-120,2.500791399928609e-136,2.4413724249670794e-106,2.316700212677058e-88,9.38473821731068e-117,1.0857120465410197e-137
7.947143028629092e-19,0.0033257888,0.2,0.0,0.009787796433910353,0.19999999999968082,0.19999999999866203,0.19999999999998935,0.19999999999749746,5.750340151682034e-41,1.6922744669076166e-33,5.22029002306991e-82,2.4888424785225813e-105,6.383884518287554e-13,9.727042501030772e-18,6.676062059178936e-29,2.502557475888907e-12,1.3380130982245148e-12,1.067434239735065e-14,5.158379725282887e-34,5.206111247358256e-32,3.2885362340392256e-32,1.1775602768716156e-45,2.6276601631413833e-48,1.6928008015563316e-65,1.5999490899372607e-63,2.1462848166800605e-78,3.087152979269499e-105,6.46494807923612e-64,5.64228409162459e-88,7.431017873283334e-96,2.648879814865308e-87,3.0852283326058236e-97,8.538213507587283e-120,7.188339011209091e-118,7.765749433126772e-132,4.902194961489422e-103,1.1628819699335826e-85,7.531179853269374e-113,1.0901627258687686e-134
