Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144)
7.226024953693161e-22,0.0033257888,0.2,0.0,0.009787796438395915,0.19999999999999973,0.19999999999999882,0.2,0.19999999999999774,5.228558398767244e-44,1.5387186920488282e-36,8.871170217051542e-105,4.756987955565914e-134,5.804615406152486e-16,8.84441762628735e-21,5.521863193399582e-35,2.2754773238523913e-15,1.2166027502941447e-15,9.705760783721856e-18,3.8799832366390355e-43,8.475036853363521e-40,8.330678842794337e-40,9.740033097191057e-52,4.101284205825045e-59,3.4111802370107526e-82,3.695211526505802e-75,4.148085862834139e-96,4.913319324216351e-131,8.943370398371434e-81,9.587319398506042e-111,6.691409422575773e-123,5.047027156138956e-107,5.895433684953893e-126,1.3427336143333966e-142,1.1304501126516933e-140
1.445832794818015e-21,0.0033257888,0.2,0.0,0.00978779643839183,0.19999999999999946,0.1999999999999976,0.2,0.19999999999999546,1.046165941994865e-43,3.078774237870033e-36,4.773773536562301e-103,9.969843299566086e-132,1.1614273918646154e-15,1.7696519368660674e-20,2.210184316734195e-34,4.5529316043204035e-15,2.4342624968893445e-15,1.9419954025796088e-17,3.107133394166776e-42,3.5461778417020333e-39,3.4305744434255344e-39,3.898551467083916e-51,1.6462245835669974e-58,4.594973174359583e-81,3.829274936657787e-74,1.7158553999834773e-94,5.268723499445924e-129,1.427620383377019e-79,5.157245147433567e-109,7.2669855463651705e-121,1.3538516304053204e-105,1.2355835447707253e-123,7.284396400046957e-141,6.132747883220934e-139
2.8922933937154122e-21,0.0033257888,0.2,0.0,0.009787796438383657,0.19999999999999887,0.19999999999999515,0.19999999999999998,0.1999999999999909,2.0927861462311272e-43,6.158885329512328e-36,2.7914340518267976e-101,2.2850374742997712e-129,2.323359094361405e-15,3.5400722853377745e-20,8.84361616769079e-34,9.107840164580354e-15,4.869581990059459e-15,3.8848340506762966e-17,2.486966052418653e-41,1.5421365920773127e-38,1.4496071629719195e-38,1.559928318513523e-50,6.668556840297861e-58,6.7226168423472046e-80,4.4578512767011596e-73,7.970172302471009e-93,6.144213364848492e-127,2.3052231631386776e-78,3.014205813307288e-107,8.751816420878288e-119,3.9491760811052534e-104,2.8318950209192815e-121,4.283807774747897e-139,3.606546324489094e-137
5.7852145915102076e-21,0.0033257888,0.2,0.0,0.009787796438367314,0.1999999999999977,0.1999999999999903,0.19999999999999996,0.1999999999999818,4.186026554703579e-43,1.2319107512796468e-35,1.779985916957831e-99,5.706938667144087e-127,4.6472224993472114e-15,7.080912982269364e-20,3.538022330668702e-33,1.8217657282395978e-14,9.740220976318542e-15,7.77051134559704e-17,1.9900766997805486e-40,7.155337568355465e-38,6.414916981105428e-38,6.240728412954298e-50,2.821370925521055e-57,1.0723380089424752e-78,5.796355177755093e-72,4.136210736724711e-91,7.812830388607796e-125,3.885051184089062e-77,1.920649504678006e-105,1.1868151655896655e-116,1.2561825440777111e-102,7.072729497424558e-119,2.745957241919346e-137,2.311826888318195e-135
1.1571056987099798e-20,0.0033257888,0.2,0.0,0.009787796438334629,0.19999999999999538,0.19999999999998055,0.19999999999999987,0.1999999999999636,8.372507371648191e-43,2.4639551879362925e-35,1.3974030448803894e-97,1.7099670958444551e-124,9.294949309287726e-15,1.4162594376085243e-19,1.4153241143229597e-32,3.643729150721009e-14,1.9481498948512135e-14,1.5541865930347994e-16,1.5922629275298614e-39,3.651058931301716e-37,3.058651163863196e-37,2.496494032117388e-49,1.4480903231766156e-56,2.109139911950331e-77,8.204795580395251e-71,2.3382974831750486e-89,1.220212553621957e-122,7.885599602297025e-76,1.5066336000069886e-103,2.066205304596524e-114,4.9117418931758445e-101,2.1191983483917732e-116,2.1810073376301458e-135,1.8361944351430097e-133
2.314274177827898e-20,0.0033257888,0.2,0.0,0.009787796438269256,0.19999999999999074,0.19999999999996107,0.1999999999999997,0.19999999999992715,1.6745469005536248e-42,4.928044061248858e-35,1.958335461738965e-95,8.711837020208758e-122,1.8590402929044375e-14,2.83259571635278e-19,5.661526838682543e-32,7.287655991356975e-14,3.8964054891601033e-14,3.1084575079487763e-16,1.273890973962496e-38,2.0914569027731585e-36,1.617506605146795e-36,9.986378474311533e-49,1.3265757875530315e-55,7.433866742156038e-76,1.2272010882335208e-69,1.3976417433682907e-87,3.391935278862694e-120,2.8249959370726345e-74,2.112155531610292e-101,6.75885310498014e-112,3.4229483644620834e-99,1.0796763798296269e-113,3.129842888667141e-133,2.6350209813084904e-131
4.6286111360637336e-20,0.0033257888,0.2,0.0,0.00978779643813851,0.19999999999998144,0.1999999999999221,0.1999999999999994,0.19999999999985427,3.349139227330769e-42,9.856221807871084e-35,5.724125508973463e-93,9.514786061290093e-119,3.7181310168060117e-14,5.665268273765609e-19,2.2646568198333304e-31,1.457550965532149e-13,7.792916677258563e-14,6.216999329631877e-16,1.0191450328254536e-37,1.3413819087383484e-35,9.622191362204607e-36,3.99462945834605e-48,2.4821214180139988e-54,5.459168587265677e-74,1.8950633503998697e-68,8.628488020292937e-86,1.9740110575059346e-117,2.0833594337295953e-72,6.181317080480906e-99,5.150650249588327e-109,4.989473807099846e-97,1.1791875596746738e-110,9.299657023788755e-131,7.829399828787418e-129
9.257285052535405e-20,0.0033257888,0.2,0.0,0.009787796437877017,0.19999999999996285,0.19999999999984416,0.1999999999999988,0.19999999999970852,6.698323880883189e-42,1.9712577301103915e-34,2.3958399261805445e-90,1.5620194957708562e-115,7.436312464410146e-14,1.1330613388288535e-18,9.0587195069697e-31,2.915121691402085e-13,1.5585939051378203e-13,1.2434082940418664e-15,8.15328927752504e-37,9.403764071162529e-35,6.370565339560197e-35,1.597865475620432e-47,6.533599632648762e-53,5.721814747223599e-72,2.977353145899166e-67,5.421009440085274e-84,1.650874177231173e-114,2.184660247429448e-70,2.5888260754271914e-96,6.468172967140855e-106,1.0437187377779432e-94,1.9358438036424283e-107,3.9110650089245096e-128,3.292733445215717e-126
1.851463288547875e-19,0.0033257888,0.2,0.0,0.009787796437354035,0.19999999999992565,0.19999999999968832,0.19999999999999754,0.199999999999417,1.3396693187980555e-41,3.942528828752309e-34,1.1257315450076463e-87,2.920989187899729e-112,1.487267535882235e-13,2.266130361612347e-18,3.623506294873593e-30,5.830263115450086e-13,3.1171983791308384e-13,2.4868250031674587e-15,6.522683025711834e-36,6.991900702375762e-34,4.565564823392323e-34,6.391473914666346e-47,1.9216934680275124e-51,6.724315086959356e-70,4.7202494596634734e-66,3.437259838677418e-82,1.5510796935202005e-111,2.56759303523798e-68,1.2166494327040442e-93,1.0191499399829954e-102,2.451880422439152e-92,3.6200436966320416e-104,1.8399741876261988e-125,1.5490779447826538e-123
3.7029328551365435e-19,0.0033257888,0.2,0.0,0.00978779643630807,0.1999999999998513,0.1999999999993766,0.19999999999999504,0.19999999999883397,2.679343180214539e-41,7.885071026017547e-34,5.527941356016687e-85,5.726989344220293e-109,2.97454011444625e-13,4.532268406694965e-18,1.449406253555912e-29,1.166054585277861e-12,6.234407323793232e-13,4.973658369291581e-15,5.218167057852234e-35,5.38077719969984e-33,3.440088463610843e-33,2.556579670709641e-46,5.90118841633594e-50,8.256179769701079e-68,7.521205907659298e-65,2.190597699699629e-80,1.5231959123703576e-108,3.1526998585408435e-66,5.974718254868576e-91,1.810411174509795e-99,6.019774565570316e-90,7.097579058247172e-101,9.039060324423846e-123,7.6100029469522235e-121
