Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150),SX(113),SX(114),SX(156),C2H4X(145)
8.152053154663237e-22,0.0006651577600000001,0.2,0.0,0.001957559287675394,0.1999999999999997,0.19999999999999865,0.2,0.19999999999999746,2.9493038193306363e-43,8.679541413183834e-36,2.2087426186772906e-102,7.49118767556525e-131,6.548487396106402e-16,9.977845782901562e-21,7.027821698144721e-35,2.567083869071618e-15,1.3725125988421151e-15,1.094957162779453e-17,2.785495690947685e-42,5.424546817608598e-39,5.320910138871956e-39,6.198199164698696e-51,2.6224455437936447e-58,1.3351800850754284e-80,1.376389429042172e-73,9.828286272148167e-94,1.3790111128192574e-128,3.6330059600305407e-79,2.3869071239966715e-108,9.398830895636855e-120,2.226505783684257e-105,9.285669876527724e-123,3.349581308927485e-140,2.8200191963563235e-138,4.8525712027781906e-160,1.0968357934096645e-128,4.9194538345236025e-106,1.1949742719377432e-143,1.5416705160689954e-156,1.6169381991527432e-138,2.8574564027445795e-144,8.182944182687556e-162,1.6557913812045516e-136
1.6311188892432177e-21,0.0006651577600000001,0.2,0.0,0.0019575592876707845,0.19999999999999937,0.1999999999999973,0.2,0.19999999999999488,5.901170022518167e-43,1.7366623696404945e-35,1.2219893922884974e-100,1.6123938025391781e-128,1.3102664181742553e-15,1.9964360415247746e-20,2.8129601851051208e-34,5.136398045294985e-15,2.7462176499735186e-15,2.190865634858925e-17,2.2306556891502143e-41,2.2817584970547568e-38,2.1987651736986161e-38,2.4808948930738815e-50,1.0686935740060749e-57,1.849184431241344e-79,1.4545855178333886e-72,4.1457228500233626e-92,1.5202152944613853e-126,5.887362402410903e-78,1.3200648774429577e-106,1.0514292264557185e-117,6.140123801615248e-104,1.9986462496666725e-120,1.8686339799978075e-138,1.5732066812388762e-136,2.125956426579212e-157,2.4261730613557417e-126,2.720674794144975e-104,1.0291284732299283e-140,2.583496595281987e-153,1.7707085357140034e-136,2.3773895390015402e-141,3.5873801707713185e-159,7.125856055962911e-134
3.2629460367970055e-21,0.0006651577600000001,0.2,0.0,0.001957559287661566,0.1999999999999987,0.19999999999999454,0.19999999999999998,0.19999999999998974,1.1804902428893113e-42,3.4740788262846447e-35,7.63446558437044e-99,3.9119188356460923e-126,2.6211017752891345e-15,3.993738967975198e-20,1.1255504811988377e-33,1.0275026396861906e-14,5.4936277522001564e-15,4.382682578604684e-17,1.7854286474861947e-40,1.0014501852005944e-37,9.350220056778219e-38,9.926810526353758e-50,4.6137406551354037e-57,2.892364322303056e-78,1.728315852353473e-71,1.9655169235777034e-90,1.8925092972404164e-124,1.0104557984531137e-76,8.243441313456706e-105,1.3535124735258422e-115,1.9125404248399865e-102,4.849054367282877e-118,1.177078745689341e-136,9.909849477664701e-135,1.0528336249742862e-154,6.058487934848175e-124,1.6989862838998071e-102,9.988220312564719e-138,5.004880122987975e-150,2.192342893257542e-134,2.296944168082093e-138,1.7856008660649456e-156,3.4567981740161527e-131
6.526600331904582e-21,0.0006651577600000001,0.2,0.0,0.0019575592876431283,0.1999999999999974,0.19999999999998905,0.19999999999999993,0.19999999999997947,2.361236724164254e-42,6.948911739572656e-35,6.143835850622302e-97,1.1906460051882439e-123,5.242772489469491e-15,7.988344820800799e-20,4.502934856255647e-33,2.0552283096476497e-14,1.0988447956508755e-14,8.766316464443456e-17,1.4287046447498192e-39,4.714163180151095e-37,4.182605031594e-37,3.97137015660079e-49,2.491395059553991e-56,5.837337605019895e-77,2.2857239410655183e-70,1.037604893712942e-88,3.0280434775890973e-122,2.1536600828791375e-75,6.631309442244042e-103,2.2969770118750654e-113,7.663152031661257e-101,1.4758920545409757e-115,9.61282510297848e-135,8.093056660355188e-133,6.741414845840931e-152,1.947926072006806e-121,1.3667230945977796e-100,1.2159115342328262e-134,1.2180098337593324e-146,3.510354816825758e-132,2.7943183275736803e-135,1.1870881008784929e-153,2.103389518727252e-128
1.3053908922119733e-20,0.0006651577600000001,0.2,0.0,0.001957559287606253,0.1999999999999948,0.19999999999997806,0.19999999999999984,0.1999999999999589,4.722729686713954e-42,1.3898577566147524e-34,8.847884722305975e-95,6.246646632958168e-121,1.0486113917632596e-14,1.5977556526151e-19,1.801320549436487e-32,4.110679648162866e-14,2.1978088364547245e-14,1.753358422951002e-16,1.1431084241136594e-38,2.45203078836332e-36,2.0267334241292592e-36,1.5886769916016564e-48,2.3668704846256245e-55,2.113750398824687e-75,3.2733474132524727e-69,5.935232685968514e-87,8.650581623437956e-120,8.01056801557625e-74,9.552446440058678e-101,7.236693905855954e-111,5.4879109124404085e-99,7.743323647106344e-113,1.4166565252281024e-132,1.1926859590299637e-130,8.363118206616088e-149,1.1209189460518443e-118,1.9687735586988506e-98,2.5509885222505147e-131,5.108094763725978e-143,1.0888587102382729e-129,5.861063883072093e-132,1.8329536195841793e-150,2.2055787239181867e-125
2.6108526102550035e-20,0.0006651577600000001,0.2,0.0,0.0019575592875325024,0.19999999999998955,0.19999999999995607,0.19999999999999968,0.1999999999999178,9.445715611812609e-42,2.7797909219292635e-34,2.463939212269433e-92,6.541017059480071e-118,2.097279677316836e-14,3.1955979935647433e-19,7.205575503676567e-32,8.221582319562495e-14,4.3957369178309395e-14,3.506811973319924e-16,9.145446260586879e-38,1.433836617942369e-35,1.0935819808667557e-35,6.354963677879722e-48,4.218217219460942e-54,1.477447950757014e-73,4.9302529499771745e-68,3.5727482146214296e-85,4.7962204706514894e-117,5.636379122513417e-72,2.6618329728827138e-98,4.838394781358541e-108,7.619526202538706e-97,8.10833909799979e-110,4.001938161878342e-130,3.3692397342384556e-128,3.2345676030079965e-145,1.2483833408153194e-115,5.4860779520042865e-96,1.0682710074357705e-127,4.276676758208947e-139,1.0512590963632694e-126,2.4535903381617176e-128,1.2536895114649e-146,4.616897155355296e-122
5.221776046341064e-20,0.0006651577600000001,0.2,0.0,0.0019575592873850014,0.19999999999997906,0.1999999999999121,0.19999999999999932,0.1999999999998356,1.8891687462006947e-41,5.559657252556437e-34,9.635797648767905e-90,1.003017528033258e-114,4.194616248107813e-14,6.3912826749824375e-19,2.8822889289989562e-31,1.6443387639838536e-13,8.791593079657438e-14,7.013719063480202e-16,7.316588561150038e-37,9.359353178407901e-35,6.637306595848208e-35,2.5420348898492254e-47,1.0374378275466612e-52,1.4464326916795293e-71,7.642755042975519e-67,2.214308675268399e-83,3.746648924583613e-114,5.5224251527505925e-70,1.0413168230832148e-95,5.1621109450587695e-105,1.488790696839696e-94,1.243360950783131e-106,1.5721107557641624e-127,1.3235631860936545e-125,4.4605903055074686e-141,1.9530158548049754e-112,2.1461699103613555e-93,6.552088441527609e-124,5.2454804806359504e-135,3.6179867255180056e-123,1.5038904998078846e-124,2.4899209575948845e-142,1.4157274393372513e-118
1.0443622918513185e-19,0.0006651577600000001,0.2,0.0,0.0019575592870899996,0.19999999999995807,0.19999999999982418,0.19999999999999862,0.19999999999967116,3.778363116238373e-41,1.1119389913803387e-33,4.316376394767737e-87,1.7856873212842103e-111,8.389289388425061e-14,1.2782652035891457e-18,1.1529273694482618e-30,3.288699819029775e-13,1.7583305399606697e-13,1.4027533201490495e-15,5.853363469074133e-36,6.6428267159162806e-34,4.465277650597027e-34,1.016822460174555e-46,2.9097432363102434e-51,1.6205270013973179e-69,1.2032566563631876e-65,1.3941153051395446e-81,3.355368330819924e-111,6.187608460532143e-68,4.6651190217506594e-93,7.133373747289663e-102,3.3337959463860524e-92,2.2135778391052904e-103,7.05229536380887e-125,5.937341494944716e-123,1.142460353115814e-136,3.4995953158120494e-109,9.614881818597237e-91,4.665846670648774e-120,7.470526425898553e-131,2.3157154500126264e-119,1.0695504282915766e-120,6.876605912196513e-138,5.0406618085742855e-115
2.0887316662857427e-19,0.0006651577600000001,0.2,0.0,0.0019575592864999954,0.19999999999991613,0.19999999999964835,0.1999999999999972,0.1999999999993423,7.556751856308974e-41,2.2238855236267705e-33,2.061170106891888e-84,3.4012872028076896e-108,1.6778635664000738e-13,2.5565390750004013e-18,4.611733491503603e-30,6.577421893084471e-13,3.516673002469028e-13,2.8055161308270033e-15,4.6827278198734536e-35,4.976243264325362e-33,3.234386474240222e-33,4.067295812964836e-46,8.690743933914457e-50,1.9349211198402426e-67,1.910389331134798e-64,8.8525106141928e-80,3.2040199288647096e-108,7.388317048423604e-66,2.2277736693482153e-90,1.1614552179176081e-98,7.959077289515252e-90,4.216314373872329e-100,3.3696688669783874e-122,2.8369290626963186e-120,3.426931218489157e-132,6.68469569305998e-106,4.591475057137302e-88,3.55489008106809e-116,1.1383370825322191e-126,1.7365246262748712e-115,8.127714958400695e-117,2.0864964692170853e-133,1.9202057639126803e-111
4.177470415154591e-19,0.0006651577600000001,0.2,0.0,0.0019575592853199875,0.19999999999983223,0.19999999999929668,0.1999999999999944,0.19999999999868454,1.511352933643115e-40,4.447778588107801e-33,1.017709657806409e-81,6.708108645160684e-105,3.355732819491681e-13,5.113086814740712e-18,1.8446985336810993e-29,1.3154865897045271e-12,7.033357921559773e-13,5.611041684486491e-15,3.746197067833153e-34,3.8455453761134185e-32,2.4523683847635492e-32,1.6269106920008868e-45,2.6830393067647184e-48,2.38861537947212e-65,3.055334714315574e-63,5.662792624242181e-78,3.163908122920586e-105,9.121284391700711e-64,1.0999800322322035e-87,2.0955463382015867e-95,1.9649236391064093e-87,8.315529655382903e-97,1.6644439721237625e-119,1.4012394073261993e-117,1.0771045752719774e-127,1.3202817894435315e-102,2.2670745548352121e-85,2.8044130610774385e-112,1.7960302889841422e-122,1.364537604008536e-111,6.378759709742968e-113,6.57692346261322e-129,7.574095794121641e-108
8.354947912892288e-19,0.0006651577600000001,0.2,0.0,0.0019575592829599716,0.19999999999966445,0.19999999999859336,0.1999999999999888,0.19999999999736906,3.0227084296599416e-40,8.895564717022529e-33,5.113667062804648e-79,3.748120368711625e-101,6.711471317580784e-13,1.0226182281892482e-17,7.378807083510845e-29,2.6309753328372567e-12,1.4066727736037368e-12,1.1222092521019808e-14,2.9969635695045708e-33,3.0218709760109423e-31,1.9078293756724485e-31,6.507556922628478e-45,8.428444338224013e-47,3.0006172540339527e-63,5.020922080286653e-62,3.72190274862127e-76,3.1802452602347418e-102,1.1459749781483459e-61,5.527060887223268e-85,1.0926106335771184e-91,4.9377583318239406e-85,4.645532606265174e-93,7.895177854981708e-119,1.4012380980714682e-117,9.610695893023233e-123,2.654607303862133e-99,1.1391342044991656e-82,6.2663190809843345e-108,8.025286555930663e-118,3.0373898340915415e-107,1.4107438128228319e-108,5.872060280099506e-124,8.461262034382763e-104
1.6709902908367683e-18,0.0006651577600000001,0.2,0.0,0.0019575592782399404,0.19999999999932888,0.1999999999971867,0.19999999999997756,0.19999999999473808,6.045419421663156e-40,1.7791136974662657e-32,2.59225149677627e-76,7.60260825145599e-98,1.3422948281382543e-12,2.0452373166880203e-17,2.951527562855795e-28,5.261952588465008e-12,2.813346727017701e-12,2.2444193110943895e-14,2.397573206430616e-32,2.3950542918236436e-30,1.5046232338116181e-30,2.602949268064228e-44,2.671283783824242e-45,3.8027944215368746e-61,9.834215908936795e-61,2.9143755769721653e-74,3.2277887083096804e-99,1.4527031028381396e-59,2.8018123824908464e-82,2.1847907184431954e-88,1.2529055533198675e-82,9.422900001923686e-90,1.9818586626915417e-114,1.3998877277903672e-117,3.099382105976714e-118,5.385239154504758e-96,5.774561027102945e-80,5.084593035561749e-104,1.3025217440122842e-113,2.448977696143375e-103,1.1217705911329719e-104,1.9026046303394536e-119,3.433067815672883e-100
3.341981289931847e-18,0.0006651577600000001,0.2,0.0,0.001957559268799879,0.19999999999865772,0.19999999999437337,0.1999999999999551,0.19999999998947612,1.2090841405547851e-39,3.558228148918573e-32,1.319429044300358e-73,1.547868707341537e-94,2.6845902079480264e-12,4.0904754739589056e-17,1.1806136827868562e-27,1.0523906177169838e-11,5.626694595919408e-12,4.488838995822272e-14,1.9180594810579118e-31,1.9060814764263688e-29,1.1950199248650182e-29,1.041120355799418e-43,8.502484588635118e-44,4.838992662203963e-59,3.8772859178136064e-59,4.589708635156134e-72,3.300337674926081e-96,1.849472433244941e-57,1.4260927338982204e-79,4.416080770423699e-85,3.202688742041077e-80,1.9184747532374097e-86,6.207298092849106e-110,-4.274418235222932e-119,9.970608381280181e-114,1.0974271266772952e-92,2.9391804276116866e-77,4.1408380839984005e-100,2.1215147206024312e-109,1.969781291251819e-99,8.78369654106081e-101,6.176959616506156e-115,1.397923802219715e-96
6.683963288122004e-18,0.0006651577600000001,0.2,0.0,0.0019575592499197596,0.19999999999731544,0.1999999999887467,0.19999999999991017,0.1999999999789522,2.4181685372831035e-39,7.116457051520754e-32,6.723625528585943e-71,3.155091127271722e-91,5.369180915765243e-12,8.180951709591381e-17,4.72247374046406e-27,2.10478096643781e-11,1.1253390182017947e-11,8.977676632250949e-14,1.534447912191221e-30,1.519308159342272e-28,9.52508400854851e-29,4.1640186720815995e-43,2.7107352409902426e-42,6.164713838177913e-57,3.5598404313660064e-57,1.6842309249213574e-69,3.422965709001925e-93,2.358540067135423e-55,7.267160770287564e-77,8.968454704482718e-82,8.304337387946757e-78,3.910514246869815e-83,1.8796277658047078e-105,-8.381357376046931e-115,3.173028954768513e-109,2.241077196559954e-89,1.4977535127420971e-74,3.376191813749584e-96,3.4595023495612765e-105,1.5674174952606625e-95,6.649455194059268e-97,2.001434645903703e-110,5.69890150073824e-93
1.0025945286312162e-17,0.0006651577600000001,0.2,0.0,0.0019575592310396442,0.19999999999597315,0.19999999998312004,0.19999999999986523,0.1999999999684283,3.627252933963e-39,1.0674685953821543e-31,5.847921188515751e-70,2.01367404851986e-90,8.053771571780121e-12,1.227142786631102e-16,1.0035288186166307e-26,3.1571709461386254e-11,1.6880085616411627e-11,1.346651253565319e-13,4.555392471684888e-30,4.504116743144203e-28,2.8247620959873287e-28,8.847888768113309e-43,1.2955877948385401e-41,4.140609469837328e-56,2.333996632927963e-56,1.4369998389885126e-68,3.3292403294237635e-92,1.5846061877631786e-54,6.320663269523334e-76,5.7274486743924e-81,6.424680323022885e-77,2.4959556599008195e-82,1.9250466707801282e-104,5.4947495904843e-106,3.2744159497295967e-108,2.393356240907607e-88,1.302679635061926e-73,2.8297662199974824e-95,3.245178032468124e-104,1.3062109919325038e-94,5.478177952048274e-96,2.075174465638681e-109,4.2064236998544e-92
1.336792728450232e-17,0.0006651577600000001,0.2,0.0,0.0019575592121595328,0.19999999999463086,0.19999999997749338,0.1999999999998203,0.19999999995790443,4.836337330594973e-39,1.4232914855823366e-31,3.491020200587053e-69,2.3383570301477255e-89,1.0738362175992646e-11,1.636190394411428e-16,1.7119073203231532e-26,4.2095605568195576e-11,2.2506780899100462e-11,1.7955346706029653e-13,9.925960617052542e-30,9.804045341622905e-28,6.151375894323406e-28,1.5092509087886e-42,4.2842069507911355e-41,1.9034065724549703e-55,1.0586974081952862e-55,8.469285568268783e-68,2.1608430559732135e-91,7.285782691382189e-54,3.7732312383706073e-75,6.641892817220484e-80,3.2370378392747614e-76,2.8982462708331087e-81,2.2303677555736228e-103,2.8953060688237074e-105,3.804426976864071e-107,1.770094477026576e-87,7.776567160075609e-73,3.182080813841463e-94,3.6191233682619372e-103,1.4702702303963661e-93,6.179346767794028e-95,2.4064073073085477e-108,4.643301437376074e-91
2.0051891280882637e-17,0.0006651577600000001,0.2,0.0,0.0019575591743993194,0.19999999999194626,0.19999999996624007,0.19999999999973045,0.19999999993685663,7.25450612375093e-39,2.1349372659145662e-31,8.21457718051115e-68,2.0807534093620028e-87,1.6107543262840685e-11,2.4542855914494976e-16,3.544306666070607e-26,6.314338912114742e-11,3.3760171108436196e-11,2.69330109794792e-13,2.881200155547506e-29,2.8416129700452285e-27,1.7844380774319317e-27,3.124454926448034e-42,2.495681281504602e-40,2.3146312854009608e-54,1.2711892005138708e-54,1.9614341016158611e-66,5.686819116980147e-90,8.861910272856603e-53,8.878634607850247e-74,5.901607456295641e-78,4.43496255593597e-75,2.578832313882244e-79,4.720763810322195e-101,2.151132296265884e-104,8.086694064278086e-105,7.261831644910522e-86,1.829869609358837e-71,4.893731557496227e-92,5.546762004935033e-101,2.2619309304771094e-91,9.5131108777134e-93,5.079502458142909e-106,4.310496564127783e-89
