Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150)
0.0,0.0005542981333333334,0.2,0.0,0.0016312994064,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.224863576196168e-25,0.0005542981333333334,0.2,0.0,0.0016312994063999952,0.2,0.2,0.2,0.2,3.3876321115106495e-52,7.78359467594616e-43,-8.953285428073132e-124,5.865354714024888e-159,6.764618708657259e-19,1.9259945196943722e-24,2.113606964203774e-42,2.6518098788240144e-18,1.4178036786870362e-18,1.1310959708590318e-20,2.7199129621700328e-52,6.3053977719012075e-46,6.30342242287047e-46,8.609023388516485e-61,4.639333373020841e-70,6.673500156846515e-97,1.204884943700377e-87,-1.9681463684708082e-112,-7.94205222151444e-156,2.3170241323685568e-96,-8.226446065690629e-131,-5.697144737969982e-145,1.278615233147747e-127,2.190998435010974e-150,1.7363292450252037e-165,2.5925557107670463e-162,1.3506362271876204e-198,7.161039645541194e-156,-1.1259790623815584e-127,-7.893521482624311e-177,4.6077119051050456e-188
2.5829618013349272e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999867,0.2,0.2,0.2,0.2,9.48536991222982e-52,2.179406509264925e-42,9.36624218238561e-123,9.961976218997917e-158,1.89409323842402e-18,5.392784655144208e-24,1.2766186063824416e-41,7.425067660706827e-18,3.969850300323687e-18,3.1670687184047536e-20,4.110332513058361e-51,3.810909806019748e-45,3.807924657834765e-45,5.199850126389103e-60,2.803127430837419e-69,1.043031068789403e-95,1.8299733586673926e-86,1.9611527145036615e-111,1.6171646430055496e-154,6.233256990101414e-95,8.60522399848357e-130,1.788935129276889e-143,3.724989997648568e-126,3.721543145421807e-149,2.264235920609425e-164,3.3807860941803282e-161,6.046522806064938e-197,2.1073817860992877e-154,1.1778235662622167e-126,6.678212802921917e-175,1.1276291522914034e-186
5.903912688765548e-24,0.0005542981333333334,0.2,0.0,0.0016312994063999696,0.2,0.2,0.2,0.2,2.1680845513668158e-51,4.981500592605543e-42,5.487313456127865e-121,3.1588296764399713e-155,4.329355973540557e-18,1.2326364926043731e-23,6.146369051954026e-41,1.6971583224470775e-17,9.07394354359693e-18,7.239014213494057e-20,4.421708155433846e-50,1.837214012508336e-44,1.8340027260790358e-44,2.503504000968311e-59,1.3516876148587025e-68,1.1990295178187658e-94,1.9889563775821482e-85,1.0918152209790184e-109,1.8156819293559584e-152,1.2795605175238854e-93,5.040532356926697e-128,2.448813822149573e-141,8.64274779602893e-125,1.1800244002352449e-146,9.603244381283157e-163,1.433883932665414e-159,3.7679177533846345e-194,5.472312564274921e-152,6.89913218981909e-125,9.801201429645118e-172,9.28707941800082e-185
1.254581446362679e-23,0.0005542981333333334,0.2,0.0,0.0016312994063999353,0.2,0.2,0.2,0.19999999999999998,4.6071796716544835e-51,1.0585688759286778e-41,2.4366440108889394e-119,6.647525838029673e-153,9.199881443773426e-18,2.6193525467842192e-23,2.6842808445894355e-40,3.6064614351991986e-17,1.9282130030143174e-17,1.53829052036641e-19,4.064311588333819e-49,8.044773414347995e-44,8.015256158716546e-44,1.0933459699155676e-58,5.9417923759020995e-68,1.2454503935357922e-93,1.8656836363947042e-84,4.3836190428568594e-108,1.6149614120410675e-150,2.3100511867855208e-92,2.2375805672321108e-126,2.354410788576489e-139,1.8045143929505215e-123,2.4832411632959762e-144,3.952359122312278e-161,5.901364181310017e-158,1.5425981746955243e-191,1.0339300109853443e-149,3.062645560167161e-123,8.769721224591454e-169,7.644525647735417e-183
2.5829618013349273e-23,0.0005542981333333334,0.2,0.0,0.0016312994063998668,0.2,0.19999999999999998,0.2,0.19999999999999996,9.485369912229819e-51,2.1794065092649244e-41,1.065665335563401e-117,1.229394190633815e-150,1.8940932384238345e-17,5.392784655143679e-23,1.1206344124662227e-39,7.425067660700763e-17,3.969850300323471e-17,3.1670687183969926e-19,3.477104132305955e-48,3.376208343725729e-43,3.350955709858831e-43,4.564504196757206e-58,2.5469339426584327e-67,1.3217639061538891e-92,1.6603103147408268e-83,1.6101520869318852e-106,1.4106499208795819e-148,4.0035046360676074e-91,9.781606975903294e-125,2.118137994422683e-137,3.82717281224941e-122,4.592494578901004e-142,1.6802779167352246e-159,2.5088641000482104e-156,5.647607851621309e-189,1.8615978261489407e-147,1.3388387051417777e-121,6.679586514737673e-166,6.497359193034669e-181
5.239722511279424e-23,0.0005542981333333334,0.2,0.0,0.0016312994063997297,0.2,0.19999999999999996,0.2,0.19999999999999987,1.9241750393380486e-50,4.421081775937417e-41,5.192628600314154e-116,2.3791365049287017e-148,3.842303426516492e-17,1.0939648871861667e-22,4.5781572291273635e-39,1.5062280111693192e-16,8.053124894941396e-17,6.424625114444458e-19,2.874936937193431e-47,1.3937297128738498e-42,1.3728503468788838e-42,1.8647488987999066e-57,1.1514381933910162e-66,1.590384492710909e-91,1.4789199184459854e-82,5.821518507280449e-105,1.3679871319056333e-146,7.2460429453268745e-90,4.763644075921134e-123,2.0675441387802577e-135,9.15839845183556e-121,8.8874650003379e-140,8.161758601733194e-158,1.2186521613599351e-154,2.2601551802830458e-186,3.676386288038248e-145,6.520146220334896e-120,5.2442342006192654e-163,6.302745216709812e-179
1.0553243931168417e-22,0.0005542981333333334,0.2,0.0,0.0016312994063994557,0.19999999999999998,0.19999999999999987,0.2,0.1999999999999997,3.875451135568181e-50,8.904432309282394e-41,3.397841857262311e-114,5.844649081034491e-146,7.738723802700497e-17,2.203337730529392e-22,1.8505643506097513e-38,3.033670501363522e-16,1.6219674084175716e-16,1.2939737906484582e-18,2.3378509715807523e-46,5.75039841470569e-42,5.580610879921545e-42,7.537613183065246e-57,6.499897366322963e-66,2.59665521638738e-90,1.375267462273154e-81,2.1785538950069327e-103,1.774658642078589e-144,1.6203281023033227e-88,3.116295253632835e-121,2.6557224482001228e-133,2.957233345723104e-119,2.1833365557812095e-137,5.426713424863816e-156,8.102758690861697e-153,1.2994377010666966e-183,9.675571942137025e-143,4.265368819668986e-118,5.188218252622896e-160,8.357955217279328e-177
2.1180286770946404e-22,0.0005542981333333334,0.2,0.0,0.0016312994063989077,0.19999999999999996,0.1999999999999997,0.2,0.1999999999999994,7.778003328028441e-50,1.787113337597233e-40,3.93647098718581e-112,2.4515366280540187e-143,1.5531564555063265e-16,4.422083417214351e-22,7.441037864312157e-38,6.0885554817348e-16,3.255277246263824e-16,2.5969963490345603e-18,1.8855615030462922e-45,2.406074143439454e-41,2.2691343493722086e-41,3.030841098361209e-56,5.72587451999962e-65,7.548952461260235e-89,1.3876774557851023e-80,8.805666070083811e-102,4.0710621099142236e-142,5.62197831863751e-87,3.6121016698412445e-119,5.987702579091741e-131,1.6957664210649423e-117,9.158125750749522e-135,6.447716768813813e-154,9.627243783566093e-151,1.6309033959852276e-180,4.49424224158648e-140,4.943993945895417e-116,8.731702484425395e-157,1.979471617000322e-174
4.243437245050238e-22,0.0005542981333333334,0.2,0.0,0.0016312994063978116,0.19999999999999987,0.19999999999999937,0.2,0.1999999999999988,1.5583107712948947e-49,3.5804535509352107e-40,7.985659905139993e-110,1.871945665801481e-140,3.111724605976785e-16,8.859574790578306e-22,2.98418899317443e-37,1.2198325442408842e-15,6.521896921953883e-16,5.203041465719076e-18,1.514585540478067e-44,1.0402306423877967e-40,9.30233158887866e-41,1.2155028293635688e-55,7.731873336608817e-64,3.8387132702244462e-87,1.562030715813162e-79,3.9615199315484353e-100,1.6432996631199829e-139,3.008660789441585e-85,7.332574278338978e-117,2.413366166942523e-128,1.7115090450033578e-115,6.993030344931522e-132,1.3267409745043223e-151,1.980989435047109e-148,5.564870840521128e-177,3.6523103101395974e-137,1.0036318754815908e-113,2.670899578642595e-153,8.131680999934451e-172
8.494254380961432e-22,0.0005542981333333334,0.2,0.0,0.0016312994063956193,0.1999999999999997,0.1999999999999987,0.2,0.19999999999999757,3.1193316482789878e-49,7.167133977611131e-40,2.1563519612721147e-107,1.9812207844660104e-137,6.228860906909323e-16,1.773455753728236e-21,1.1952321428106868e-36,2.4417865363482875e-15,1.3055136273324216e-15,1.0415131698737349e-17,1.2141277787742712e-43,4.769431650307142e-40,3.887665770830939e-40,4.8683512763714495e-55,1.3209023057746118e-62,2.593215222368933e-85,1.9694106644591307e-78,1.9947811827394268e-98,8.860868821163033e-137,2.049214161887989e-83,1.980673605432732e-114,1.328289337881873e-125,2.3066002571574913e-113,7.401273542865042e-129,3.59862310094533e-149,5.373192266372325e-146,3.9983361207989585e-173,3.9484696224893664e-134,2.711008696344693e-111,1.131609517251477e-149,4.408632146977357e-169
1.699588865278382e-21,0.0005542981333333334,0.2,0.0,0.0016312994063912348,0.1999999999999994,0.1999999999999974,0.2,0.19999999999999513,6.241373402247145e-49,1.434049483096283e-39,6.762361055748604e-105,2.463663305213174e-134,1.2463133508740874e-15,3.548452303059506e-21,4.784043442723629e-36,4.885694520453474e-15,2.612161497602574e-15,2.0839312163370866e-17,9.722869239708739e-43,2.3917963517864432e-39,1.6856686657070792e-39,1.948609183329512e-54,2.5961019435485594e-61,2.033524924925794e-83,2.7258893507049207e-77,1.1028872769379822e-96,5.553922678996656e-134,1.6085215165906811e-81,6.2122448518092695e-112,8.720434518050328e-123,3.6137656264445006e-111,9.20355371718352e-126,1.130553400836472e-146,1.6880569650359169e-143,4.2849686211225956e-169,4.95515723198839e-131,8.502890373162502e-109,5.630916227635597e-146,2.769355463722537e-166
3.3999157196428595e-21,0.0005542981333333334,0.2,0.0,0.001631299406382466,0.1999999999999988,0.1999999999999948,0.19999999999999998,0.19999999999999024,1.2485456910183342e-48,2.868721653766566e-39,2.405889156698091e-102,3.481747863960605e-131,2.4931678712269897e-15,7.098445401683882e-21,1.9142405329039762e-35,9.773510488225367e-15,5.225457238127223e-15,4.168767308702578e-17,7.782236120468739e-42,1.3433802372765969e-38,7.781921492750767e-39,7.796974464755074e-54,5.782026918547456e-60,1.8090799865451613e-81,4.020773427587044e-76,6.501156500146559e-95,3.949838153470495e-131,1.431131564592682e-79,2.210276235751357e-109,6.772835794468745e-120,6.424917041582491e-109,1.300684597524609e-122,4.027731615257118e-144,6.013904696042888e-141,6.010941073307098e-165,7.05291862100585e-128,3.0252730868168484e-106,3.1837526096488215e-142,1.9728600693728013e-163
6.800569428371816e-21,0.0005542981333333334,0.2,0.0,0.0016312994063649284,0.19999999999999754,0.19999999999998958,0.19999999999999993,0.19999999999998047,2.497362392605527e-48,5.738065995106906e-39,9.635703533466228e-100,5.54397797457523e-128,4.9868769118791606e-15,1.4198431598779965e-20,7.658208652590852e-35,1.954914242201523e-14,1.0452048719113896e-14,8.338439491188713e-17,6.227365572760427e-41,8.465696891914718e-38,3.9430512503334606e-38,3.1192971346810745e-53,1.4493468961853754e-58,1.811766576128855e-79,6.160554228842696e-75,3.982224318274996e-93,3.162418689944176e-128,1.4332707441942013e-77,8.852409402077075e-107,6.3402659913050665e-117,1.2860824046819329e-106,2.0710786626560113e-119,1.615032152791415e-141,2.4114440523061106e-138,1.0757732445715721e-160,1.129944580434879e-124,1.2116565403402983e-103,2.0279740895613557e-138,1.581899309625875e-160
1.360187684582973e-20,0.0005542981333333334,0.2,0.0,0.0016312994063298531,0.19999999999999504,0.1999999999999791,0.19999999999999984,0.19999999999996093,4.994995795779726e-48,1.1476754677786676e-38,4.2479000399676954e-97,9.731952331653714e-125,9.974294992968965e-15,2.8398403992361495e-20,3.0635328084279555e-34,3.910040628257926e-14,2.0905231680836748e-14,1.667778384718159e-16,4.982523205599867e-40,5.859791555119192e-37,2.2412235686467277e-37,1.2478201150057516e-52,3.9975964138115084e-57,1.9971526450212868e-77,9.63916139288164e-74,2.491595660521165e-91,2.787386087693018e-125,1.5799302525605548e-75,3.902604963682651e-104,7.208362488179127e-114,2.834084299845998e-104,3.635594040658806e-116,7.126173477843837e-139,1.0640264108068136e-135,2.383536133163359e-156,1.992551372419551e-121,5.341615688328929e-101,1.424027618570694e-134,1.3958364969189111e-157
2.7204491680745555e-20,0.0005542981333333334,0.2,0.0,0.0016312994062597026,0.19999999999999005,0.1999999999999582,0.19999999999999968,0.19999999999992182,9.990262602127374e-48,2.2954132043142591e-38,1.9994498434322738e-94,1.8270056157039473e-121,1.9949131154290434e-14,5.679834877708196e-20,1.2254630149787973e-33,7.820293397564457e-14,4.181159760328046e-14,3.3356472523249785e-16,3.986270878571773e-39,4.3226742372442425e-36,1.4276471799523392e-36,4.991481262834028e-52,1.1768126626687561e-55,2.3503847173782035e-75,1.5254485119611e-72,1.576986767074983e-89,2.623540805665801e-122,1.8593720947889433e-73,1.8369251717675383e-101,9.835745190392586e-111,6.669035535423246e-102,6.825201707480682e-113,3.3562323351078e-136,5.011272678681475e-133,6.1992171560660805e-152,3.751488511491987e-118,2.51425610151204e-98,1.0693657669589131e-130,1.3147072309312689e-154
