Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99)
7.29142925810556e-22,0.002771490666666666,0.2,0.0,0.00815649703199624,0.19999999999999976,0.1999999999999989,0.2,0.19999999999999793,5.355240148440603e-50,1.2304470301300642e-40,1.1157848009974752e-110,1.5547576309430812e-141,5.346825821844854e-16,1.5223263385790512e-21,8.806981233158326e-37,2.096018437260437e-15,1.1206469493705122e-15,8.940301595683858e-18,1.5358775864299596e-44,6.777120801325692e-41,5.661682609217459e-41,7.174418594782969e-56,3.1001125339395005e-64,9.082537824948663e-88,4.4688569323685434e-80,6.67386649699245e-101,9.374101484109397e-173,7.12810137420009e-86,1.0239369066929436e-117
1.4589193380901047e-21,0.002771490666666666,0.2,0.0,0.008156497031992475,0.19999999999999948,0.1999999999999978,0.2,0.19999999999999582,1.0715132981632186e-49,2.4619630846129497e-40,3.0958889543699114e-108,1.6749250261774448e-138,1.0698297017985324e-15,3.045975289092439e-21,3.5250876595907494e-36,4.193857915632335e-15,2.242267527714197e-15,1.788837061103335e-17,1.2299477206753907e-43,3.3233345360246532e-40,2.430079497063666e-40,2.8716370742987818e-55,5.455382046892049e-63,6.312356958594415e-86,6.073534859303889e-79,3.622579302791593e-99,2.0192281503179603e-169,4.98907947381337e-84,2.8429912127560733e-115
2.918472162649202e-21,0.002771490666666666,0.2,0.0,0.008156497031984948,0.19999999999999896,0.19999999999999554,0.19999999999999998,0.19999999999999163,2.1434918648015175e-49,4.924995193578638e-40,1.0493921127366624e-105,2.243947433186621e-135,2.1401239410246485e-15,6.0932731901135916e-21,1.4104942283909087e-35,8.389536872068531e-15,4.485508684398311e-15,3.578450863766315e-17,9.844566806593874e-43,1.8185016017805838e-39,1.1035358099422003e-39,1.1490288209034933e-54,1.1602321538332407e-61,5.353026030777778e-84,8.855032842318562e-78,2.110399893749962e-97,5.4099488429627975e-166,4.234362460297033e-82,9.63947448701421e-113
5.837577811767397e-21,0.002771490666666666,0.2,0.0,0.008156497031969894,0.19999999999999787,0.19999999999999105,0.19999999999999996,0.19999999999998325,4.287448998078046e-49,9.851059411509679e-40,4.0836958212900785e-103,3.4675550339893504e-132,4.280712419468967e-15,1.2187868992133397e-20,5.642895377237037e-35,1.678089478371051e-14,8.971990997753518e-15,7.1576784674646e-17,7.877647948757415e-42,1.1185702808641156e-38,5.4645324421693105e-39,4.5968630312421115e-54,2.827183804139834e-60,5.2097680692453785e-82,1.3477439797571442e-76,1.2840057258499653e-95,1.671907559177921e-162,4.121369982616967e-80,3.7515787600274265e-110
1.1675789110003787e-20,0.002771490666666666,0.2,0.0,0.008156497031939786,0.19999999999999574,0.19999999999998208,0.19999999999999987,0.19999999999996645,8.57536326463083e-49,1.9703187847370423e-39,1.7658924404830098e-100,5.967399711015139e-129,8.561889376325954e-15,2.437706059608302e-20,2.2573418597059615e-34,3.356361060207281e-14,1.7944955624411845e-14,1.4316133668350468e-16,6.302916257757915e-41,7.603304240544299e-38,3.0257956473093107e-38,1.8388944996321908e-53,7.650283889964203e-59,5.63342066575511e-80,2.101134203674825e-75,8.004288429680724e-94,5.754262568703835e-159,4.456547498379166e-78,1.6223312304836564e-107
2.3352211706476566e-20,0.002771490666666666,0.2,0.0,0.008156497031879569,0.19999999999999146,0.19999999999996412,0.19999999999999973,0.1999999999999329,1.715119179773529e-48,3.9407444719086564e-39,8.212554144870333e-98,1.1064764444583876e-125,1.7124243289913315e-14,4.8755443803622284e-20,9.029734893482986e-34,6.712904221911077e-14,3.5890884877520153e-14,2.8633044044079386e-16,5.042652185108408e-40,5.544465751592974e-37,1.882238556226853e-37,7.355874399106617e-53,2.2253984629874758e-57,6.550724554738154e-78,3.3177684735182208e-74,5.0547065525009195e-92,2.1338684414435713e-155,5.182227654999662e-76,7.544975453513179e-105
4.6705056899422125e-20,0.002771490666666666,0.2,0.0,0.008156497031759136,0.1999999999999829,0.19999999999992824,0.19999999999999946,0.19999999999986576,3.430284886393981e-48,7.881595846249744e-39,3.992813350201424e-95,2.1477364380857592e-122,3.424895111658161e-14,9.751221021726093e-20,3.6119674687970106e-33,1.3425990537444015e-13,7.178274338290338e-14,5.726686469136602e-16,4.034249423414655e-39,4.220274445621851e-36,1.2904183395083786e-36,2.942407293426803e-52,6.76523941537203e-56,7.962804406577925e-76,5.2752487593821654e-73,3.214482267097167e-90,8.28383053677504e-152,6.299330160171718e-74,3.668257188455968e-102
9.341074728531324e-20,0.002771490666666666,0.2,0.0,0.008156497031518268,0.1999999999999658,0.19999999999985646,0.19999999999999887,0.1999999999997315,6.860616299633124e-48,1.576329859492336e-38,1.9900335775608747e-92,4.277370079199358e-119,6.849836676789243e-14,1.950257430387786e-19,1.4448017052614105e-32,2.685216313701128e-13,1.4356646039033627e-13,1.1453450556925432e-15,3.2274506094352374e-38,3.2900753368713393e-35,9.461827612481482e-36,1.1769730265657934e-51,2.107907053142617e-54,9.922172256418998e-74,8.439677628308384e-72,2.0569445509382952e-88,3.299546131280534e-148,7.849417064804182e-72,1.8282748403698791e-99
1.8682212805709545e-19,0.002771490666666666,0.2,0.0,0.008156497031036533,0.19999999999993154,0.19999999999971288,0.19999999999999774,0.19999999999946297,1.3721279126104355e-47,3.1526704092236344e-38,1.0049786831898542e-89,8.635769894253514e-116,1.3699719806241105e-13,3.900528086587756e-19,5.779236379309845e-32,5.370450821015136e-13,2.871338943918677e-13,2.290697856582913e-15,2.5819809156543567e-37,2.597566331305861e-34,7.224844728968184e-35,4.7079011511430867e-51,6.65406409575492e-53,1.252717766935481e-71,1.3829941029495266e-70,1.3479776102143229e-86,1.3323151180343604e-144,9.910339149085172e-70,9.232897336845487e-97
3.736448896006599e-19,0.002771490666666666,0.2,0.0,0.008156497030073062,0.19999999999986304,0.19999999999942575,0.19999999999999543,0.19999999999892593,2.7442604779018615e-47,6.305351508672532e-38,5.109639723273266e-87,1.755804782714415e-112,2.739948606190363e-13,7.801069398066161e-19,2.3117005615083955e-31,1.0740919785245373e-12,5.742687623415938e-13,4.581403391694066e-15,2.0655929032674427e-36,2.0641982288911222e-33,5.642020649761887e-34,1.8831533548858425e-50,2.1146447585627454e-51,1.592325183689473e-69,2.6552062356674746e-69,1.0338840514472364e-84,5.417655234967677e-141,1.2597266538574673e-67,4.6943066203637763e-94
