Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148)
9.371079663794337e-22,0.002217192533333333,0.2,0.0,0.006525197625595677,0.1999999999999997,0.19999999999999873,0.2,0.19999999999999762,7.095442394618766e-59,1.2782061714287854e-46,1.4525990455296466e-113,1.721772241077169e-146,6.146359995200804e-16,1.413525404508077e-22,2.9247209708410432e-39,2.4094452113125425e-15,1.2882205642902257e-15,1.027718386566093e-17,2.3622765512475023e-46,9.162445082055486e-42,2.359163351216479e-42,8.567352870374842e-62,1.531074561759017e-66,2.7242476620021055e-90,1.4535222326800148e-86,4.9910502745738266e-107,1.2084965585866053e-147,6.427307764346994e-88,3.9475529009498953e-122,1.6790358894239318e-133,3.248298791320458e-123,3.7732083986020084e-137,2.66663404408132e-161,2.7408280519004876e-156,2.168059977814907e-183,1.3172970332606016e-141,9.246933563066347e-118,1.5699048016957585e-158
1.8750301012787453e-21,0.002217192533333333,0.2,0.0,0.00652519762559135,0.1999999999999994,0.19999999999999746,0.2,0.1999999999999952,1.4197049378633288e-58,2.5575228608170757e-46,6.865808918942355e-111,3.250389060397356e-143,1.2298060007762747e-15,2.828278893639638e-22,1.1706505931730856e-38,4.820983772020513e-15,2.577560347140795e-15,2.0563296645614868e-17,1.8917371315805676e-45,6.777896810309178e-41,1.329754105265149e-41,3.429173766199852e-61,4.52213457103117e-65,3.21812583248877e-88,2.298768015591285e-85,3.1581721485417906e-105,1.1422508517807584e-144,7.592512957880928e-86,1.865838018132775e-119,2.032131896142886e-130,7.6727848556072384e-121,7.123124138066914e-134,1.260637722661772e-158,1.29571256356045e-153,5.6920348615539524e-179,2.49151654293628e-138,4.370626723273035e-115,1.185981651329734e-154
3.750874371077369e-21,0.002217192533333333,0.2,0.0,0.0065251976255826976,0.1999999999999988,0.19999999999999488,0.19999999999999998,0.19999999999999038,2.8400263346662077e-58,5.116156239593557e-46,3.368529702761041e-108,6.372855702045986e-140,2.460146003285397e-15,5.657785871895256e-22,4.6841272201398203e-38,9.644060893287373e-15,5.156239912838452e-15,4.113552219635872e-17,1.5141564360259212e-44,5.201276122491633e-40,8.40554412833963e-41,1.3721160982225223e-60,1.3866079525521693e-63,3.946672999919716e-86,3.661100104226992e-84,2.0121513303311931e-103,1.1210073788922192e-141,9.311372198146989e-84,9.154246704291376e-117,2.86724743848266e-127,1.8821867265454388e-118,1.3965911822343386e-130,6.187306506673999e-156,6.359456511695623e-151,1.6506132908420927e-174,4.8905596935524306e-135,2.1443338000244158e-112,9.303125907612765e-151
7.502562910674616e-21,0.002217192533333333,0.2,0.0,0.006525197625565392,0.19999999999999757,0.1999999999999897,0.19999999999999996,0.19999999999998072,5.6806691282718605e-58,1.0233422997146118e-45,1.6870560399000946e-105,1.2760069039890862e-136,4.9208260082905746e-15,1.1316799828376476e-21,1.8739559036526153e-37,1.9290215135224758e-14,1.0313599044219845e-14,8.227997326119031e-17,1.2116319160300566e-43,4.07256017716342e-39,5.83100313315633e-40,5.489357231588921e-60,4.3402993432288925e-62,4.941186244901265e-84,5.902048520380677e-83,1.2974497268283117e-101,1.124029786431338e-138,1.1657725095891726e-81,4.584708643602205e-114,4.621467382644679e-124,4.717743657864786e-116,2.7963289552999417e-127,3.1024034918459944e-153,3.1887219522411696e-148,5.071116621194571e-170,9.798300477149398e-132,1.073943713794388e-109,7.45167389564024e-147
1.500593998986911e-20,0.002217192533333333,0.2,0.0,0.006525197625530782,0.1999999999999951,0.1999999999999794,0.19999999999999987,0.19999999999996143,1.1361954715482746e-57,2.0467956512249643e-45,8.541311136260808e-103,2.5833671879686077e-133,9.84218601824866e-15,2.263482774121884e-21,7.496433710549241e-37,3.85825236167142e-14,2.062831730692694e-14,1.6456887524422905e-16,9.694282546824272e-43,3.2226539717791997e-38,4.3073421968574423e-39,2.1959210984777373e-59,1.3733930989057693e-60,6.253916325691367e-82,1.0212465311557894e-81,8.973079587257822e-100,1.1431261179945589e-135,1.475484801022178e-79,2.321169071986692e-111,8.222569003767116e-121,1.1994252992449578e-113,5.6613680260887935e-124,1.5777153126681152e-150,1.6216122314645595e-145,1.6075326159618766e-165,1.9843938269599662e-128,5.437215587791953e-107,6.034897930045358e-143
3.00126941482581e-20,0.002217192533333333,0.2,0.0,0.00652519762546156,0.19999999999999019,0.19999999999995877,0.1999999999999997,0.19999999999992285,2.2724525889902834e-57,4.093702354245031e-45,4.3484547017625997e-100,5.260097767488821e-130,1.9684906037955763e-14,4.5270883566423294e-21,2.998695524792564e-36,7.716714057015172e-14,4.1257753832118364e-14,3.2914667862380867e-16,7.755916954736826e-42,2.5639618656763698e-37,3.302871998933122e-38,8.784037915594354e-59,4.370044962285632e-59,7.959677438790948e-80,2.6304813467022146e-80,9.211070880978776e-98,1.1843170733491617e-132,1.8779253219863075e-77,1.1817270680578111e-108,1.558752207206581e-117,3.1065842241902623e-111,1.1527339169137243e-120,8.174247862414611e-148,8.40168070671981e-143,5.1797423013487265e-161,4.0412020729017865e-125,2.7681330475734395e-104,4.915289279427727e-139
6.002620246503607e-20,0.002217192533333333,0.2,0.0,0.006525197625323117,0.19999999999998033,0.1999999999999175,0.19999999999999937,0.1999999999998457,4.5449668238736327e-57,8.187515760282609e-45,2.2200806565881196e-97,1.0741274466535855e-126,3.937034607653367e-14,9.054299521491106e-21,1.1995026320985674e-35,1.5433637443886138e-13,8.251662688161017e-14,6.583022830369765e-16,6.204929936500049e-41,2.0455015714084124e-36,2.5850931368650763e-37,3.51368384777531e-58,1.394441833720867e-57,1.0159346982639443e-77,1.6946030275166496e-78,2.3627972300021172e-95,1.2925699488388108e-129,2.396894915035284e-75,6.033245337224338e-106,3.0650934551418905e-114,8.47665684951525e-109,2.3539166061816584e-117,4.463071025036499e-145,4.587247448097301e-140,1.6829820582930268e-156,8.253023103669719e-122,1.4132557473737522e-101,4.01491922643051e-135
1.2005321909859203e-19,0.002217192533333333,0.2,0.0,0.006525197625046232,0.19999999999996065,0.19999999999983498,0.1999999999999987,0.19999999999969134,9.089995293637751e-57,1.6375142572347625e-44,1.1350564396882765e-94,2.1965876310391585e-123,7.874122615034434e-14,1.8108721850420212e-20,4.7980594822519777e-35,3.086748420236193e-13,1.650343729770296e-13,1.316613482479347e-15,4.964022499173542e-40,1.6341291411504728e-35,2.045191601948449e-36,1.4054866045866264e-57,4.455844342619888e-56,1.2985323299583218e-75,1.8996101943696293e-76,1.0580897199485754e-92,1.662536783537294e-126,3.063632511790966e-73,3.084605937135755e-103,6.1475192228776654e-111,2.7260837704733933e-106,4.813752909846079e-114,2.8746544867246524e-142,2.9546362427162387e-137,5.491374465356673e-152,1.687839769273225e-118,7.2255258571190315e-99,3.2842211502560853e-131
2.401072523657039e-19,0.002217192533333333,0.2,0.0,0.006525197624492461,0.1999999999999213,0.19999999999966994,0.1999999999999974,0.19999999999938267,1.8180052233161564e-56,3.2750396196439453e-44,5.8072810984115084e-92,4.495271983066646e-120,1.5748298628458515e-13,3.621756650520464e-20,1.919233670963922e-34,6.173517765824892e-13,3.300698651536119e-13,2.633235843828228e-15,3.9712494190731585e-39,1.3063866479477208e-34,1.6269993006630963e-35,5.621997436774262e-57,1.42484266049933e-54,1.6609145704680173e-73,2.387097404416412e-74,5.317497229689093e-90,3.0978281881653365e-123,3.918615051615424e-71,1.5781747192273015e-100,1.2457374409587462e-107,1.2701892729971474e-103,9.851247601194343e-111,2.685320333045845e-139,2.7600342061984656e-134,1.7955623404883052e-147,3.4543119002878202e-115,3.696790513864434e-96,2.688445641986784e-127
4.802153188999277e-19,0.002217192533333333,0.2,0.0,0.006525197623384919,0.19999999999984255,0.19999999999933987,0.19999999999999477,0.1999999999987653,3.636016611255438e-56,6.550090344454533e-44,2.9722014925149104e-89,9.202748070868787e-117,3.1496650649954437e-13,7.243525580247829e-20,7.676955138010541e-34,1.2347056432576456e-12,6.601408494497497e-13,5.266480416382561e-15,3.1770121024089165e-38,1.0447301624442416e-33,1.297936735237401e-34,2.2489257587088234e-56,4.557798832190315e-53,2.1251630705068302e-71,3.047518363074013e-72,2.715397760281744e-87,8.902036208717953e-120,5.013954363467168e-69,8.077193449885651e-98,2.5376486636239617e-104,9.12686706674458e-101,2.0167533863064255e-107,3.8663485423536534e-136,3.9739221887046367e-131,5.877267866163312e-143,7.072205245600675e-112,1.8920395966279367e-93,2.2015245295084843e-123
