Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
6.414003034120435e-22,0.0033257888,0.2,0.0,0.009787796438396376,0.19999999999999976,0.19999999999999896,0.2,0.199999999999998,4.641001055030823e-44,1.3658057400445158e-36,4.513449396515912e-105,1.918750706462533e-134,5.152323866241044e-16,7.85052942019604e-21,4.3505588795828974e-35,2.019771389231538e-15,1.0798874598018302e-15,8.615079454410679e-18,2.713432118531993e-43,6.643271691036587e-40,6.542316178373242e-40,7.673965492114973e-52,3.2306937538064453e-59,2.2034966047313138e-82,2.49885042522001e-75,2.2109282602045216e-96,1.0680630237431084e-161
1.2833578616489454e-21,0.0033257888,0.2,0.0,0.009787796438392749,0.1999999999999995,0.19999999999999787,0.2,0.199999999999996,9.286034256938253e-44,2.732798105406156e-36,2.3884347823472957e-103,3.950107655982352e-132,1.0309124121587535e-15,1.5707879456735487e-20,1.741357340404979e-34,4.041297575322291e-15,2.160713136331438e-15,1.7237643772846632e-17,2.172946385098988e-42,2.7667066575220138e-39,2.685860424495179e-39,3.071586021662924e-51,1.2959696459365857e-58,2.919633582505775e-81,2.5412296152860973e-74,8.975754730138943e-95,4.396351476755976e-159
2.567272978122749e-21,0.0033257888,0.2,0.0,0.009787796438385496,0.19999999999999898,0.1999999999999957,0.19999999999999998,0.19999999999999193,1.8576100660752972e-43,5.4667828361293475e-36,1.3780510912794151e-101,8.92522773263195e-130,2.0622724632265202e-15,3.1422579529791097e-20,6.967697586247111e-34,8.084349946971134e-15,4.322364489374671e-15,3.448277240721183e-17,1.7392378143846492e-41,1.193204374751447e-38,1.1284947104126142e-38,1.2290344466085073e-50,5.235161962286205e-58,4.21561674124078e-80,2.89864766322633e-73,4.085018676818839e-93,1.986272010296402e-156
5.135103211070357e-21,0.0033257888,0.2,0.0,0.009787796438370988,0.19999999999999796,0.19999999999999138,0.19999999999999996,0.19999999999998386,3.715623346838182e-43,1.0934752297575371e-35,8.627375188261082e-100,2.1912512409463775e-127,4.124992565355928e-15,6.285197967580913e-20,2.78753274504056e-33,1.6170454688138172e-14,8.645667195397205e-15,6.897302966591542e-17,1.3917426200589375e-40,5.462996220384738e-38,4.945189237946781e-38,4.916937648222362e-50,2.1864832047696578e-57,6.602337714658051e-79,3.7032699855837325e-72,2.0827867190158537e-91,9.751351096387406e-154
1.0270763676965572e-20,0.0033257888,0.2,0.0,0.009787796438341975,0.1999999999999959,0.19999999999998272,0.1999999999999999,0.19999999999996768,7.431649908363723e-43,2.1870691220465988e-35,6.409095475108136e-98,6.258557430026166e-125,8.250432769590246e-15,1.2571077996747257e-19,1.1151038473805316e-32,3.234266416194966e-14,1.729227260718655e-14,1.379535441432154e-16,1.1135350606516755e-39,2.736940862929731e-37,2.3226451250089165e-37,1.9669347805742254e-49,1.0626688389925774e-56,1.2282577644850539e-77,5.177294267054998e-71,1.1627678240664127e-89,5.568682955516519e-151
2.0542084608756002e-20,0.0033257888,0.2,0.0,0.009787796438283949,0.19999999999999177,0.19999999999996543,0.19999999999999976,0.19999999999993534,1.486370303141388e-42,4.37425690662415e-35,7.890464962283772e-96,2.81718221680051e-122,1.650131317796088e-14,2.514283805493086e-19,4.4605969010613937e-32,6.468708307548225e-14,3.4585483429742334e-14,2.759145729373864e-16,8.908844377645812e-39,1.5360876514643492e-36,1.2046337534760311e-36,7.868056476496028e-49,8.560362764201553e-56,3.801116278029367e-76,7.685206039218806e-70,6.896870265928128e-88,5.0100839999355985e-148
4.1084726472336865e-20,0.0033257888,0.2,0.0,0.009787796438167896,0.19999999999998352,0.19999999999993084,0.19999999999999948,0.19999999999987064,2.972780927751053e-42,8.748632475776962e-35,2.0760731323177813e-93,2.741260008528503e-119,3.300307399431014e-14,5.028635817070181e-19,1.7842750684572284e-31,1.2937592076618597e-13,6.917190507076231e-14,5.518366298840127e-16,7.127301065325897e-38,9.674636400168459e-36,7.02298005311795e-36,3.147284382764256e-48,1.4483749933718905e-54,2.5142703102336264e-74,1.181751602422383e-68,4.239623815353733e-86,9.74430037107709e-145
8.217001019949859e-20,0.0033257888,0.2,0.0,0.00978779643793579,0.199999999999967,0.19999999999986168,0.19999999999999893,0.19999999999974127,5.94560217696891e-42,1.7497383614073431e-34,8.375573750385933e-91,4.314245981075082e-116,6.600659562544067e-14,1.0057339839985853e-18,7.137172931169089e-31,2.587535956021475e-13,1.3834474833643585e-13,1.1036807412104022e-15,5.701931077885102e-37,6.693979125848382e-35,4.572714492396921e-35,1.2589247678065666e-47,3.6814051549065406e-53,2.5410873286330816e-72,1.8525045750876946e-67,2.6575686656598766e-84,3.066549665426844e-141
1.6434057765382203e-19,0.0033257888,0.2,0.0,0.009787796437471578,0.199999999999934,0.19999999999972334,0.19999999999999782,0.1999999999994825,1.1891244675398735e-41,3.4994885890629742e-34,3.887343291885542e-88,7.959539755251818e-113,1.3201363888142973e-13,2.0114747884863146e-18,2.854883736503166e-30,5.175089430922868e-13,2.7669043480231725e-13,2.2073689535957298e-15,4.5615809511754615e-36,4.936769474728651e-34,3.2398947548206736e-34,5.035710350072172e-47,1.0699678016646226e-51,2.9501432733904575e-70,2.933491266812977e-66,1.683060618517944e-82,1.131469229647535e-137
3.286817125624689e-19,0.0033257888,0.2,0.0,0.009787796436543152,0.199999999999868,0.19999999999944665,0.1999999999999956,0.199999999998965,2.378252967223483e-41,6.998989044359587e-34,1.8988038706812063e-85,1.5518624036829675e-109,2.640277253683197e-13,4.022956397080149e-18,1.1419564334171312e-29,1.0350196293454311e-12,5.533818074722173e-13,4.4147453372965794e-15,3.649279193890088e-35,3.7818640809480326e-33,2.4245995733004457e-33,2.014277795509673e-46,3.2686027306825697e-50,3.603176767735784e-68,4.6707468269047975e-65,1.071827514678185e-80,4.411961055054417e-134
