Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104)
8.267700102754613e-22,0.0005542981333333334,0.2,0.0,0.0016312994063957362,0.19999999999999973,0.19999999999999876,0.2,0.19999999999999765,3.0361344777718874e-49,6.975975955695918e-40,1.7281128060636483e-107,1.504998627870729e-137,6.062728010068662e-16,1.726155076094097e-21,1.132325187884145e-36,2.376660492148184e-15,1.2706936555887205e-15,1.0137344792623605e-17,1.1195480863352504e-43,4.487953923600119e-40,3.674876975496334e-40,4.61212226537119e-55,1.179185045466777e-62,2.193594573927687e-85,1.780725761460887e-78,1.7088831345985215e-98,6.9119932053687035e-137,1.7332536693894563e-83,1.5873101630965936e-114,1.0349145974293282e-125,1.8992155967819587e-113,5.6222434649061875e-129,2.8836061529509176e-149,4.305582953721859e-146,2.8001956777905567e-173,2.997779085015865e-134,2.1726000872741125e-111
1.6542583263808752e-21,0.0005542981333333334,0.2,0.0,0.0016312994063914688,0.19999999999999943,0.19999999999999749,0.2,0.19999999999999526,6.074906778721647e-49,1.3958012707182875e-39,5.391690195571906e-105,1.8615221377837598e-134,1.213072337718455e-15,3.453809852502901e-21,4.532251682245791e-36,4.755385849920035e-15,2.542491302185174e-15,2.0283497007274707e-17,8.965464625144013e-43,2.2415236346941272e-39,1.5904027863729058e-39,1.8460508080981757e-54,2.306052220314964e-61,1.711388939448345e-83,2.4570480584039938e-77,9.418477171629653e-97,4.3101791492875233e-134,1.3536968944843976e-81,4.953062649263822e-112,6.751165368387786e-123,2.9602813957676126e-111,6.954123191287699e-126,9.013376491141919e-147,1.3458093136605961e-143,2.9622480906569793e-169,3.74285820805827e-131,6.779408999512919e-109
3.3092349585917034e-21,0.0005542981333333334,0.2,0.0,0.001631299406382934,0.19999999999999882,0.19999999999999493,0.19999999999999998,0.19999999999999052,1.2152451380621055e-48,2.792208621015626e-39,1.9089134549886876e-102,2.6178693797885484e-131,2.42667141112893e-15,6.909119405284354e-21,1.8134910309044616e-35,9.512836565048335e-15,5.0860865953632495e-15,4.0575801431260166e-17,7.176005448849505e-42,1.2531551835655862e-38,7.319948338760139e-39,7.386607410380352e-54,5.111189560375625e-60,1.5151060949502753e-81,3.6171107502917866e-76,5.540853241230669e-95,3.050407716665937e-131,1.1985727217423889e-79,1.753705690391272e-109,5.207051710658894e-120,5.237502250014444e-109,9.779634729977185e-123,3.1955567697560946e-144,4.7713640579507437e-141,4.1092900401529657e-165,5.301507952226033e-128,2.4003509314538053e-106
6.619188223013359e-21,0.0005542981333333334,0.2,0.0,0.001631299406365864,0.1999999999999976,0.19999999999998985,0.19999999999999996,0.199999999999981,2.430754058441942e-48,5.5850233216100874e-39,7.612397399047775e-100,4.150253583486871e-128,4.853869557899068e-15,1.381973851070263e-20,7.255145037154241e-35,1.9027737993643326e-14,1.017327718166007e-14,8.116041025796411e-17,5.742258213496805e-41,7.863927911490484e-38,3.6935929530237066e-38,2.9551236194542067e-53,1.2757005862044733e-58,1.5108331730490638e-79,5.535889419650212e-75,3.39016162298811e-93,2.431776633267955e-128,1.1952051578985342e-77,6.993576992714885e-107,4.8377742706716834e-117,1.0438830755862667e-106,1.550421265003691e-119,1.275851190190889e-141,1.905004652010447e-138,7.276984282244526e-161,8.456975547419037e-125,9.572324225281383e-104
1.323909475185667e-20,0.0005542981333333334,0.2,0.0,0.0016312994063317242,0.19999999999999518,0.19999999999997967,0.19999999999999987,0.19999999999996196,4.861771899201439e-48,1.1170652722798148e-38,3.345252497430542e-97,7.261701810519208e-125,9.708265851236101e-15,2.764097672096069e-20,2.9022942378492255e-34,3.805754084418686e-14,2.03476583540164e-14,1.6232962782630406e-16,4.594388183420179e-40,5.426401196559299e-37,2.0897167634485193e-37,1.1821453866535597e-52,3.507517666110366e-57,1.6601364108927333e-77,8.656575043633216e-74,2.1198620643495505e-91,2.1365623681646328e-125,1.313319550170154e-75,3.073329763725031e-104,5.459047660888989e-114,2.2930352451522588e-104,2.7127752284525114e-116,5.6117452254084035e-139,8.379034202746578e-136,1.5982794431599914e-156,1.4865645039313813e-121,4.2065611632722224e-101
2.6478907809543296e-20,0.0005542981333333334,0.2,0.0,0.0016312994062634447,0.19999999999999032,0.19999999999995932,0.1999999999999997,0.1999999999999239,9.723807580719725e-48,2.2341911525170838e-38,1.571413777028941e-94,1.3604336836013492e-121,1.941705843709719e-14,5.528345313916277e-20,1.160964960187493e-33,7.611714651868814e-14,4.069642069777981e-14,3.246680626227123e-16,3.675743205748011e-39,3.995175050499288e-36,1.325668026506485e-36,4.728771839020421e-52,1.030481412202429e-55,1.9498365901825746e-75,1.3694819564296177e-72,1.3412447187970346e-89,2.0069143531027507e-122,1.5425012833202763e-73,1.4436818446597283e-101,7.399498362938165e-111,5.384981414375823e-102,5.0822143572624236e-113,2.6376869778680474e-136,3.938395011825008e-133,4.131554150680723e-152,2.7932059789194474e-118,1.9760118391348237e-98
5.295853392491654e-20,0.0005542981333333334,0.2,0.0,0.0016312994061268857,0.1999999999999806,0.19999999999991863,0.19999999999999937,0.1999999999998478,1.9447878943753466e-47,4.4684429129902446e-38,7.683713268655073e-92,2.656329976847705e-118,3.883464360556746e-14,1.1056840596631081e-19,4.6439545226740474e-33,1.522363577613476e-13,8.139394538150962e-14,6.493449308544421e-16,2.940687630662059e-38,3.0577416935541497e-35,9.22083672143719e-36,1.89154552139883e-51,3.150455420867157e-54,2.3836886960456394e-73,2.1848943341382864e-71,8.558488099652134e-88,1.9626980748495248e-119,1.8857241863757354e-71,7.0591477558326674e-99,1.16793026290936e-107,1.316622508703733e-99,9.923337041975362e-110,1.2903698869691997e-133,1.92668287357271e-130,1.1875075994655735e-147,5.463143446548455e-115,9.662073020674099e-96
1.0591778615566304e-19,0.0005542981333333334,0.2,0.0,0.0016312994058537676,0.19999999999996118,0.19999999999983722,0.19999999999999873,0.19999999999969556,3.8896021669809613e-47,8.936946433931064e-38,3.841357384619654e-89,5.307131767858507e-115,7.766981392950037e-14,2.211383115835825e-19,1.8576008657398202e-32,3.044747798212941e-13,1.6278899473378127e-13,1.298698661873555e-15,2.3525873309130508e-37,2.3908138706599467e-34,6.822847172607619e-35,7.566245482335677e-51,9.846042178548548e-53,2.979337723312887e-71,3.568429259576554e-70,5.5899585310198225e-86,1.9635534140444016e-116,2.3569534171545925e-69,3.5291155891849627e-96,2.056376159526253e-104,3.293044092770499e-97,1.982602512265848e-106,6.456257232487524e-131,9.639995757900732e-128,3.6308025436197207e-143,1.0924923924090237e-111,4.83040909634118e-93
2.1183629061715602e-19,0.0005542981333333334,0.2,0.0,0.0016312994053075314,0.19999999999992235,0.19999999999967444,0.19999999999999743,0.19999999999939108,7.779230712187656e-47,1.787395347579069e-37,1.942994830235451e-86,1.0732516712188641e-111,1.5534015452533573e-13,4.42278122670028e-19,7.430442537405371e-32,6.089516222396972e-13,3.255790933775726e-13,2.597406102134394e-15,1.882084754421348e-36,1.8904694370199704e-33,5.236741787022021e-34,3.0265027678222167e-50,3.1130185525848024e-51,3.76751788481399e-69,6.75150952956519e-69,4.225487722075572e-84,1.9913290929687325e-113,2.9805186559730355e-67,1.785060024868758e-93,3.878168936765707e-101,8.349150241513905e-95,4.009381548988508e-103,3.274270869153809e-128,4.888894006025812e-125,1.1480327347348737e-138,2.210408738549924e-108,2.4432664274965723e-90
4.2367329954014203e-19,0.0005542981333333334,0.2,0.0,0.001631299404215059,0.1999999999998447,0.19999999999934887,0.19999999999999482,0.19999999999878212,1.5558487802582922e-46,3.57479675594219e-37,9.88677268832166e-84,2.1839380438597928e-108,3.1068083550888455e-13,8.845577442505265e-19,2.9721855986181733e-31,1.217905300270544e-12,6.511592904221477e-13,5.194820895546528e-15,1.50567375787479e-35,1.5034555770177528e-32,4.100772471272668e-33,1.2105956519979813e-49,9.901008658885207e-50,4.792726279179951e-67,2.4168544286764692e-67,6.029161162454985e-82,2.0469933276222408e-110,3.791662423343466e-65,9.08313415602885e-91,7.606168551200435e-98,2.145658970479758e-92,8.15860945187214e-100,1.683142850206581e-125,2.51314180122004e-122,3.6941317390670546e-134,4.4991607575187936e-105,1.2432362812501697e-87
