Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH3OX(49)
0.0,0.002771490666666666,0.2,0.0,0.008156497031999999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.326734441576277e-25,0.002771490666666666,0.2,0.0,0.008156497031999995,0.2,0.2,0.2,0.2,6.115627129943295e-53,1.4051573843262316e-43,-1.397883738197954e-132,1.0996630466839464e-162,8.777400959414013e-19,1.7384804413594653e-24,2.9824919433276302e-34,2.3936306990483717e-18,1.7384804420683358e-24,1.0209729064811857e-20,1.006345458259967e-58,1.4896503651695061e-46,1.4765278665413727e-46,1.4028570124887878e-61,7.559264189132718e-71,2.8380803144865785e-98,5.071464443095338e-89,-4.7707649717124744e-120,1.1065393877324672e-97
2.3314856436413574e-24,0.002771490666666666,0.2,0.0,0.00815649703199999,0.2,0.2,0.2,0.2,1.7123755963841224e-52,3.934440676113448e-43,1.6933398901949562e-131,1.8798855771018004e-161,2.4576722686359222e-18,4.8677452358065e-24,8.350977497112807e-34,6.70216595733512e-18,4.867745237791337e-24,2.858724138147319e-20,1.5207879607804088e-57,9.118009758040067e-46,8.919702569799766e-46,8.473256355432273e-61,4.5657955705375524e-70,4.4609142772587985e-97,7.664002629397204e-88,4.713827175724456e-119,3.0328903755536703e-96
5.329110042608817e-24,0.002771490666666666,0.2,0.0,0.008156497031999978,0.2,0.2,0.2,0.2,3.914001363163708e-52,8.993007259687882e-43,1.1272921363492676e-129,6.015455080951647e-159,5.617536614024955e-18,1.1126274824700549e-23,1.9087948827864917e-33,1.531923647390732e-17,1.1126274829237315e-23,6.534226601479579e-20,1.6359938052607727e-56,4.509242121261145e-45,4.295912298184191e-45,4.079508192317388e-60,2.1982340270085355e-69,5.181435013411955e-96,8.244597580590953e-87,2.599890864420805e-117,6.289149650887608e-95
1.1324358840543736e-23,0.002771490666666666,0.2,0.0,0.008156497031999953,0.2,0.2,0.2,0.19999999999999998,8.317252896722881e-52,1.911014042683675e-42,6.083886896670629e-128,1.283824760139138e-156,1.1937265304802984e-17,2.364333400248858e-23,4.056189238209617e-33,3.255337750704654e-17,2.3643334012129207e-23,1.3885231528144077e-19,1.5037599759946232e-55,2.073499165633804e-44,1.8774123048018394e-44,1.7816284058607538e-59,9.600265536600328e-69,5.467300147660703e-95,7.578230107180467e-86,1.0232303949621987e-115,1.1355185856788008e-93
2.3314856436413575e-23,0.002771490666666666,0.2,0.0,0.008156497031999907,0.2,0.2,0.2,0.19999999999999996,1.7123755963841223e-51,3.934440676113447e-42,3.31578468083011e-126,2.4104412367857423e-154,2.4576722686358896e-17,4.8677452358064343e-23,8.35097830614668e-33,6.702165957330429e-17,4.867745237791269e-23,2.8587241381472974e-19,1.2864982446701673e-54,9.526028111531823e-44,7.848463733911164e-44,7.437947880215493e-59,4.00792190437105e-68,5.883702451840443e-94,6.483377370752105e-85,3.6153268036392065e-114,1.9257289948075526e-92
4.729585162815325e-23,0.002771490666666666,0.2,0.0,0.008156497031999813,0.2,0.2,0.2,0.1999999999999999,3.4736762098077914e-51,7.981293942972991e-42,1.8976692055441523e-124,4.588845442712561e-152,4.9855637449470144e-17,9.874568906921471e-23,1.6940557870384064e-32,1.3595822370573698e-16,9.87456891094785e-23,5.799126108813041e-19,1.0637015974912931e-53,4.602085928721022e-43,3.2150432606071805e-43,3.038644403331171e-58,1.6373669217395108e-67,6.8598431933966175e-93,5.36065119122957e-84,1.2146141379221746e-112,3.1704674498940287e-91
9.52578420116326e-23,0.002771490666666666,0.2,0.0,0.008156497031999624,0.19999999999999998,0.2,0.2,0.19999999999999976,6.996277436655127e-51,1.607500047669207e-41,1.1359156427160906e-122,9.388573221055114e-150,1.0041346697569027e-16,1.9888216249151083e-22,3.411972271231186e-32,2.738313519702713e-16,1.988821625726055e-22,1.1679930050144377e-18,8.649844617334774e-53,2.4345167177868624e-42,1.3065966558505205e-42,1.2282686515705113e-57,6.618499943807256e-67,8.823172331394229e-92,4.3593054033191256e-83,3.9817751608991214e-111,5.145061858631808e-90
1.9118182277859131e-22,0.002771490666666666,0.2,0.0,0.008156497031999246,0.19999999999999993,0.2,0.2,0.19999999999999948,1.4041479890349797e-50,3.22624135441302e-41,7.007155655430068e-121,2.078825388319809e-147,2.0152912602812114e-16,3.9915510933608445e-22,6.847807524997951e-32,5.49577608498015e-16,3.9915510949884096e-22,2.3441537932806452e-18,6.976412998703149e-52,1.440734353003248e-41,5.310259619114116e-42,4.938814226747328e-57,2.6612722712318234e-66,1.235046494869404e-90,3.516119823169048e-82,1.2896301855701514e-109,8.290306252264048e-89
3.8302978431250876e-22,0.002771490666666666,0.2,0.0,0.00815649703199849,0.19999999999999982,0.2,0.2,0.19999999999999893,2.813188479773912e-50,6.463723967900639e-41,4.3987157271065994e-119,4.891284056625891e-145,4.0376044413294523e-16,7.997010030251576e-22,1.3719487174056316e-31,1.1010701215482036e-15,7.997010033512377e-22,4.696475369812821e-18,5.603834295250246e-51,9.482235580178475e-41,2.1749630714539854e-41,1.980685398791263e-56,1.0672960528184037e-65,1.8329559453938712e-89,2.8246311845938815e-81,4.152045078861056e-108,1.3311270336945379e-87
