Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112)
0.0,0.0033257888,0.2,0.0,0.009787796438399998,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.356583612383121e-25,0.0033257888,0.2,0.0,0.009787796438399993,0.2,0.2,0.2,0.2,5.32302715244578e-47,1.5665200143280334e-39,-7.482397005871681e-119,1.917877180429845e-153,5.909492265354968e-19,9.004217143949946e-24,8.58107442129252e-41,2.3165902829152215e-18,1.2385841334584168e-18,9.881122911793471e-21,7.160552798301723e-52,1.2573770240063973e-45,1.2573503827812813e-45,1.513618647302326e-57,6.367798195603281e-65,2.0326243538084703e-91,4.818221609792939e-84,-7.629738773867249e-110,2.4401569030586414e-183,2.2920094044227488e-91,-8.095534473675022e-125,-5.140465999619512e-140
2.059843411467274e-24,0.0033257888,0.2,0.0,0.009787796438399988,0.2,0.2,0.2,0.2,1.4904476026848181e-46,4.386256040118493e-39,7.439394661665516e-118,3.1509200927784424e-152,1.6546578342993898e-18,2.5211808003059836e-23,5.1829689504619325e-40,6.486452792162054e-18,3.4680355736835505e-18,2.766714415301906e-20,1.082102741189694e-50,7.595200734939218e-45,7.594798130521371e-45,9.142256629312369e-57,3.846150136896136e-64,3.083093662948861e-90,7.286649317373969e-83,7.548004164060162e-109,7.460187345563397e-182,3.8986417689987844e-90,8.048946627236189e-124,1.5422088501291124e-138
4.708213511925198e-24,0.0033257888,0.2,0.0,0.009787796438399972,0.2,0.2,0.2,0.2,3.406737377565299e-46,1.0025728091699413e-38,4.131662562624306e-116,9.500575823846136e-150,3.7820750498271695e-18,5.762698972127951e-23,2.4953764417136916e-39,1.4826177810653452e-17,7.92693845413375e-18,6.323918663545958e-20,1.1640767499491008e-49,3.657399264606491e-44,3.6569661603756396e-44,4.40160302576464e-56,1.8517557860980383e-63,3.341989580767086e-89,7.85055100473948e-82,4.168806134142128e-107,4.359064414046854e-179,5.161432596790184e-89,4.470145636273095e-122,2.0031599426441306e-136
1.0004953712841045e-23,0.0033257888,0.2,0.0,0.009787796438399943,0.2,0.2,0.2,0.19999999999999998,7.239316927326261e-46,2.1304672194861253e-38,1.650396209857892e-114,1.827275771626809e-147,8.036909480882702e-18,1.2245735315771849e-22,1.0897964515060155e-38,3.1505627847627185e-17,1.6844744215033876e-17,1.3438327160029791e-19,1.0699870859751364e-48,1.5978386817213966e-43,1.5974405840382947e-43,1.922295681463745e-55,8.087105079155451e-63,3.118533260084133e-88,7.237938333571513e-81,1.6455981274051207e-105,1.6782746498676936e-176,6.526149095418081e-88,1.785564970492195e-120,1.7433669677376965e-134
2.059843411467274e-23,0.0033257888,0.2,0.0,0.009787796438399884,0.2,0.19999999999999998,0.2,0.19999999999999996,1.490447602684818e-45,4.3862560401184923e-38,6.003383183871422e-113,2.881378888349663e-145,1.6546578342993667e-17,2.5211808003059476e-22,4.5496856581859893e-38,6.486452792153838e-17,3.4680355736833046e-17,2.76671441529804e-19,9.153964791501471e-48,6.675304960112314e-43,6.671899149589972e-43,8.025206062505047e-55,3.376208990037711e-62,2.747863017789297e-87,6.229749300564014e-80,5.84896232875866e-104,5.29588194290685e-174,8.63367497889382e-87,6.494795290752526e-119,1.3169083998627407e-132
4.178539491833613e-23,0.0033257888,0.2,0.0,0.009787796438399764,0.2,0.19999999999999996,0.2,0.1999999999999999,3.0234794225892023e-45,8.897833681383225e-38,2.1325811403122393e-111,4.224278425365572e-143,3.3565916067215176e-17,5.114395337763412e-22,1.858695043963741e-37,1.3158232806921576e-16,7.035157878042703e-17,5.612477813881335e-19,7.56867510992843e-47,2.7308729385685125e-42,2.7280569482133383e-42,3.278558530152932e-54,1.3792945382887132e-61,2.40411805470598e-86,5.212964608216334e-79,1.9883208500070838e-102,1.5531926150604679e-171,1.2183502958579583e-85,2.3069683099790446e-117,9.501836639137205e-131
8.41593165256629e-23,0.0033257888,0.2,0.0,0.009787796438399525,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999976,6.089543062397969e-45,1.7920988963912679e-37,7.749473352648136e-110,6.162554300633542e-141,6.760459151565654e-17,1.0300824412678084e-21,7.513142547529617e-37,2.650179283639903e-16,1.416940248675976e-16,1.1304004611020624e-18,6.154720902014072e-46,1.1069288008380306e-41,1.1046388841874103e-41,1.3252457755834223e-53,5.57537802723111e-61,2.1698948385185325e-85,4.340076956845619e-78,6.670849359874391e-101,4.5318051018633204e-169,1.811289386665669e-84,8.382057936188728e-116,6.93134705389732e-129
1.6890715974031648e-22,0.0033257888,0.2,0.0,0.009787796438399046,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999948,1.2221670342015497e-44,3.596729952897155e-37,3.0012004124466124e-108,9.403133029330863e-139,1.3568194241253257e-16,2.0673682562506422e-21,3.0210015744075736e-36,5.318891289512185e-16,2.8437891704186907e-16,2.2687058205189977e-18,4.96400537754744e-45,4.4755706373522964e-41,4.4571016310167747e-41,5.328754961550067e-53,2.2419144608167999e-60,2.096781553068168e-84,3.663320089799096e-77,2.259477883774531e-99,1.3827628241343242e-166,2.784563709463697e-83,3.245519334013962e-114,5.351716297777163e-127
3.384028461696236e-22,0.0033257888,0.2,0.0,0.009787796438398088,0.1999999999999999,0.19999999999999946,0.2,0.19999999999999896,2.4485924901250527e-44,7.205992065908915e-37,1.2826420788112215e-106,1.5639122023296704e-136,2.7183664420625803e-16,4.141939886215903e-21,1.2115567489732157e-35,1.0656315301163921e-15,5.697487013901336e-16,4.545316539309183e-18,3.9873590734346485e-44,1.8146823572826007e-40,1.7998470494563817e-40,2.137069061424342e-52,8.992372274474241e-60,2.2413328401480477e-83,3.2042640518624164e-76,7.911274482921554e-98,4.598325798310315e-164,4.363753286067193e-82,1.3866763653381965e-112,4.54744399547677e-125
6.773942190282379e-22,0.0033257888,0.2,0.0,0.009787796438396173,0.19999999999999976,0.19999999999999887,0.2,0.1999999999999979,4.901443401972049e-44,1.4424516291932367e-36,6.15058204012573e-105,2.9069856242021386e-134,5.441460477936021e-16,8.2910831461448e-21,4.85254644264396e-35,2.1331163324096065e-15,1.1404882700855483e-15,9.098537976714809e-18,3.196361833402973e-43,7.42662779971097e-40,7.3077044874942296e-40,8.55942303821785e-52,3.6037623791495773e-59,2.6907294540195314e-82,2.9881621577610283e-75,2.9484108546953536e-96,1.7089229361848698e-161,6.911622611466036e-81,6.647315157297555e-111,4.348760225516842e-123
1.3553769647454665e-21,0.0033257888,0.2,0.0,0.009787796438392343,0.19999999999999948,0.19999999999999774,0.2,0.19999999999999576,9.807145225666e-44,2.8861564743979032e-36,3.280398382859735e-103,6.034295331493797e-132,1.0887648549678633e-15,1.65893696659961e-20,1.942283187400626e-34,4.268085936847504e-15,2.281967407471921e-15,1.8204980850827074e-17,2.5596818302267055e-42,3.099415486979524e-39,3.0041804553845035e-39,3.4259997848430707e-51,1.4460073110510284e-58,3.5925797859776757e-81,3.0649105109263196e-74,1.207192906252443e-94,7.09273346659697e-159,1.1024722692010043e-79,3.544042134183164e-109,4.67421532512257e-121
2.7113424561799236e-21,0.0033257888,0.2,0.0,0.009787796438384682,0.19999999999999893,0.19999999999999546,0.19999999999999998,0.1999999999999915,1.961854887305374e-43,5.773566164807135e-36,1.9044753737953602e-101,1.3724446111242535e-129,2.1780024693146773e-15,3.3185942705672716e-20,7.771662692559394e-34,8.538025145129175e-15,4.564925682226839e-15,3.6417866596255664e-17,2.0487829163437466e-41,1.341666008388018e-38,1.2654394951896147e-38,1.370846106682122e-50,5.8481675657710084e-58,5.218806153272523e-80,3.528846944668873e-73,5.545812610415931e-93,3.225672292522342e-156,1.7771318851571123e-78,2.0565728613632036e-107,5.575800397873721e-119
5.423273439048837e-21,0.0033257888,0.2,0.0,0.009787796438369361,0.19999999999999785,0.19999999999999088,0.19999999999999996,0.19999999999998294,3.924135616782859e-43,1.1548385545625201e-35,1.2020385863683887e-99,3.395249762396351e-127,4.356477698001474e-15,6.637908878492203e-20,3.1091711388646075e-33,1.707790355931603e-14,9.130842231665368e-15,7.28436380759291e-17,1.6394414152791674e-40,6.17963724424371e-38,5.569672487833489e-38,5.484276552880238e-50,2.455973786717186e-57,8.239724071822356e-79,4.54531025766415e-72,2.850865116692438e-91,1.595695254607552e-153,2.9736285228981714e-77,1.2971321485146183e-105,7.457859986437132e-117
1.0847135404786664e-20,0.0033257888,0.2,0.0,0.00978779643833872,0.19999999999999568,0.19999999999998175,0.19999999999999987,0.19999999999996587,7.848697075737569e-43,2.3098024307259735e-35,9.145969441626921e-98,9.900313403634653e-125,8.71342815534774e-15,1.3276538094300497e-19,1.243769676056872e-32,3.4157660378183756e-14,1.8262675330257186e-14,1.4569518099054097e-16,1.3117191853457387e-39,3.1217864149114173e-37,2.6337556836283673e-37,2.193888749911346e-49,1.2220398516994977e-56,1.5702648546816665e-77,6.391485124587735e-71,1.6009224695944266e-89,9.303019203628562e-151,5.857584011951372e-76,9.861380739058863e-104,1.2532913148407449e-114
2.169485933626232e-20,0.0033257888,0.2,0.0,0.009787796438277437,0.19999999999999132,0.19999999999996348,0.19999999999999973,0.1999999999999317,1.569781999364597e-42,4.6197301830522427e-35,1.19357303196678e-95,4.709967623995742e-122,1.7427329069930963e-14,2.655379652575082e-19,4.975281159935705e-32,6.831717397789533e-14,3.65263415262999e-14,2.913982666408248e-16,1.049441773529686e-38,1.768567293628605e-36,1.3781225633519278e-36,8.775908796396135e-49,1.0431440876491574e-55,5.152485546438134e-76,9.521432139800093e-70,9.530082072789437e-88,8.845742986563212e-148,1.9562801297601795e-74,1.2871909588977769e-101,3.7934125533022167e-112
4.3390307199213633e-20,0.0033257888,0.2,0.0,0.009787796438154871,0.1999999999999826,0.19999999999992696,0.19999999999999943,0.1999999999998634,3.139606582945866e-42,9.239585687702227e-35,3.3010341305808715e-93,4.8396868507497694e-119,3.485513089866018e-14,5.310831338798638e-19,1.990152961819181e-31,1.3663620102522303e-13,7.305367391382164e-14,5.828044372256325e-16,8.395799896553263e-38,1.1232856921879674e-35,8.109273322318047e-36,3.5104323003975296e-48,1.851306010557866e-54,3.5814368106583755e-74,1.4670288703317684e-68,5.870159892093426e-86,1.816846200004667e-144,1.3665875590987142e-72,3.5643516875854144e-99,2.699818880112133e-109
