Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73)
8.152065737127446e-22,0.002771490666666666,0.2,0.0,0.008156497031995794,0.19999999999999973,0.19999999999999876,0.2,0.19999999999999768,5.987340503874624e-50,1.3756816010417756e-40,2.706399500214944e-110,4.679111363362522e-141,5.977933000747698e-16,1.702012588500435e-21,1.1008726541734934e-36,2.34341985389685e-15,1.2529213787850432e-15,9.995561053560089e-18,2.1464541802344716e-44,8.696359356694121e-41,7.137487128841551e-41,8.968023217290449e-56,4.832875524514599e-64,1.76339191417881e-87,6.759167638649562e-80,1.2613166770497545e-100,1.0684140283112284e-139,1.387035377454492e-85,2.4839771367880224e-117,3.216051256208151e-129,1.5089047403402278e-115,1.7477126843138954e-132,4.49163136628894e-152,6.706564773176733e-149,4.506245712675917e-178,2.9180467435466135e-143
1.6311214068292362e-21,0.002771490666666666,0.2,0.0,0.008156497031991585,0.19999999999999943,0.1999999999999975,0.2,0.19999999999999532,1.1979882867439771e-49,2.752558407644804e-40,7.819231882598161e-108,5.2735769255560187e-138,1.1961059687847493e-15,3.405503902097139e-21,4.406359574718297e-36,4.688875693637695e-15,2.5069313078543816e-15,1.9999806346132244e-17,1.7189041951251425e-43,4.334317247939701e-40,3.0859554379660906e-40,3.589546321906954e-55,8.82743560667413e-63,1.2757083830724195e-85,9.310980010920789e-79,6.94019503234133e-99,6.1639346959326555e-137,1.0085625981500225e-83,7.180972729008824e-115,1.9313008292765617e-126,2.176924536990989e-113,1.9697537787094134e-129,1.3054136725375257e-149,1.9491451182667203e-146,3.476830497599594e-174,3.503341894271294e-140
3.262951073062219e-21,0.002771490666666666,0.2,0.0,0.00815649703198317,0.19999999999999882,0.19999999999999502,0.19999999999999998,0.19999999999999063,2.3964967594569852e-49,5.506312020850756e-40,2.71732421381312e-105,7.252743685210487e-135,2.3927313062022354e-15,6.812486529283513e-21,1.7631177856726201e-35,9.379787372734882e-15,5.0149511659889915e-15,4.000829692619007e-17,1.3758200367855008e-42,2.417319191224704e-39,1.4181242135920252e-39,1.4362860093497858e-54,1.9235741410498773e-61,1.1090099684159457e-83,1.3692782424344112e-77,4.078592992928514e-97,4.281401764280511e-134,8.772761812335971e-82,2.496133979347875e-112,1.4587583781417025e-123,3.7804611929818956e-111,2.7089998847520315e-126,4.547411243481299e-147,6.789851073597083e-144,4.41612945815624e-170,5.291413477096616e-137
6.526610405528185e-21,0.002771490666666666,0.2,0.0,0.00815649703196634,0.19999999999999762,0.19999999999999,0.19999999999999996,0.19999999999998125,4.793513704882915e-49,1.1013819247262241e-39,1.0779305804839383e-102,1.142983614398833e-131,4.785981981027317e-15,1.3626451783628143e-20,7.053619223018555e-35,1.8761610729391238e-14,1.0030990882241932e-14,8.002527806595979e-17,1.1009347697631959e-41,1.5135956736077687e-38,7.140379559300048e-39,5.746078654790748e-54,4.777302957859345e-60,1.1001975360473426e-81,2.094391365444294e-76,2.4939692858778862e-95,3.3952252336199234e-131,8.703520535092623e-80,9.902733996527582e-110,1.345618484179511e-120,7.495454602926204e-109,4.269201580069437e-123,1.8064683637474746e-144,2.697282146309007e-141,7.647292468630548e-166,9.760861255924634e-134
1.3053929070460118e-20,0.002771490666666666,0.2,0.0,0.008156497031932677,0.19999999999999524,0.19999999999997997,0.19999999999999987,0.19999999999996249,9.58754759573443e-49,2.2028833700083544e-39,4.726635324759535e-100,1.995249953936362e-128,9.572483330637912e-15,2.72543822922049e-20,2.8216773258104123e-34,3.752525743655188e-14,2.006307031468271e-14,1.6005924026411546e-16,8.808593255499831e-41,1.0427307476905637e-37,4.030047105876003e-38,2.2986180171211413e-53,1.3107399259328296e-58,1.2063269839362275e-79,3.2738637186020234e-75,1.5589078685086055e-93,2.976556725824699e-128,9.543145539486674e-78,4.342386540511183e-107,1.5116774226767525e-117,1.6429045310073575e-106,7.452534007664862e-120,7.928694204194407e-142,1.1838527454753047e-138,1.6676798437680703e-161,2.192871463538787e-130
2.610856640032398e-20,0.002771490666666666,0.2,0.0,0.008156497031865353,0.19999999999999046,0.1999999999999599,0.1999999999999997,0.19999999999992496,1.917561537743608e-48,4.4058862605719454e-39,2.217776268639445e-97,3.733542852456852e-125,1.9145486029700848e-14,5.451024330890847e-20,1.1287168626278024e-33,7.505255082626485e-14,4.012722917930382e-14,3.201271643348916e-16,7.0473206704583475e-40,7.66916704602053e-37,2.5510527359952658e-37,9.194842139506429e-53,3.8465303410250883e-57,1.4152311601966147e-77,5.1768023271350874e-74,9.858517137084947e-92,2.7926422435880373e-125,1.1195788190778428e-75,2.0375000402219125e-104,2.041726420834159e-114,3.8536672729480226e-104,1.3945297942694205e-116,3.722380194470749e-139,5.557977012827727e-136,4.2969951231220135e-157,5.92309985417728e-127
5.221784106005171e-20,0.002771490666666666,0.2,0.0,0.008156497031730704,0.1999999999999809,0.19999999999991977,0.19999999999999937,0.1999999999998499,3.835175094083388e-48,8.811892041696452e-39,1.0837503219547521e-94,7.285295039972765e-122,3.829149142719367e-14,1.0902196534051572e-19,4.514959343535943e-33,1.5010713750725766e-13,8.025554690750431e-14,6.402630111743035e-16,5.638034968033416e-39,5.8662238279658284e-36,1.7716315039830204e-36,3.678008429314611e-52,1.1752669818901999e-55,1.7290632981291212e-75,8.238253640161651e-73,6.27491251497072e-90,2.728990686823383e-122,1.367853195909429e-73,9.956577757041901e-102,3.2139666583605105e-111,9.414853670846859e-102,2.721158265713689e-113,1.819600274027409e-136,2.716889722956848e-133,1.2329168350007567e-152,1.8646616030615184e-123
1.0443639037950718e-19,0.002771490666666666,0.2,0.0,0.008156497031461405,0.19999999999996174,0.1999999999998395,0.19999999999999873,0.1999999999996998,7.670402206760743e-48,1.7623903603934757e-38,5.4162716771439305e-92,1.4550480996195486e-118,7.65835022196471e-14,2.1804540939653075e-19,1.8060021376086036e-32,3.0021631047551064e-13,1.605121823597383e-13,1.2805346996445658e-15,4.510499347859163e-38,4.5852969646942307e-35,1.3096172069553e-35,1.4712157333746355e-51,3.6718423016716845e-54,2.1604250045050554e-73,1.3201767746739396e-71,4.02190137936557e-88,2.727555799877327e-119,1.7091114559927302e-71,4.9760133824354875e-99,5.648714118747565e-108,2.352513584681912e-99,5.43480551100101e-110,9.095449427772498e-134,1.3580638246392312e-130,3.766111658749662e-148,6.554262774839101e-120
2.0887348901841808e-19,0.002771490666666666,0.2,0.0,0.008156497030922808,0.19999999999992343,0.199999999999679,0.19999999999999746,0.19999999999939957,1.5340856432106642e-47,3.524792672836857e-38,2.7391384118202272e-89,2.942001003657019e-115,1.5316752379442518e-13,4.360922974797629e-19,7.224045522392421e-32,6.004346548370859e-13,3.210254532475385e-13,2.561078055750845e-15,3.6084280273607923e-37,3.6251082562658625e-34,1.0046172127306572e-34,5.884872044892063e-51,1.1607303055894798e-52,2.731502364228003e-71,2.185258221463995e-70,2.6621783658909216e-86,2.75868292739793e-116,2.160916350504562e-69,2.5164895993883864e-96,1.0641752747189463e-104,5.948451896547274e-97,1.098877987037719e-106,4.60020894896407e-131,6.868684618918083e-128,1.1902308783419466e-143,2.4695005176153752e-116
4.177476862962399e-19,0.002771490666666666,0.2,0.0,0.008156497029845616,0.19999999999984686,0.19999999999935797,0.1999999999999949,0.19999999999879914,3.0681764882763185e-47,7.049597297706497e-38,1.3936696476848686e-86,5.986087043588348e-112,3.063355669034663e-13,8.72186073531035e-19,2.889625740489743e-31,1.200871337260514e-12,6.420519949564676e-13,5.122164684626421e-15,2.8867538407339774e-36,2.8827454428878954e-33,7.864619023885486e-34,2.353938193057388e-50,3.691409645274695e-51,3.4744969063324565e-69,4.4633102759986945e-69,2.1714458460622674e-84,2.8071777370540605e-113,2.748771715523637e-67,1.2803862930076126e-93,2.0859298068605737e-101,1.5132614086757042e-94,2.235886144175111e-103,2.340689072489622e-128,3.49494016568354e-125,3.82895139719252e-139,9.68102093256936e-113
8.354960808518835e-19,0.002771490666666666,0.2,0.0,0.00815649702769123,0.1999999999996937,0.19999999999871593,0.19999999999998977,0.19999999999759827,6.13635817839353e-47,1.409920654737731e-37,7.112452868976576e-84,1.2218280533936112e-108,6.12671652959488e-13,1.74437362517281e-18,1.1558519122039403e-30,2.4017446769084803e-12,1.2841050781076407e-12,1.0244337609029673e-14,2.3094076388102557e-35,2.299116996085682e-32,6.222749642009178e-33,9.415633292913416e-50,1.1775106969755494e-49,4.4329589587323374e-67,1.951399395265734e-67,3.783524477828288e-82,2.8652093382545356e-110,3.5072053276049385e-65,6.53432263166371e-91,4.176613705607824e-98,3.8613693318800826e-92,4.5636964428686335e-100,1.1945769144017705e-125,1.7836520391949137e-122,1.2429302327387125e-134,3.876800397942956e-109
1.6709928699631709e-18,0.002771490666666666,0.2,0.0,0.00815649702338246,0.19999999999938736,0.19999999999743182,0.19999999999997953,0.19999999999519652,1.2272721558571835e-46,2.81984250464457e-37,3.634950469828333e-81,6.953435784150774e-105,1.2253438244232896e-12,3.488748726613265e-18,4.62341175843227e-30,4.80349125540886e-12,2.568211243343247e-12,2.0488682124444733e-14,1.8475279354223885e-34,1.836233325279485e-31,4.950592881788818e-32,3.7661551350904034e-49,3.7615889053114223e-48,5.663877285034122e-65,1.8937852935079427e-65,1.4661123750716062e-79,2.928666735771356e-107,4.4814936895886706e-63,3.339486250343722e-88,2.3438468004118052e-94,9.867233267097544e-90,2.5972042511378222e-96,1.1945764188421243e-125,1.7836512960641877e-122,8.778042768069152e-129,4.350494137507364e-105
3.3419864481857453e-18,0.002771490666666666,0.2,0.0,0.008156497014764917,0.19999999999877469,0.19999999999486362,0.19999999999995904,0.19999999999039303,2.454544831871855e-46,5.639686204350942e-37,1.8586795365561997e-78,1.4226628823984314e-101,2.450688164757925e-12,6.977498922121688e-18,1.8493662273753364e-29,9.606984009227442e-12,5.136423569547498e-12,4.097736582171048e-14,1.4780230747050815e-33,1.4673971193004297e-30,3.949385885946808e-31,1.5063967135004244e-48,1.2023825222255371e-46,7.240360527354308e-63,2.3253646099290136e-63,7.198697157367242e-77,2.995409458105733e-104,5.72996644745012e-61,1.7075980911418156e-85,4.782042706926788e-91,2.523026693625239e-87,5.313842248134452e-93,1.1940658742984446e-125,1.7828889832206652e-122,2.8695645973986823e-124,1.775499431233822e-101
6.683973604630895e-18,0.002771490666666666,0.2,0.0,0.008156496997529836,0.19999999999754933,0.1999999999897272,0.19999999999991805,0.19999999998078605,4.909090183903109e-46,1.1279373603398151e-36,9.502904070965029e-76,2.9094695503667534e-98,4.901376835055324e-12,1.3954999283647658e-17,7.397473574136625e-29,1.9213967904136155e-11,1.0272848204888156e-11,8.195471188199555e-14,1.182418744911255e-32,1.1726978461213228e-29,3.1550002606731473e-30,6.025529243897755e-48,3.843618774656884e-45,9.254475849933299e-61,2.958007545374076e-61,3.662720325513739e-74,3.06581262225705e-101,7.3267189430124645e-59,8.730466736531641e-83,9.765729958635881e-88,6.455822249102173e-85,1.0867270377042156e-89,6.597470123303092e-126,9.850843776276321e-123,9.379832682582414e-120,7.251731417603142e-98
1.0025960761076044e-17,0.002771490666666666,0.2,0.0,0.008156496980294756,0.19999999999632398,0.19999999998459078,0.19999999999987705,0.19999999997117907,7.363635536197164e-46,1.6919061002232612e-36,8.269563078432179e-75,1.857352477967339e-97,7.35206549498085e-12,2.0932499615681544e-17,1.5719644872556514e-28,2.8820950186316694e-11,1.5409272823160972e-11,1.2293203660804517e-13,3.5103058834910625e-32,3.47980687274428e-29,9.362526506304076e-30,1.2805143681540924e-47,1.838262559990724e-44,6.220070868111254e-60,1.9877016710730615e-60,3.186803049691533e-73,2.9700451017921047e-100,4.924941449272451e-58,7.597376985879621e-82,6.235751605304512e-87,4.969742090678409e-84,6.937467880947846e-89,9.200498034632538e-117,1.373748879644654e-113,4.8676157866629445e-119,5.354517230383628e-97
1.3367947917521193e-17,0.002771490666666666,0.2,0.0,0.008156496963059678,0.19999999999509863,0.19999999997945436,0.19999999999983606,0.19999999996157208,9.81818088942261e-46,2.2558748401210654e-36,4.939064261941728e-74,2.1579569617363205e-96,9.802754144534507e-12,2.790999991822212e-17,2.6815886830594053e-28,3.842793085576932e-11,2.0545697424365946e-11,1.6390933999987045e-13,7.648772033069313e-32,7.579376642591816e-29,2.0395705164061778e-29,2.1847963916659429e-47,6.082134553379523e-44,2.860986054496888e-59,9.141738852043428e-60,1.9031514342238397e-72,1.9180990224106597e-99,2.265450998663875e-57,4.537595624339092e-81,7.241132833495967e-86,2.4875613839354637e-83,8.060267122177289e-88,4.814523838324469e-116,7.188683367962904e-113,1.50899453952589e-117,5.911178275258925e-96
2.005192223041149e-17,0.002771490666666666,0.2,0.0,0.008156496928589526,0.19999999999264795,0.19999999996918152,0.1999999999997541,0.19999999994235812,1.4727271604350995e-45,3.383812320249622e-36,1.1633817031755924e-72,1.9224915878425928e-94,1.4704131419299657e-11,4.1865000454079514e-17,5.551897140811585e-28,5.7641888409701735e-11,3.081854658671872e-11,2.4586389671343725e-13,2.220202636735652e-31,2.198751399322999e-28,5.91876531784407e-29,4.527046973183468e-47,3.5465113303540913e-43,3.483063238844732e-58,1.112861357487e-58,4.482269605574347e-71,4.956617109800218e-98,2.7582810975738625e-56,1.0688170420431551e-79,6.44731481293787e-84,3.324074308602208e-82,7.180771447784255e-86,3.4415723566814733e-115,5.138695896232815e-112,8.96068742878513e-115,5.490834039139768e-94
2.6735896543301788e-17,0.002771490666666666,0.2,0.0,0.00815649689411938,0.19999999999019727,0.1999999999589087,0.19999999999967213,0.19999999992314416,1.9636362345047895e-45,4.511749801324687e-36,7.273858590037655e-72,1.7332397511864707e-93,1.9605508655923716e-11,5.582000088146738e-17,9.442337060042476e-28,7.685584003306066e-11,4.109139568630696e-11,3.2781837497354424e-13,4.855332832922565e-31,4.805979248239569e-28,1.2941775705421512e-28,7.709146675539843e-47,1.1795548228396547e-42,1.6099274738285875e-57,5.144367257589346e-58,2.802524932283583e-70,3.3038582405039807e-97,1.2750999207019412e-55,6.68260838414234e-79,5.811996106181812e-83,1.750068123454926e-81,6.473889713231946e-85,2.3950275102641022e-114,3.576074183243357e-111,1.4849532545449388e-113,5.422298926281632e-93
4.0103845169082387e-17,0.002771490666666666,0.2,0.0,0.008156496825179107,0.19999999998529588,0.199999999938363,0.1999999999995082,0.19999999988471628,2.945454436515157e-45,6.767624777197789e-36,6.494394667026465e-70,4.4888178978610744e-91,2.940826300392978e-11,8.373000138001642e-17,2.057299994664496e-27,1.1528372380585935e-10,6.163709367938673e-11,4.917270738804769e-13,1.615113713094655e-30,1.596284020117797e-27,4.304105868636165e-28,1.6923946596448608e-46,9.661730623216506e-42,3.901583602088852e-56,1.2478038821941912e-56,2.5045642161949825e-68,6.277682010625808e-95,3.0929682522613026e-54,5.966506390639018e-77,1.504786771865786e-80,8.212139750819966e-80,1.6766354393750842e-82,3.1773211421191162e-114,4.744135855892864e-111,4.453471461167216e-110,2.9862541619031e-90
5.347179379486298e-17,0.002771490666666666,0.2,0.0,0.00815649675623886,0.1999999999803945,0.19999999991781733,0.19999999999934429,0.19999999984628844,3.927272826738514e-45,9.023499792260922e-36,5.279174261696667e-69,4.719843096344251e-90,3.9211017186841306e-11,1.116400014089349e-16,3.611938507898613e-27,1.5371158190809152e-10,8.218279140078919e-11,6.556354332012846e-13,3.7573861213145084e-30,3.708817941098166e-27,1.001174137845461e-27,3.0082960144978106e-46,3.7264283341457717e-41,2.283144410621161e-55,7.304896278937832e-56,2.0365314889695437e-67,6.074044776620106e-94,1.8106956632850973e-53,4.850064823030053e-76,1.5821689644937056e-79,6.01434712868785e-79,1.7629265382466683e-81,2.2399612278001172e-111,3.3445408917929745e-108,5.442176534186741e-109,3.530206406872161e-89
8.020769104642417e-17,0.002771490666666666,0.2,0.0,0.008156496618358449,0.19999999997059176,0.19999999987672598,0.1999999999990164,0.1999999997694328,5.890912930536344e-45,1.353525026398844e-35,3.318533406343153e-67,9.043051217913605e-88,5.881652505509871e-11,1.6746000005098902e-16,8.052057079232924e-27,2.3056722074616014e-10,1.2327418602480787e-10,9.834511283948454e-13,1.2793858702273492e-29,1.258943436990604e-26,3.408242589565605e-27,7.116998610203403e-46,3.051143026393563e-40,4.9522649224176896e-54,1.587164043358417e-54,1.2824378619759682e-65,1.0604112597982193e-91,3.934192841009219e-52,3.0487999268140684e-74,3.0304517130289876e-77,3.465743750969066e-77,3.3777044207014957e-79,2.9858166980306935e-111,4.458195578160095e-108,1.4381290746031625e-105,1.2045838237085874e-86
1.3367948554954657e-16,0.002771490666666666,0.2,0.0,0.00815649634259794,0.19999999995098625,0.1999999997945433,0.19999999999836066,0.19999999961572185,9.818293451033808e-45,2.2558758665513674e-35,5.060916850553331e-65,3.971685916838179e-85,9.802753880084101e-11,2.790999916679383e-16,2.225715886504102e-26,3.842781888784441e-10,2.0545697199686808e-10,1.6390784239702476e-12,6.084984169451928e-29,5.947296267148874e-26,1.6204089357507901e-26,2.635810060828351e-45,4.417544410427751e-39,2.296123133715533e-52,7.388308274697736e-53,1.9635559617733224e-63,9.795263659001706e-89,1.8313907135333247e-50,4.649607422903217e-72,1.3304637039480642e-74,9.665240110014526e-75,1.4834794793326354e-76,5.141588631020221e-111,7.674340782081754e-108,6.206523200905772e-102,1.0550419649458027e-83
2.4062307455579133e-16,0.002771490666666666,0.2,0.0,0.008156495791078203,0.19999999991177522,0.19999999963017795,0.19999999999704923,0.19999999930830115,1.767727410377945e-44,4.060594019611127e-35,1.3293155031038584e-62,3.48931950396545e-82,1.7644955832707312e-10,5.023799522062094e-16,7.197369735478682e-26,6.916988866393323e-10,3.6982253083357495e-10,2.9503166316602906e-12,3.6561209180890807e-28,3.5238491037748677e-25,9.729305080321396e-26,2.316471344190105e-44,9.14965368662991e-38,1.6810392234901736e-50,5.452768591950543e-51,5.1988634523249006e-61,2.847644182849802e-85,1.3516291881330437e-48,1.2213282495084845e-69,1.1680594037725922e-71,7.812224864946065e-72,1.3033089374178644e-73,7.621586671922236e-110,9.166026272871565e-108,6.706002444657417e-98,1.8512160743197082e-80
4.545102525682809e-16,0.002771490666666666,0.2,0.0,0.00815649468804383,0.19999999983335323,0.19999999930144735,0.19999999999442636,0.1999999986934647,3.3607440271939803e-44,7.670453760355715e-35,4.647342222971978e-60,4.449746331604481e-79,3.3329356551742696e-10,9.489397823308943e-16,2.566437661379069e-25,1.306535328039161e-09,6.985535960759563e-10,5.572727512804925e-12,2.517254441771007e-27,2.359970644225993e-24,6.6895766789837845e-25,4.63427660684555e-43,2.288482454873653e-36,1.5574870988151434e-48,5.132949683705501e-49,1.8464586997911286e-58,1.4026484316078126e-81,1.2723894713211749e-46,4.2704988983608994e-67,1.4875440548528253e-68,1.018775972532616e-68,1.662041514598701e-70,4.617648351333162e-105,-9.639247659291889e-107,1.1697259286226777e-93,4.7140888881753426e-77
8.8228460859326e-16,0.002771490666666666,0.2,0.0,0.008156492481995506,0.19999999967650928,0.19999999864398635,0.19999999998918092,0.19999999746381164,7.700971181991109e-44,1.4901823798034217e-34,1.8401013126783086e-57,4.823133091629893e-76,6.469814524461959e-10,1.8420590774330667e-15,9.67010907831586e-25,2.5361883943177572e-09,1.356015516834285e-09,1.0817287145921349e-11,1.8649460285174075e-26,1.6574340633803373e-23,4.942776903155456e-24,1.2591001187405219e-41,6.213025855044238e-35,1.5890644331768293e-46,5.40208694369966e-47,7.539780936503264e-56,8.59691694203212e-78,1.3392282673648944e-44,1.692009779464662e-64,1.6112909517673695e-65,1.60843459753803e-65,1.801506428526862e-67,3.4153514901757065e-96,5.099468265267294e-93,3.213710607246374e-90,1.0213355621917682e-73
