Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112)
7.42048793821608e-22,0.0005542981333333334,0.2,0.0,0.0016312994063961731,0.19999999999999976,0.19999999999999887,0.2,0.1999999999999979,2.7250140899041462e-49,6.261130035338367e-40,7.14549227021162e-108,5.024597753049738e-138,5.441464919177009e-16,1.5492715945736394e-21,9.121508456697377e-37,2.133118073476922e-15,1.1404824591211384e-15,9.098545402585536e-18,8.094424892522716e-44,3.5235529614993515e-40,2.9356916165114886e-40,3.715320724452094e-55,7.505447607205938e-63,1.1257761059878423e-85,1.1921210117481581e-78,9.219032219605006e-99,3.0824372155274913e-169,8.890883511071397e-84,6.563057635826539e-115,3.8245505492281e-126
1.4847422868559195e-21,0.0005542981333333334,0.2,0.0,0.0016312994063923429,0.19999999999999948,0.19999999999999774,0.2,0.19999999999999576,5.452395698565781e-49,1.2527699801376276e-39,2.1834939435748854e-105,6.080929450702346e-135,1.0887657435990794e-15,3.099889211374389e-21,3.650980520801495e-36,4.268089420581251e-15,2.281955780496438e-15,1.820499570852475e-17,6.4821047814382516e-43,1.732202828937671e-39,1.2614370702318323e-39,1.4870964928524772e-54,1.4385698387912922e-61,8.60290536316109e-84,1.6237149268759163e-77,5.015080439848328e-97,7.460322391194381e-166,6.804472334348944e-82,2.0058343284034856e-112,2.431833661889823e-123
2.9701292729245425e-21,0.0005542981333333334,0.2,0.0,0.0016312994063846825,0.19999999999999893,0.19999999999999546,0.19999999999999998,0.1999999999999915,1.0907158915888965e-48,2.5060839333451664e-39,7.580832669680197e-103,8.384279324149554e-132,2.178004246951604e-15,6.201124444946761e-21,1.4608677740887589e-35,8.53803211445528e-15,4.5649024232350894e-15,3.641789631612024e-17,5.188311055426049e-42,9.50681189154463e-39,5.738779286910168e-39,5.950322704574865e-54,3.1270536077714953e-60,7.468817538276819e-82,2.3706561391894253e-76,2.9257820625736083e-95,2.057128474043157e-162,5.908414090457928e-80,6.964425651894469e-110,1.824780083134962e-120
5.9409032450617885e-21,0.0005542981333333334,0.2,0.0,0.0016312994063693619,0.19999999999999785,0.19999999999999088,0.19999999999999996,0.19999999999998294,2.181668535053497e-48,5.01271183976007e-39,2.970405469977217e-100,1.305752169965349e-128,4.356481253615722e-15,1.2403594911975004e-20,5.844422384587252e-35,1.7077917500864813e-14,9.130795708664599e-15,7.284369751417948e-17,4.151699993070513e-41,5.864272819610141e-38,2.849085740146922e-38,2.3805163037628084e-53,7.669266095123599e-59,7.318047881420392e-80,3.6110986905339784e-75,1.781568574663353e-93,6.40720116495717e-159,5.789232199205313e-78,2.728933530854009e-107,1.6451065379255923e-117
1.1882451189336279e-20,0.0005542981333333334,0.2,0.0,0.0016312994063387206,0.19999999999999568,0.19999999999998175,0.19999999999999987,0.19999999999996587,4.3635738219825554e-48,1.0025967652589183e-38,1.2881945261246353e-97,2.254021167685047e-125,8.713435266780236e-15,2.4808535845565463e-20,2.337959241992732e-34,3.41576882683298e-14,1.8262582279332448e-14,1.4569529984177106e-16,3.3217805051886862e-40,3.99477451195894e-37,1.582323300243672e-37,9.522838275025132e-53,2.0811094617221434e-57,7.935740064260282e-78,5.632340977373631e-74,1.1111283134960116e-91,2.2119838175877007e-155,6.277894117467925e-76,1.1834815744906007e-104,1.8012288714389478e-114
2.376554707788526e-20,0.0005542981333333334,0.2,0.0,0.0016312994062774378,0.19999999999999132,0.19999999999996348,0.19999999999999973,0.1999999999999317,8.727384395840102e-48,2.005247927824464e-38,6.000194123066712e-95,4.186108979798212e-122,1.7427343292454362e-14,4.9618417710882326e-20,9.352217693532355e-34,6.831722978184347e-14,3.652615541990347e-14,2.9139850422284637e-16,2.657592618556718e-39,2.9171234024588146e-36,9.87046426259361e-37,3.809288776335143e-52,6.062952544120971e-56,9.242075807016451e-76,8.897758910022933e-73,7.020007786559293e-90,8.215908758676332e-152,7.311335426528784e-74,5.512469279928278e-102,2.3763504483175206e-111
4.753173885498322e-20,0.0005542981333333334,0.2,0.0,0.0016312994061548722,0.1999999999999826,0.19999999999992696,0.19999999999999943,0.1999999999998634,1.7455005543552914e-47,4.0105502529544466e-38,2.9196731067088084e-92,8.132619963493512e-119,3.485515934118303e-14,9.923818143405972e-20,3.740963332437306e-33,1.366363127232055e-13,7.305330169798685e-14,5.828049118885662e-16,2.1261413824137408e-38,2.2222059473213624e-35,6.781053538996159e-36,1.523745283620827e-51,1.844689905895103e-54,1.1243791044259954e-73,1.4174337585662022e-71,4.4727310899161124e-88,3.19227574019037e-148,8.894901250061088e-72,2.682349330687884e-99,3.672605454538169e-108
9.506412240917916e-20,0.0005542981333333334,0.2,0.0,0.0016312994059097413,0.19999999999996518,0.1999999999998539,0.19999999999999885,0.19999999999972676,3.4910247838969407e-47,8.021154903209979e-38,1.4558342060806097e-89,1.6204284334333533e-115,6.971079142816198e-14,1.9847770885058923e-19,1.496400670961005e-32,2.732744782632684e-13,1.461075942419188e-13,1.165617722834282e-15,1.7009400209731293e-37,1.7331543104358605e-34,4.978700570398527e-35,6.095033322088479e-51,5.7502393452736985e-53,1.4016809152723789e-71,2.29942511088729e-70,2.9018347970461787e-86,1.2721167714805349e-144,1.1088680877764219e-69,1.3374978253787089e-96,6.375371592470235e-105
1.90128889517571e-19,0.0005542981333333334,0.2,0.0,0.0016312994054194794,0.19999999999993032,0.1999999999997078,0.19999999999999768,0.19999999999945348,6.982073242976589e-47,1.604236420370331e-37,7.353769581165253e-87,3.272349389540584e-112,1.3942205556020647e-13,3.969567635643474e-19,5.9856340547174e-32,5.465508079727496e-13,2.922161792808437e-13,2.331243327182819e-15,1.360762782244098e-36,1.368659835761171e-33,3.804498435074236e-34,2.4380179000758593e-50,1.815608258890932e-51,1.7700968543967454e-69,4.166462543332169e-69,2.1012725452414424e-84,5.13789627190776e-141,1.4003367117352757e-67,6.756024199205356e-94,1.1922191151281999e-101
3.8025842373435475e-19,0.0005542981333333334,0.2,0.0,0.0016312994044389553,0.1999999999998606,0.1999999999994156,0.19999999999999535,0.1999999999989069,1.396417016112128e-46,3.2084782804619046e-37,3.7393398763537464e-84,6.65408565309088e-109,2.7884458365664167e-13,7.939148725146586e-19,2.3942604518877587e-31,1.0931034619091336e-12,5.844333491629371e-13,4.6624944657083156e-15,1.0886145309846941e-35,1.0877517129243066e-32,2.9722095651065902e-33,9.75203447414501e-50,5.770636654760561e-50,2.2502301241171152e-67,1.2939528692375006e-67,2.6018513891728187e-82,2.089504482690743e-137,1.7802123816424492e-65,3.4353905815358897e-91,2.3273997413721466e-98
