Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),CH3X(33)
7.956688693270508e-22,0.002771490666666666,0.2,0.0,0.008156497031996862,0.1999999999999996,0.2,0.2,0.19999999999999774,5.843844496122367e-50,1.3427112333868917e-40,8.947421358891329e-110,1.9714128068785207e-146,8.387327284189767e-16,1.6612211868031132e-21,1.0487367109193956e-36,2.287256120884845e-15,1.6612211874804806e-21,9.756001752501692e-18,3.88085961803508e-50,1.183914706518628e-40,9.488406210144316e-41,8.5433089335724e-56,8.571189566235097e-64,4.261715511891277e-87,8.878644889297865e-80,2.2690757125463444e-100,2.399501097275021e-139,3.360637970851778e-85,3.5546500712227166e-115
1.5920290235101632e-21,0.002771490666666666,0.2,0.0,0.008156497031993724,0.19999999999999918,0.2,0.2,0.19999999999999546,1.1692766181207456e-49,2.686589027358807e-40,2.6927090353716302e-107,2.3352534015141796e-143,1.678194155992971e-15,3.3238856587364095e-21,4.1976799303264464e-36,4.5764994320223635e-15,3.323885660091733e-21,1.952047961264543e-17,3.1078352100551135e-49,5.8795822647117795e-40,3.997083404075585e-40,3.419549931654008e-55,1.6227323082941404e-62,3.2089389257246384e-85,1.2195710247236193e-78,1.2449268697711163e-98,1.442732884235884e-136,2.53762082719649e-83,5.343314866765555e-113
3.1847493318763883e-21,0.002771490666666666,0.2,0.0,0.008156497031987448,0.19999999999999835,0.2,0.19999999999999998,0.19999999999999088,2.3390609551377557e-49,5.37434461530257e-40,9.41032258189638e-105,3.236292400221616e-140,3.3571170111383686e-15,6.649214602597884e-21,1.6796187451842467e-35,9.154986053932195e-15,6.6492146053091185e-21,3.904943532809194e-17,2.4875277895883205e-48,3.265565939160693e-39,1.758804437843393e-39,1.3682653157719614e-54,3.552521987992722e-61,2.8046435808433752e-83,1.790258743523031e-77,7.302734561394533e-97,1.0078151535660455e-133,2.2185825161395514e-81,9.331515821123634e-111
6.370189948608838e-21,0.002771490666666666,0.2,0.0,0.008156497031974894,0.19999999999999668,0.2,0.19999999999999996,0.19999999999998172,4.678629629171745e-49,1.074985579118983e-39,3.725354323424044e-102,5.091145177427572e-137,6.7149627214188e-15,1.3299872490300357e-20,6.719568682160351e-35,1.8311959296291026e-14,1.3299872495723416e-20,7.810734673962113e-17,1.990526203345997e-47,2.0369309575764347e-38,8.312174057113126e-39,5.473951632700177e-54,8.803395557132073e-60,2.7765065456156966e-81,2.735476344882762e-76,4.460782410411432e-95,7.975769695199951e-131,2.1963879286388113e-79,1.8463321513117504e-108
1.2741071182073738e-20,0.002771490666666666,0.2,0.0,0.008156497031949785,0.19999999999999332,0.2,0.19999999999999987,0.1999999999999634,9.357766977239601e-49,2.1500878142963287e-39,1.6292829997415085e-99,8.863768305012184e-134,1.3430654141938204e-14,2.6601188265623413e-20,2.6880462283541237e-34,3.662590577516537e-14,2.6601188276470115e-20,1.5622316948522416e-16,1.5926225759489856e-46,1.3992786979560857e-37,4.345872033972156e-38,2.189758384885001e-53,2.409036191812919e-58,3.03636809172284e-79,4.27362546750655e-75,2.7867468086482567e-93,6.973974815899526e-128,2.4019617247226044e-77,4.036325695872062e-106
2.548283364900354e-20,0.002771490666666666,0.2,0.0,0.00815649703189957,0.1999999999999866,0.2,0.1999999999999997,0.19999999999992676,1.871604167337482e-48,4.3002922846505934e-39,7.630897534694649e-97,1.655480824063641e-130,2.6862036982811176e-14,5.320381981594194e-20,1.0752622436991434e-33,7.325379870954074e-14,5.3203819837635933e-20,3.1245481466660884e-16,1.2741787109725271e-45,1.0273035043717967e-36,2.5550380797539055e-37,8.759386177437225e-53,7.056872117015846e-57,3.555735126419726e-77,6.755909060125993e-74,1.7618664770045283e-91,6.531183112812088e-125,2.8128189029519816e-75,9.450589373822074e-104
5.0966358582863136e-20,0.002771490666666666,0.2,0.0,0.008156497031799138,0.19999999999997317,0.2,0.1999999999999994,0.19999999999985352,3.74325910656433e-48,8.600701225357415e-39,3.7250177627188186e-94,3.226786003694312e-127,5.372480266389381e-14,1.0640908291526869e-19,4.301136478682787e-33,1.4650958448479837e-13,1.0640908295865726e-19,6.249181037900928e-16,1.019375229818658e-44,7.849899273668219e-36,1.6753439086398324e-36,3.5038227292705625e-52,2.1538926903720855e-55,4.339646963207138e-75,1.0751754000504369e-72,1.1214744903637478e-89,6.375558531075206e-122,3.432954445729084e-73,2.3064192352910245e-101
1.0193340845058234e-19,0.002771490666666666,0.2,0.0,0.008156497031598276,0.1999999999999463,0.2,0.19999999999999876,0.199999999999707,7.48656898501724e-48,1.7201519106764229e-38,1.860595992705693e-91,6.440815413620796e-124,1.0745033402340574e-13,2.1281960910868084e-19,1.7204720904968628e-32,2.93021155661341e-13,2.1281960919545857e-19,1.249844677079919e-15,8.155130884212871e-44,6.132457900549119e-35,1.1927956331760322e-35,1.4015409275547063e-51,6.725524066767156e-54,5.419204720709865e-73,1.7254818416784897e-71,7.198500133736307e-88,6.368564695759791e-119,4.2869826727954625e-71,5.759818220420048e-99
2.0386750818602074e-19,0.002771490666666666,0.2,0.0,0.008156497031196553,0.19999999999989257,0.2,0.1999999999999975,0.19999999999941398,1.4973188741919918e-47,3.440315486955056e-38,9.406700512280194e-89,1.301881972952589e-120,2.149013967318164e-13,4.256406614745401e-19,6.88192334491652e-32,5.860442965185357e-13,4.2564066164809617e-19,2.4996978038310044e-15,6.524156325280752e-43,4.84690799312225e-34,8.952432157626783e-35,5.606172869964893e-51,2.1254269881119986e-52,6.849673204879636e-71,2.8893505503041648e-70,4.8198380204638636e-86,6.43933491168632e-116,5.418649784478293e-69,1.4559686303045445e-96
4.0773570765689755e-19,0.002771490666666666,0.2,0.0,0.008156497030393103,0.19999999999978513,0.2,0.19999999999999502,0.19999999999882792,2.9946428255712696e-47,6.880642639501401e-38,4.785400516745921e-86,2.6485222635319975e-117,4.2980352210618477e-13,8.512827661223984e-19,2.75277632234863e-31,1.1720905722493632e-12,8.512827664695112e-19,4.999403978018909e-15,5.219345706269659e-42,3.853786379586519e-33,6.925961273394251e-34,2.2424594186751824e-50,6.758379862618206e-51,8.711549940131046e-69,6.310297291366258e-69,4.202441529721222e-84,6.551550358715989e-113,6.891706628560021e-67,3.7033693721815376e-94
8.154721065986512e-19,0.002771490666666666,0.2,0.0,0.008156497028786205,0.19999999999957022,0.2,0.19999999999999002,0.19999999999765583,5.9892907283248e-47,1.376129694455044e-37,2.4420024805794508e-83,5.4055170722071806e-114,8.596077726851095e-13,1.702566975082673e-18,1.1011119160419195e-30,2.3441830997767703e-12,1.7025669757768995e-18,9.998816009137677e-15,4.1754848215335485e-41,3.073346680913832e-32,5.446359694974676e-33,8.969727257764395e-50,2.1556750382777836e-49,1.1113875432433168e-66,3.1674294730643666e-67,8.407300221390988e-82,6.686501516000477e-110,8.79259594228746e-65,9.449152680792756e-92
1.6309449044821585e-18,0.002771490666666666,0.2,0.0,0.00815649702557241,0.19999999999914042,0.2,0.19999999999998003,0.19999999999531165,1.1978586533812106e-46,2.7522605554475053e-37,1.2479904399977721e-80,3.0761751976113406e-110,1.7192162731637112e-12,3.4051353916614568e-18,4.404450360170213e-30,4.688368059094601e-12,3.40513539304991e-18,1.9997638802347223e-14,3.340391156773749e-40,2.45450624103082e-31,4.319299662659548e-32,3.587800928403919e-49,6.886126578205236e-48,1.4199457333008828e-64,3.264829717974457e-65,3.461393598191838e-79,6.834404790507882e-107,1.123476041375145e-62,2.4145438198971495e-89
3.261890500249173e-18,0.002771490666666666,0.2,0.0,0.008156497019144818,0.1999999999982808,0.2,0.19999999999996002,0.1999999999906233,2.3957178144729618e-46,5.504522277366602e-37,6.381375801305874e-78,6.29376689866076e-107,3.438433271403924e-12,6.810272219451963e-18,1.7617806207055867e-29,9.376737594782354e-12,6.8102722222288705e-18,3.9995279312655596e-14,2.6723142403439023e-39,1.9614598078951587e-30,3.4402856124905588e-31,1.4350636208422253e-48,2.2011086498994947e-46,1.8151610775813798e-62,4.049071067759679e-63,1.7167457544030803e-76,6.990385098742073e-104,1.4364422870428672e-60,6.17412940769281e-87
6.523781691783202e-18,0.002771490666666666,0.2,0.0,0.008156497006289638,0.1999999999965616,0.2,0.19999999999992002,0.19999999998124654,4.791436136773781e-46,1.1009045721055376e-36,3.262666779368244e-75,1.287149659295422e-103,6.876867257016383e-12,1.3620545853564724e-17,7.047122935592293e-29,1.8753475134366475e-11,1.3620545859118537e-17,7.999054002883978e-14,2.1378519104360616e-38,1.5675478217209203e-29,2.7461046577596944e-30,5.740328008612863e-48,7.036258870623985e-45,2.320135775625778e-60,5.157406093583379e-61,8.746375768751396e-74,7.157051238197185e-101,1.836742408014694e-58,1.5803350983721623e-84
9.78567288331723e-18,0.002771490666666666,0.2,0.0,0.008156496993434459,0.1999999999948424,0.2,0.19999999999988002,0.1999999999718698,7.187154459626218e-46,1.6513569164867937e-36,2.8392313774787572e-74,8.216945680225637e-103,1.0315301231760871e-11,2.043081946620924e-17,1.4975135955968878e-28,2.8130211142159457e-11,2.0430819474539964e-17,1.1998578044060172e-13,6.34674828755026e-38,4.651494054617594e-29,8.147266116142056e-30,1.2199413926032575e-47,3.365198972043989e-44,1.559406301809419e-59,3.465928726445982e-60,7.610421969333335e-73,6.934287701796813e-100,1.2346419203374615e-57,1.2167311616336698e-83
1.3047564074851258e-17,0.002771490666666666,0.2,0.0,0.008156496980579282,0.19999999999312318,0.2,0.19999999999984003,0.19999999996249304,9.582872784150592e-46,2.201809260944144e-36,1.6957613600157504e-73,9.54686368518765e-102,1.375373519563738e-11,2.7241093057385515e-17,2.554581924181572e-28,3.750694561816155e-11,2.7241093068493145e-17,1.5998100054795166e-13,1.3829230970070282e-37,1.0131497105376588e-28,1.7746124815263113e-29,2.081549837562645e-47,1.1134256688691042e-43,7.17268814483893e-59,1.594108293248536e-59,4.545132131777939e-72,4.4790605786105265e-99,5.679316600658326e-57,6.091726356651997e-83
1.9571346457919318e-17,0.002771490666666666,0.2,0.0,0.008156496954868931,0.19999999998968473,0.2,0.19999999999976004,0.1999999999437396,1.4374309447740534e-45,3.302713950572543e-36,3.994354907702421e-72,8.5052516344784e-100,2.0630603097883904e-11,4.086164018935343e-17,5.288936975868648e-28,5.6260410975147106e-11,4.086164020601488e-17,2.3997139310947143e-13,4.0141992698491346e-37,2.9391461469724233e-28,5.149203998251507e-29,4.313890756033063e-47,6.492492343897722e-43,8.732384457515811e-58,1.9406733301432044e-58,1.0705261657944812e-70,1.1585791021640773e-97,6.914874352597963e-56,8.152734152230279e-82
2.6095128840987374e-17,0.002771490666666666,0.2,0.0,0.008156496929158586,0.1999999999862463,0.2,0.19999999999968004,0.19999999992498613,1.9165746155536746e-45,4.4036186420788696e-36,2.497421582559399e-71,7.668031408002584e-99,2.7507470960164957e-11,5.4482187242374977e-17,8.99509576995843e-28,7.501387069919333e-11,5.4482187264590237e-17,3.1996171100451184e-13,8.778601203015082e-37,6.42438452116916e-28,1.1258279750512826e-28,7.348107649087709e-47,2.159390471975234e-42,4.036281936669032e-57,8.97117411966329e-58,6.693532447023039e-70,7.72958549871967e-97,3.1966289319362833e-55,4.297739612542667e-81
3.261891122405543e-17,0.002771490666666666,0.2,0.0,0.008156496903448246,0.19999999998280785,0.2,0.19999999999960005,0.19999999990623266,2.3957182975279402e-45,5.5045233378569435e-36,1.2042909574444248e-70,5.597087942346276e-98,3.438433877962581e-11,6.810273421081114e-17,1.3742472565219951e-27,9.376732438794907e-11,6.810273423858021e-17,3.999519488998217e-13,1.646985070537691e-36,1.2046858538404292e-27,2.111889454672513e-28,1.1253955060739223e-46,5.820327102481813e-42,1.4787321100163504e-56,3.2870002187599416e-57,3.228022474688377e-69,4.1617539981363985e-96,1.1712477861584161e-54,1.7413876722191495e-80
4.566647599019155e-17,0.002771490666666666,0.2,0.0,0.008156496852027588,0.199999999975931,0.2,0.19999999999944004,0.1999999998687258,3.3540058346502805e-45,7.706332772104613e-36,6.141932893593989e-69,7.192207639533447e-96,4.813807428739702e-11,9.534382788861433e-17,2.642628142961816e-27,1.3127421328049855e-10,9.534382792749103e-17,5.599321796665968e-13,4.5064512220028e-36,3.2915450727571464e-27,5.777178119319369e-28,2.1900789361090154e-46,3.4260843353012993e-41,2.2836031463362836e-55,5.080205514047898e-56,1.6477378044226432e-67,4.4060813572956734e-94,1.810247061061475e-53,5.1518105442652925e-79
7.176160552246377e-17,0.002771490666666666,0.2,0.0,0.008156496749186344,0.19999999996217724,0.2,0.19999999999912002,0.1999999997937121,5.2705849553354365e-45,1.2109952220212707e-35,6.236515336652054e-67,1.861296944269455e-93,7.564554478154462e-11,1.4982601421428274e-16,6.447209028091598e-27,2.0628791757803916e-10,1.498260142753747e-16,8.798916671018065e-13,1.7897293736047196e-35,1.303026531802182e-26,2.293705352287698e-27,5.6778375834632e-46,3.762365769581504e-40,7.482399384935966e-54,1.6678001670407937e-54,1.676340261416608e-65,1.4160443970879784e-91,5.942966640616623e-52,5.314523810209653e-77
9.7856735054736e-17,0.002771490666666666,0.2,0.0,0.008156496646345204,0.1999999999484235,0.2,0.1999999999988,0.19999999971869847,7.187179822228393e-45,1.6513573464314867e-35,5.505422700023639e-66,2.1445167126115858e-92,1.0315301457989972e-10,2.0430819916552076e-16,1.194366725535636e-26,2.8130152380801156e-10,2.0430819924882797e-16,1.1998498546261484e-12,4.480835586360417e-35,3.253995666020285e-26,5.741563836213322e-27,1.1557630863005953e-45,1.6003647474186907e-39,4.812070831484494e-53,1.0733988609935365e-53,1.4806693101481858e-64,1.684279892136493e-90,3.824908405864062e-51,4.999707018277511e-76
1.5004699411928047e-16,0.002771490666666666,0.2,0.0,0.008156496440663215,0.19999999992091602,0.2,0.19999999999815998,0.19999999956867157,1.1020682095304113e-44,2.532083773000335e-35,4.33530443405944e-64,5.6377042199978925e-90,1.5816795208984822e-10,3.1327256494595523e-16,2.801067453778375e-26,4.3132844215457097e-10,3.132725650736929e-16,1.839762331144516e-12,1.6379520728705466e-34,1.1822171677809512e-25,2.098066284832628e-26,3.984180297502387e-45,1.473405342040445e-38,1.2377663659795662e-51,2.7702707526335733e-52,1.1700216687044916e-62,9.341380836433193e-88,9.8715263158961e-50,8.395570366985944e-74
2.5442751224836937e-16,0.002771490666666666,0.2,0.0,0.008156496029300443,0.19999999986590108,0.2,0.19999999999687998,0.1999999992686189,1.8697855739645259e-44,4.2935752442352815e-35,7.442596571005784e-62,2.397087892996123e-87,2.681978187627539e-10,5.312012800189787e-16,8.044063783202638e-26,7.313811024180868e-10,5.312012802355774e-16,3.1195716904955235e-12,8.211365748464437e-34,5.848885802696696e-25,1.0510883406166892e-25,3.351273978056026e-44,2.303402829959798e-37,6.328035721521003e-50,1.4273323137458637e-50,2.0241980276463152e-60,1.6813744127827614e-84,5.086189024501328e-48,4.46362716837153e-71
4.631885485065473e-16,0.002771490666666666,0.2,0.0,0.008156495206579701,0.19999999975587124,0.2,0.19999999999431994,0.1999999986685183,3.4495991574690153e-44,7.817432970718298e-35,2.0625647960561555e-59,2.7268659310028874e-84,4.882575187205061e-10,9.67058644215173e-16,2.664823205195435e-25,1.3314817173441386e-09,9.67058644609493e-16,5.67912803696699e-12,5.0963580290000984e-33,3.534056142635404e-24,6.51488299438746e-25,6.128667060916184e-43,4.945130667914678e-36,4.829721407570882e-48,1.1063928075862053e-48,5.696682591539649e-58,6.154557083237285e-81,3.9426877045831245e-46,4.488993619376272e-68
8.80710621022903e-16,0.002771490666666666,0.2,0.0,0.00815649356115742,0.1999999995358116,0.2,0.19999999998920023,0.1999999974683359,8.847828910033855e-44,1.4887583970913542e-34,7.224881518187398e-57,3.52402434236903e-81,9.283767850785782e-10,1.8387731088115447e-15,9.632872748996743e-25,2.5316641251014343e-09,1.838773109561307e-15,1.0797991252708355e-11,3.5722587266468494e-32,2.351329763985902e-23,4.55456699479106e-24,1.549063204726464e-41,1.2396791405500625e-34,4.452875543184686e-46,1.0514325980831175e-46,2.0563963951434412e-55,3.2028160684751126e-77,3.7472795595042487e-44,6.14364824735175e-65
1.7157547660556145e-15,0.002771490666666666,0.2,0.0,0.008156490270389677,0.1999999990956926,0.2,0.19999999997896176,0.1999999950680464,1.378726163020533e-42,2.9625648472442426e-34,2.724402318750491e-54,5.101879567097088e-78,1.808614783521964e-09,3.582200982844508e-15,3.655743610236632e-24,4.9319536545036966e-09,3.582200984305144e-15,2.1034719866424446e-11,2.6715230826917467e-31,1.5950919142244864e-22,3.388382033266067e-23,4.368137837479043e-40,3.2678158312802644e-33,4.310523433074942e-44,1.0783724614018193e-44,8.212423735130216e-53,1.9407545396303127e-73,3.844927053581641e-42,9.555126378912314e-62
2.5507989110883257e-15,0.002771490666666666,0.2,0.0,0.008156486979724355,0.19999999865557397,0.2,0.1999999999687246,0.19999999266785726,8.377783928205906e-42,4.663843697832251e-34,2.9614006493910067e-53,6.895611564455648e-77,2.688852069544794e-09,5.325627450028076e-15,8.079944762193657e-24,7.332142805283238e-09,5.325627452199568e-15,3.127011817398772e-11,8.323719239679452e-31,4.66206561267469e-22,1.0520015727906833e-22,2.4062757300495306e-39,1.7438244692725534e-32,3.4359876374594277e-43,8.750416111116725e-44,9.046121577772065e-52,3.280866585531733e-72,3.120585618001697e-41,1.3333540919584488e-60
3.385843056121037e-15,0.002771490666666666,0.2,0.0,0.008156483689161451,0.1999999982154557,0.2,0.1999999999584888,0.19999999026776846,3.3015914142525455e-41,6.94204476543746e-34,2.016608180528257e-52,8.480336876394276e-76,3.5690886430676343e-09,7.069052510404611e-15,1.4235820278947386e-23,9.732231581436974e-09,7.069052513286938e-15,4.1504186339625934e-11,1.8807206173353754e-30,9.93233836114108e-22,2.368982134183804e-22,8.497633202141271e-39,5.947361216950266e-32,1.7107533880604165e-42,4.421086648887629e-43,6.236344788208632e-51,3.5588160716300565e-71,1.5770911185814754e-40,1.1788394626356505e-59
4.220887201153748e-15,0.002771490666666666,0.2,0.0,0.008156480398700958,0.19999999777533778,0.2,0.19999999994825432,0.19999998786778006,1.003526980584341e-40,1.039100779458026e-33,1.04625385160542e-51,7.556780280543856e-75,4.449324504008313e-09,8.812476164017788e-15,2.2123297469675218e-23,1.2132219987088678e-08,8.812476167610931e-15,5.1736924533007627e-11,3.566591734590457e-30,1.7799484819669527e-21,4.477493815629269e-22,2.3393753550449846e-38,1.5782676908626898e-31,6.444718801611315e-42,1.6895967690072513e-42,3.2748396216675885e-50,3.033714190347611e-70,6.029430034075302e-40,8.06339492205476e-59
5.8909754912191705e-15,0.002771490666666666,0.2,0.0,0.008156473818087198,0.19999999689510298,0.2,0.19999999992778936,0.19999998306810435,5.754003456093074e-40,2.458749647398852e-33,1.8028685025163296e-50,3.156289395913036e-73,6.209794087838458e-09,1.2299319251115836e-14,4.30927875642647e-23,1.6931895702163713e-08,1.2299319256130618e-14,7.219841163190389e-11,9.423394921460526e-30,4.228240181976327e-21,1.1751157368620885e-21,1.1279710093444623e-37,7.0310432674298515e-31,5.464434608245555e-41,1.4826563561567336e-41,5.8091959378268756e-49,1.808027389582883e-68,5.2983259252031224e-39,2.7421182252203557e-57
7.561063781284593e-15,0.002771490666666666,0.2,0.0,0.00815646723788304,0.19999999601486956,0.2,0.19999999990732972,0.19999997826883006,2.0761366553592188e-39,5.708007999227205e-33,1.1248603499636943e-49,2.9189940732215883e-72,7.970260820376079e-09,1.578615671167214e-14,7.098783251906929e-23,2.1731169983554762e-08,1.578615671810874e-14,9.265458083095693e-11,1.964113700387913e-29,7.986214056102634e-21,2.4334326335383597e-21,3.604409083450601e-37,2.1171734242618548e-30,2.394717243488613e-40,6.683427654634143e-41,3.693992628757409e-48,2.0645797505556684e-67,2.391038350140831e-38,2.3747565939481623e-56
9.231152071350015e-15,0.002771490666666666,0.2,0.0,0.008156460658088449,0.19999999513463765,0.2,0.19999999988687536,0.19999997346995718,5.866969891421525e-39,1.2318883552728402e-32,5.005363871222554e-49,1.8800396024300455e-71,9.73072470092727e-09,1.9272988546055013e-14,1.0580781914580882e-22,2.6530042866047656e-08,1.9272988553913996e-14,1.1310543356199367e-10,3.552358611001903e-29,1.3153995113006974e-20,4.372560654187561e-21,9.199748320844943e-37,5.115312138382425e-30,7.870320376747635e-40,2.2570532855976763e-40,1.6828079862306994e-47,1.6512623586051483e-66,8.085595790969555e-38,1.4388241919933999e-55
1.0901240361415438e-14,0.002771490666666666,0.2,0.0,0.008156454078703395,0.19999999425440712,0.2,0.19999999986642636,0.19999996867148567,1.4208791736274603e-38,2.4463209162156698e-32,1.8632569390730187e-48,9.751750357177558e-71,1.1491185728803992e-08,2.275981475462961e-14,1.4755213953187228e-22,3.132851438412891e-08,2.2759814763912202e-14,1.3355097124438334e-10,5.8363552686386e-29,1.9761567796868332e-20,7.136009023407789e-21,2.0313837943904333e-36,1.0697831955684447e-29,2.1764955828442693e-39,6.422323889826394e-40,6.423181757220342e-47,1.0918163168356814e-65,2.3047602948593017e-37,7.259020118241689e-55
