Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104)
7.547336914897715e-22,0.0033257888,0.2,0.0,0.009787796438395733,0.19999999999999973,0.19999999999999876,0.2,0.19999999999999765,5.461051140509272e-44,1.607139258522463e-36,1.1358558992376083e-104,6.631416979918624e-134,6.062723061763985e-16,9.237692932063926e-21,6.023850756471668e-35,2.376658552294186e-15,1.2707001300026027e-15,1.013733651895763e-17,4.420920351150953e-43,9.264139266394916e-40,9.099655245274577e-40,1.062549063964643e-51,4.4744986230595346e-59,4.0041927742674014e-82,4.2654213147544484e-75,5.222711179557798e-96,6.569006883536443e-131,1.0638617398485806e-80,1.227524498065859e-110,8.949496231815035e-123,6.185925576481869e-107,8.219938579833946e-126,1.7203007060338523e-142,1.448324601522853e-140,2.0031685848475434e-167,9.670595467531726e-132,2.5299476885231326e-108
1.510123102954773e-21,0.0033257888,0.2,0.0,0.009787796438391465,0.19999999999999943,0.19999999999999749,0.2,0.19999999999999526,1.0926846895389033e-43,3.215674815271229e-36,6.148340099595276e-103,1.3986948891860428e-131,1.2130713476311315e-15,1.8483411661625415e-20,2.411110163738666e-34,4.755381968419344e-15,2.5425042566355404e-15,2.0283480453369556e-17,3.5403218050779344e-42,3.8834883715514354e-39,3.751767858993025e-39,4.2529652273438414e-51,1.7965137968810624e-58,5.425346256445567e-81,4.451297799995334e-74,2.1755266926703168e-94,7.086132908045124e-129,1.699106796706134e-79,6.64205739482157e-109,9.78648977627713e-121,1.6692085599831857e-105,1.7337534795256888e-123,9.3860497126837e-141,7.902134006174679e-139,8.240970139756284e-165,2.092936797635079e-129,1.3689386792659266e-106
3.0209019258847758e-21,0.0033257888,0.2,0.0,0.00978779643838293,0.19999999999999882,0.19999999999999493,0.19999999999999998,0.19999999999999052,2.185843840514835e-43,6.432745928768638e-36,3.612555450721596e-101,3.222205113662509e-129,2.4266694305384778e-15,3.697484912071615e-20,9.647581274073711e-34,9.51282879993213e-15,5.086112509879286e-15,4.05757683187226e-17,2.8336923546290553e-41,1.6942814454252528e-38,1.5888518199590045e-38,1.7017399762500745e-50,7.286166200701063e-58,7.975483447268663e-80,5.2204838476335335e-73,1.018054165239312e-92,8.303769726591694e-127,2.7471194253225685e-78,3.900712097069746e-107,1.1862595290963692e-118,4.892660811555696e-104,3.994102013003288e-121,5.545668002560419e-139,4.668908971446117e-137,3.7574482670641983e-162,4.915791229022642e-127,8.039430035522502e-105
6.042459571744782e-21,0.0033257888,0.2,0.0,0.00978779643836586,0.1999999999999976,0.19999999999998985,0.19999999999999996,0.199999999999981,4.37216214246662e-43,1.286688815576296e-35,2.320656001831059e-99,8.102298959365354e-127,4.853865596344689e-15,7.395772403876861e-20,3.859660724549277e-33,1.9027722460007578e-14,1.0173329016278255e-14,8.116034403554541e-17,2.2675279880901156e-40,7.901451720907725e-38,7.057803866118628e-38,6.808067298912117e-50,3.1000754552784133e-57,1.281635901792978e-78,6.830342431608463e-72,5.316495392842956e-91,1.0636435017340459e-124,4.655004272644592e-77,2.503910613462134e-105,1.6245272025134502e-116,1.5677506579170532e-102,1.0043289175494481e-118,3.581607300212146e-137,3.015362342000517e-135,1.9267813748592017e-159,1.2618795561481991e-124,5.160599551495619e-103
1.2085574863464795e-20,0.0033257888,0.2,0.0,0.009787796438331721,0.19999999999999518,0.19999999999997967,0.19999999999999987,0.19999999999996196,8.74479874636987e-43,2.5735172609749626e-35,1.864359525202348e-97,2.4769482488317597e-124,9.70825792792319e-15,1.479234738743575e-19,1.5439899430445305e-32,3.805750976835795e-14,2.0347762028722115e-14,1.6232949541365796e-16,1.81425206021704e-39,4.059485825546184e-37,3.3844864912902334e-37,2.723447986493051e-49,1.628113166007921e-56,2.580123924595518e-77,9.71013846692274e-71,3.0186449253672306e-89,1.6995437628350046e-122,9.66055404555196e-76,2.0100341759918035e-103,2.9021331087983047e-114,6.272013256468483e-101,3.0703564996680255e-116,2.913299380181008e-135,2.452712568865792e-133,1.326354405585264e-156,4.0489928492803457e-122,4.142711790084744e-101
2.417180544690482e-20,0.0033257888,0.2,0.0,0.00978779643826344,0.19999999999999032,0.19999999999995932,0.1999999999999997,0.1999999999999239,1.7490071954175094e-42,5.147174151771503e-35,2.744182592630558e-95,1.3236445538865336e-121,1.9417042590944498e-14,2.9585497354347124e-19,6.176211097918727e-32,7.611708433785666e-14,4.0696628052193506e-14,3.2466779794775066e-16,1.4514935216018163e-38,2.3428025794147987e-36,1.802775970397625e-36,1.0894230674514448e-48,1.5656336810526431e-55,9.552879251895715e-76,1.4561307333597232e-69,1.8090462227671585e-87,4.96217138011093e-120,3.632209236678137e-74,2.9599490502326055e-101,1.0017394362706357e-111,4.591040488213733e-99,1.6407866679601104e-113,4.39230752325719e-133,3.697892479539354e-131,2.1067183021957934e-153,2.3816819536400248e-119,6.100500262620541e-99
4.8344266613784867e-20,0.0033257888,0.2,0.0,0.009787796438126882,0.1999999999999806,0.19999999999991863,0.19999999999999937,0.1999999999998478,3.498061836978045e-42,1.0294487933361413e-34,8.30623612827639e-93,1.502861027640147e-118,3.8834611916444345e-14,5.917179728734425e-19,2.4705347134847914e-31,1.5223623328804586e-13,8.1394360093471e-14,6.493444021274065e-16,1.1612315676501454e-37,1.5122968925747042e-35,1.080273197182343e-35,4.3577772802195647e-48,3.0286716645107337e-54,7.26290420065723e-74,2.2518101801708015e-68,1.1184611495001807e-85,2.991485132417608e-117,2.7719178829637654e-72,8.970203593445325e-99,7.976116076326701e-109,6.931533899587053e-97,1.862970728805139e-110,1.350189633602079e-130,1.1367273501714696e-128,1.2398472125369625e-149,2.8846253731100243e-116,1.8487727015288543e-96
9.668918894754497e-20,0.0033257888,0.2,0.0,0.009787796437853763,0.19999999999996118,0.19999999999983722,0.19999999999999873,0.19999999999969556,6.996171120097079e-42,2.0589115496528564e-34,3.5173757730894263e-90,2.5003711810178192e-115,7.766975056527294e-14,1.18344397150036e-18,9.882239469663608e-31,3.0447453043319146e-13,1.627898241533648e-13,1.2986976069326004e-15,9.289999542932726e-37,1.0650411934828276e-34,7.194347915587353e-35,1.7431257248397475e-47,8.061359898669808e-53,7.700647672315815e-72,3.540522956782683e-67,7.032348672453357e-84,2.5313973756467346e-114,2.940224697443544e-70,3.800781293943886e-96,1.0215719378128253e-105,1.4670582272357069e-94,3.099514004117772e-107,5.742670223137535e-128,4.834765534559578e-126,2.0324215346065864e-145,4.887927261402719e-113,7.833468560121954e-94
1.9337903361506518e-19,0.0033257888,0.2,0.0,0.009787796437307525,0.19999999999992235,0.19999999999967444,0.19999999999999743,0.19999999999939108,1.3992389686326992e-41,4.117837062281213e-34,1.6593487345531993e-87,4.696219784919006e-112,1.553400278542458e-13,2.366895968622095e-18,3.952915964055845e-30,6.089511217025515e-13,3.255807521825076e-13,2.5974040023265165e-15,7.43205843230932e-36,7.940914104876445e-34,5.176329375780776e-34,6.972515009320001e-47,2.3803022204104656e-51,9.085912776995402e-70,5.615322182345823e-66,4.4607501014968217e-82,2.3879755845606655e-111,3.469348744029384e-68,1.7933738478316044e-93,1.6254481537637704e-102,3.4602569957054596e-92,5.821542071020427e-104,2.7122749219495867e-125,2.2834696758436894e-123,5.106076831367685e-141,9.22499825089014e-110,3.6961705793130714e-91
3.867587229501056e-19,0.0033257888,0.2,0.0,0.00978779643621505,0.1999999999998447,0.19999999999934887,0.19999999999999482,0.19999999999878212,2.7984826818754207e-41,8.235688087517643e-34,8.162725376557744e-85,9.224759920602648e-109,3.1068058239745423e-13,4.733799962337163e-18,1.5811704632341926e-29,1.2179042921575466e-12,6.511626078782142e-13,5.1948167362484655e-15,5.945670260037584e-35,6.120609269706201e-33,3.909394063136177e-33,2.7889944136789975e-46,7.322254253131968e-50,1.117543846287306e-67,8.949808566780427e-65,2.8436488521128346e-80,2.3492378458102587e-108,4.267467557632932e-66,8.822463239939138e-91,2.903232305883001e-99,8.510668604009541e-90,1.1435229498064646e-100,1.3347777029258072e-122,1.123752014946385e-120,1.483813453872721e-136,1.8153204325546261e-106,1.8183223780334578e-88
