Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99)
8.354957330996683e-19,0.0004434385066666667,0.2,0.0,0.0013050395212661256,0.19999999999972604,0.19999999999885149,0.19999999999999085,0.19999999999785184,3.163035670924331e-55,5.698040357263436e-43,2.7129961893498908e-84,1.2713728939990185e-110,5.479899557043833e-13,1.2602544016440544e-19,2.3238393158521134e-33,2.148184887745915e-12,1.1485365840907835e-12,9.162809866213628e-15,8.365912249747993e-37,2.750575127077927e-32,3.413699259940149e-33,3.409767055902388e-55,1.8161790522002678e-50,1.281672961817242e-67,1.8373914981101978e-68,2.4778404917242056e-82,8.908471885940663e-145,3.0239144137646426e-65,7.372783400464254e-93
1.6709921744584457e-18,0.0004434385066666667,0.2,0.0,0.0013050395174122478,0.19999999999945203,0.19999999999770296,0.1999999999999817,0.19999999999570364,6.3260741931286335e-55,1.1396085555979928e-42,1.3888043799853657e-81,2.6033002914480324e-107,1.0959803716296532e-12,2.5205098616953955e-19,9.29538305826387e-33,4.29637155033225e-12,2.297074137270444e-12,1.832562504704929e-14,6.692736381804259e-36,2.2001182694845044e-31,2.728731833322648e-32,1.3813924139902303e-54,5.810858433794056e-49,1.6402460323099584e-65,2.3514655594115975e-66,1.2684410711510698e-79,3.648249412931538e-141,3.8700006904518476e-63,3.7741881362395856e-90
3.341985057176e-18,0.0004434385066666667,0.2,0.0,0.001305039509704493,0.19999999999890405,0.19999999999540588,0.19999999999996337,0.19999999999140727,1.2652161878572516e-54,2.2792176303015284e-42,7.109220087419389e-79,1.484124923994397e-103,2.1919611905311413e-12,5.041020752024128e-19,3.7181703132973e-32,8.592744736904817e-12,4.594149230014336e-12,3.66512480503367e-14,5.354191693935255e-35,1.759811462907939e-30,2.182081697057675e-31,6.085692971937778e-54,1.8591761267991941e-47,2.099083794032166e-63,3.0093891611482826e-64,6.4933683641292265e-77,4.159036624691766e-137,4.9528065996507895e-61,1.931991153327519e-87
6.6839708226111096e-18,0.0004434385066666667,0.2,0.0,0.0013050394942889837,0.19999999999780807,0.19999999999081172,0.1999999999999267,0.19999999998281454,2.5305016084914653e-54,4.558436899266229e-42,3.638708937038552e-76,3.039426773204333e-100,4.383922776537916e-12,1.008204241358299e-18,1.4872810881327794e-31,1.7185490555649576e-11,9.188299361040409e-12,7.330246462339912e-14,4.28335432016602e-34,1.4075017254888628e-29,1.7452834679136135e-30,4.226817687153854e-53,5.947911907752492e-46,2.685931861467073e-61,3.8510800412749755e-62,3.3237948734247e-74,1.7037736473100865e-133,6.338050237876007e-59,9.88856597348984e-85
1.3367942353481328e-17,0.0004434385066666667,0.2,0.0,0.001305039463457968,0.1999999999956161,0.19999999998162343,0.1999999999998534,0.19999999996562903,5.065408528203452e-54,9.116911251496585e-42,1.861850940230119e-73,6.220841973768078e-97,8.76784574136665e-12,2.0164085260283828e-18,5.949226636669622e-31,3.4370979975537856e-11,1.8376599405245725e-11,1.466047800356608e-13,3.42668373119481e-33,1.125487989224886e-28,1.39604140931351e-29,7.42556290903303e-52,1.9024766500661315e-44,3.435835194223692e-59,4.9271743022542947e-60,1.7010204269378028e-71,6.9742812619049094e-130,8.109072518404492e-57,5.0599031494424306e-82
2.0051913884351546e-17,0.0004434385066666667,0.2,0.0,0.0013050394326269551,0.19999999999342413,0.19999999997243514,0.1999999999997801,0.19999999994844353,7.617244720858332e-54,1.3675496605154881e-41,1.6204304986984453e-72,3.971518360251996e-96,1.3151768499010565e-11,3.0246127630537814e-18,1.2642278801012654e-30,5.155646717782517e-11,2.7564899231604226e-11,2.1990697771424522e-13,1.0172967436503864e-32,3.3404675858325105e-28,4.144307320074699e-29,3.320565952113319e-51,9.100282529932633e-44,2.309679743927362e-58,3.312378684054634e-59,1.4805141953267296e-70,5.1488704919770976e-129,5.451465527287033e-56,4.403836157838609e-81
2.6735885415221762e-17,0.0004434385066666667,0.2,0.0,0.0013050394017959446,0.19999999999123216,0.19999999996324686,0.1999999999997068,0.19999999993125808,1.0218497706447323e-53,1.823436835145112e-41,9.679379819302848e-72,4.61491722131238e-95,1.7535691049469655e-11,4.032816952431497e-18,2.1566526762009935e-30,6.874195216251178e-11,3.675319884011595e-11,2.932090576593393e-13,2.2166360483670324e-32,7.277087423731415e-28,9.029944488121992e-29,1.069223500544145e-50,3.0113682598158056e-43,1.0625224561842674e-57,1.5238489768930472e-58,8.84389640475892e-70,5.687477522188665e-128,2.5079291939349522e-55,2.6305870138324372e-80
4.01038284769622e-17,0.0004434385066666667,0.2,0.0,0.0013050393401339306,0.19999999998684825,0.19999999994487025,0.1999999999995602,0.1999999998968871,1.5844905726724462e-53,2.7354257389240864e-41,2.2805570233150658e-70,4.1126164866121856e-93,2.6303535664137712e-11,6.0492252193489965e-18,4.4651852293134115e-30,1.031129169273128e-10,5.512979754586635e-11,4.398129412368128e-13,6.434210435788969e-32,2.1115553629805525e-27,2.6210047255565493e-28,6.118932301356866e-50,1.7563883730040944e-42,1.2939405509381243e-56,1.8558204880394498e-57,2.083792552073245e-68,5.2877949672460675e-126,3.05428458511242e-54,6.198161994023488e-79
5.347177153870264e-17,0.0004434385066666667,0.2,0.0,0.0013050392784719267,0.19999999998246434,0.19999999992649364,0.1999999999994136,0.19999999986251613,2.2756728910249774e-53,3.6479600273357827e-41,1.4260742547085973e-69,3.708257903235933e-92,3.5071379516913207e-11,8.065633311019195e-18,7.594296709699852e-30,1.3748387353720741e-10,7.350639545051655e-11,5.864163918678005e-13,1.4070892077700017e-31,4.616263356742483e-27,5.731660477861447e-28,2.025000114101381e-49,5.842471170275775e-42,5.981895411756229e-56,8.580033135869734e-57,1.3030723700995898e-67,5.222976194910116e-125,1.4120908236206724e-53,3.875935961247493e-78
6.683971460044308e-17,0.0004434385066666667,0.2,0.0,0.0013050392168099337,0.19999999997808043,0.19999999990811704,0.199999999999267,0.1999999998281452,3.291883185588253e-53,4.5617010865710025e-41,6.87776927540739e-69,2.707210749159722e-91,4.3839222553375206e-11,1.0082041214903884e-17,1.160266105538431e-29,1.7185482140970407e-10,9.188299249684526e-11,7.330193786287989e-13,2.639890752377251e-31,8.657831347266678e-27,1.0753055830614576e-27,5.446574436726396e-49,1.5749648090209264e-41,2.191879487631406e-55,3.1440548887019488e-56,6.284894822848853e-67,3.9758672975250285e-124,5.17444697233493e-53,1.8693825482217792e-77
