Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),SX(62)
5.6036295835223634e-21,0.0033257888,0.2,0.0,0.009787796438375806,0.1999999999999968,0.2,0.19999999999999996,0.1999999999999824,4.0546364993566334e-43,1.1931795097815278e-35,2.051017000804233e-102,1.4563830472743644e-128,6.470700011785606e-15,6.858658886062184e-20,7.8929775024556605e-28,1.7645845573513458e-14,6.858658918050773e-20,7.526612295090336e-17,6.489961125648367e-48,2.8941534337277263e-34,2.89415343094457e-34,5.854797222944427e-50,2.4632476920689286e-57,3.0528921001395105e-76,7.23606786329004e-69,1.4941342208761258e-96,2.0631766632191814e-126
1.1207867265751567e-20,0.0033257888,0.2,0.0,0.009787796438351612,0.19999999999999354,0.2,0.19999999999999987,0.19999999999996473,8.109713002673994e-43,2.3864885018754134e-35,6.58252989004007e-101,1.8689973717947623e-126,1.2942102215607832e-14,1.3718062064958806e-19,1.5786877936007297e-27,3.529360603807969e-14,1.371806212893946e-19,1.5054041368474067e-16,5.19261557697044e-47,1.157755593985927e-33,1.1577555917591198e-33,2.342109496114953e-49,9.853792680111549e-57,2.4494336925811253e-75,5.789587211122771e-68,4.782123165084674e-95,1.324128003524097e-124
2.241634263020997e-20,0.0033257888,0.2,0.0,0.009787796438303223,0.19999999999998708,0.2,0.19999999999999973,0.19999999999992943,1.6219866009308302e-42,4.773106486062728e-35,2.1181586623768235e-99,2.4034766634804203e-124,2.5884906623123892e-14,2.74368684226164e-19,3.1574877999771173e-27,7.058912692667105e-14,2.743686855058118e-19,3.0108899515136886e-16,4.154351148404534e-46,4.631210830514504e-33,4.631210812698919e-33,9.368819262914693e-49,3.9416774601102335e-56,1.9705689160746793e-74,4.6319629610223084e-67,1.5304224288625163e-93,8.518472881316465e-123
4.4833293359126777e-20,0.0033257888,0.2,0.0,0.009787796438206445,0.19999999999997414,0.2,0.19999999999999943,0.19999999999985885,3.2440172022575283e-42,9.546342454435534e-35,6.852361809459922e-98,3.104253217573002e-122,5.177051543764244e-14,5.487448113738898e-19,6.315167491393956e-27,1.411801685416893e-13,5.487448139332199e-19,6.0218615808043925e-16,3.3235843977098945e-45,1.8525220292881245e-32,1.8525220150352063e-32,3.7476040438525537e-48,1.5767030622206741e-55,1.593942125371483e-73,3.705687658898373e-66,4.8975807090309674e-92,5.507173522727915e-121
8.96671948169604e-20,0.0033257888,0.2,0.0,0.009787796438012888,0.19999999999994825,0.2,0.19999999999999882,0.19999999999971765,6.488078404910269e-42,1.9092814391173844e-34,2.2401273584116612e-96,4.044128559287314e-120,1.0354173306462523e-13,1.0974970656476358e-18,1.2630845588882406e-26,2.823622511230678e-13,1.0974970707663308e-18,1.2043804839218356e-15,2.6589089122222007e-44,7.410163555965722e-32,7.410163441940568e-32,1.4990570160570293e-47,6.306876405806098e-55,1.3030732659758738e-72,2.964597059309646e-65,1.5672625209625379e-90,3.595107200809502e-119
1.7933499773262765e-19,0.0033257888,0.2,0.0,0.009787796437625774,0.19999999999989648,0.2,0.19999999999999762,0.1999999999994353,1.2976200810213123e-41,3.818575826462126e-34,7.471336214319872e-95,5.357118083094373e-118,2.070841683103737e-13,2.1950015741083074e-18,2.5263476642466605e-26,5.64726413691193e-13,2.1950015843457324e-18,2.4087691355376525e-15,2.127143690465473e-43,2.96408054539812e-31,2.964080454177276e-31,5.996260951855391e-47,2.522763393941748e-54,1.0871049115955841e-71,2.371696445176347e-64,5.015299183024376e-89,2.3910205332093138e-117
3.586706035639621e-19,0.0033257888,0.2,0.0,0.009787796436851548,0.19999999999979293,0.2,0.1999999999999952,0.19999999999887058,2.595244562080833e-41,7.6371646011399276e-34,2.584652077151147e-93,7.319308121620973e-116,4.141690387690021e-13,4.390010590682369e-18,5.053383818396992e-26,1.1294547284489161e-12,4.390010611157254e-18,4.8175464385013814e-15,1.7017215813791342e-42,1.185635270913998e-30,1.1856351979370341e-30,2.3985143031544302e-46,1.0091079245963063e-53,9.411043030055822e-71,1.8973647147984374e-63,1.6049054561415948e-87,1.6456072133716703e-115
7.17341815226631e-19,0.0033257888,0.2,0.0,0.009787796435303095,0.19999999999958584,0.2,0.19999999999999038,0.19999999999774112,5.190493524195672e-41,1.5274342150448801e-33,9.511156299992333e-92,1.0551687663042835e-113,8.283387795547848e-13,8.780028622441362e-18,1.0109495900356154e-25,2.2589113164502564e-12,8.780028663391167e-18,9.635101043357219e-15,1.3613799242418963e-41,4.7425474143375905e-30,4.742546830520724e-30,9.594130576532062e-46,4.0364368551321234e-53,8.671387155186392e-70,1.5178948585847006e-62,5.135714665025484e-86,1.200814588026747e-113
1.434684238551969e-18,0.0033257888,0.2,0.0,0.00978779643220619,0.19999999999917167,0.2,0.19999999999998075,0.1999999999954822,1.0380991448408548e-40,3.0548697248879638e-33,3.837146613217684e-90,3.143132100989326e-111,1.656678260600454e-12,1.756006468040284e-17,2.0229879158304845e-25,4.517824326396521e-12,1.7560064762302484e-17,1.9270210248782423e-14,1.0891050150994121e-40,1.8970204120043377e-29,1.8970199449503833e-29,3.837752534803219e-45,1.6145758459781507e-52,8.764746038624864e-69,1.2143172229242225e-61,1.6434325058455382e-84,1.3102336356744981e-111
2.8693690852026447e-18,0.0033257888,0.2,0.0,0.00978779642601238,0.19999999999834334,0.2,0.19999999999996146,0.19999999999096438,2.0761987296767085e-40,6.109740744499365e-33,1.735536502830648e-88,5.71255982941094e-109,3.3133572205882047e-12,3.512013677409974e-17,4.0503282045494464e-25,9.035649682063488e-12,3.512013693789905e-17,3.854042864248692e-14,8.712844616412282e-40,7.588085981615105e-29,7.588082245181629e-29,1.5352580857192378e-44,6.458307904524412e-52,9.934625836373092e-68,9.714544756595554e-61,5.258996906815516e-83,1.1903155966681696e-109
