Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107)
6.867352488696477e-21,0.0004434385066666667,0.2,0.0,0.001305039525088323,0.19999999999999776,0.19999999999999057,0.19999999999999996,0.19999999999998236,2.5998553920816993e-57,4.683501073169715e-45,4.765913806134519e-103,1.510203674427819e-133,4.504200382717389e-15,1.0358654021139982e-21,1.570069079099737e-37,1.7656993815687164e-14,9.44039002486375e-15,7.531367426332144e-17,4.646006256095372e-43,1.564798794898178e-38,2.26764288122597e-39,2.299592560638734e-59,6.986646338077628e-61,3.332090217560573e-82,1.0714133257902552e-81,9.863378930656774e-100,2.902373280434637e-136,7.861389788002943e-80,1.2951748919730366e-111,5.5922568720359875e-121,2.9078971337474506e-114,3.309261642654249e-124
1.3735450213691236e-20,0.0004434385066666667,0.2,0.0,0.0013050395250566427,0.19999999999999551,0.19999999999998114,0.19999999999999987,0.1999999999999647,5.199992917141145e-57,9.367510393877678e-45,2.410388797525072e-100,3.0541949605650976e-130,9.008889555200927e-15,2.071843214947926e-21,6.280787563839568e-37,3.531590374261128e-14,1.888180450845771e-14,1.5063552130439537e-16,3.7172755820831833e-42,1.236997567321676e-37,1.6643498962361328e-38,9.199117011285695e-59,2.208483248766098e-59,4.212930874836041e-80,2.239068253778671e-80,8.225580180197622e-98,2.93571514515105e-133,9.939556171050693e-78,6.550422810526423e-109,9.845171025951884e-118,7.352943927673091e-112,6.692561012350333e-121
2.7471645663680754e-20,0.0004434385066666667,0.2,0.0,0.001305039524993282,0.19999999999999102,0.19999999999996226,0.19999999999999973,0.1999999999999294,1.0400267967259334e-56,1.873552903529093e-44,1.2264966015306323e-97,6.215328038548414e-127,1.8018267899292974e-14,4.14379884041459e-21,2.5124173449394275e-36,7.063372358709365e-14,3.776463347472558e-14,3.012792148893027e-16,2.9740087078354737e-41,9.836600690207583e-37,1.2715667767472721e-37,3.679795206596525e-58,7.023542393365067e-58,5.359163668358374e-78,1.0296612969397398e-78,1.505383536926611e-95,2.9878305380549148e-130,1.2643864711813592e-75,3.333101831851335e-106,1.854442219745677e-114,1.870829352664352e-109,1.3619452145924044e-117
5.49440365636598e-20,0.0004434385066666667,0.2,0.0,0.0013050395248665606,0.199999999999982,0.1999999999999245,0.19999999999999943,0.19999999999985876,2.0800818067492928e-56,3.747156631810676e-44,6.260133449371723e-95,1.2688339625128337e-123,3.603702458397696e-14,8.287710090543152e-21,1.0049874552409094e-35,1.41269363238595e-13,7.553029140358107e-14,6.025666000701553e-16,2.3792822651078758e-40,7.84551645410058e-36,9.932866084514526e-37,1.471947477379931e-57,2.2405531516886596e-56,6.838345061025088e-76,1.0221119592466401e-76,5.963780471412499e-93,3.0522783070609875e-127,1.6133706514883004e-73,1.7012409369950821e-103,3.633586463387944e-111,4.7779110253227765e-107,2.7803558116921783e-114
1.098888183636179e-19,0.0004434385066666667,0.2,0.0,0.001305039524613118,0.19999999999996398,0.19999999999984897,0.19999999999999882,0.1999999999997175,4.160191826795044e-56,7.494364088369696e-44,3.2001762676348686e-92,2.59439886205744e-120,7.207453793934449e-14,1.657553258758121e-20,4.019991280021296e-35,2.8254064239174403e-13,1.5106160724657117e-13,1.2051413624760126e-15,1.9034559315600342e-39,6.266890110223021e-35,7.850421199024594e-36,5.887861651150184e-57,7.158581561322118e-55,8.739361495826749e-74,1.2595127885535243e-74,2.938469780964096e-90,3.139299822369558e-124,2.06188048324051e-71,8.696732945634186e-101,7.274034935586583e-108,1.228532524097281e-104,5.6850243349970464e-111
2.197783819635341e-19,0.0004434385066666667,0.2,0.0,0.0013050395241062326,0.19999999999992796,0.1999999999996979,0.19999999999999762,0.19999999999943494,8.320411866891396e-56,1.4988779001474914e-43,1.6371947024801862e-89,5.309015890958082e-117,1.441495645940778e-13,3.3151177568781027e-20,1.6080051431871605e-34,5.650832000986276e-13,3.021242388736676e-13,2.4102908554643348e-15,1.5227767922949689e-38,5.009675413175109e-34,6.241985323554253e-35,2.3552179834531304e-56,2.2889435678997135e-53,1.1177516742785352e-71,1.6034197235154912e-72,1.496252860491802e-87,3.3649065877468638e-121,2.6371230731086153e-69,4.4492065483812834e-98,1.4725915742645594e-104,3.292171929150464e-102,1.163347894430559e-107
4.395575091633664e-19,0.0004434385066666667,0.2,0.0,0.001305039523092462,0.19999999999985588,0.19999999999939577,0.1999999999999952,0.19999999999886986,1.6640851947638956e-55,2.9977608827754675e-43,8.378993256130618e-87,1.0868286595530581e-113,2.8829961767953744e-13,6.630246747967548e-20,6.432040549787988e-34,1.1301683131147366e-12,6.042495018923258e-13,4.820589714147421e-15,1.2182262513386214e-37,4.00616181717441e-33,4.978243675153775e-34,9.423043451930234e-56,7.321656488697842e-52,1.4301330226351447e-69,2.050346514890316e-70,7.65319368634217e-85,4.695580769632094e-118,3.3741475914655475e-67,2.277057985071801e-95,2.998299292798884e-101,1.1487674386708578e-99,2.3815333362294576e-104
8.79115763563031e-19,0.0004434385066666667,0.2,0.0,0.0013050395210649204,0.19999999999971171,0.19999999999879153,0.19999999999999038,0.19999999999773968,3.328173214491804e-55,5.995526848444999e-43,4.289032989375654e-84,2.225290248012262e-110,5.765997229544285e-13,1.326050470954428e-19,2.5728223870432114e-33,2.2603385295563216e-12,1.2085000269875031e-12,9.641186922339411e-15,9.74582925942455e-37,3.2042279187896505e-32,3.976450983538869e-33,3.7762372722528064e-55,2.34240555044146e-50,1.830137711552427e-67,2.6236627680159465e-68,3.917268143136006e-82,1.5055796347144164e-114,4.317939499890543e-65,1.1655789200805174e-92,6.122350460288044e-98,9.212172023403065e-97,4.876208279722418e-101
1.7582322723623605e-18,0.0004434385066666667,0.2,0.0,0.0013050395170098373,0.19999999999942342,0.19999999999758303,0.19999999999998075,0.19999999999547935,6.656349480805734e-55,1.1991058793783438e-42,2.1955928449815546e-81,4.556576206593284e-107,1.1531999299200987e-12,2.652102055028863e-19,1.0291319256164194e-32,4.520678924076963e-12,2.417001073409301e-12,1.9282379302027065e-14,7.796671072967887e-36,2.562989528016553e-31,3.178693440079591e-32,1.5330504868802485e-54,7.494535641917601e-49,2.342157325378075e-65,3.357736537321066e-66,2.0053119698249424e-79,9.935852746858774e-111,5.526104979378535e-63,5.966701334822672e-90,1.2519212772929684e-94,1.5201027207595244e-93,9.984681614001371e-98
3.516465289961019e-18,0.0004434385066666667,0.2,0.0,0.0013050395088996718,0.19999999999884682,0.19999999999516602,0.19999999999996146,0.19999999999095866,1.3312716449905922e-54,2.398212313542944e-42,1.1239069058569255e-78,2.597661137345677e-103,2.3064003295149894e-12,5.304205190213677e-19,4.116547543049047e-32,9.041359559668134e-12,4.834003151178673e-12,3.856475591462052e-14,6.237339870252045e-35,2.050055026808798e-30,2.5419521975423954e-31,6.854644703918737e-54,2.397858856748556e-47,2.997329507523096e-63,4.297195312609307e-64,1.0265507863610529e-76,7.892821570149137e-107,7.072258466228133e-61,3.054313520696622e-87,7.13002126818726e-91,3.0189167995190075e-90,5.692172855235836e-94
