Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150),SX(113),SX(114)
7.955591639915061e-22,0.0033257888,0.2,0.0,0.009787796438395504,0.1999999999999997,0.19999999999999868,0.2,0.1999999999999975,5.756453340889837e-44,1.6940735246683853e-36,1.5330047674267418e-104,9.921144520178893e-134,6.390671232667763e-16,9.737383330186728e-21,6.693167507241223e-35,2.5052180819156758e-15,1.3394355446265522e-15,1.068569093580333e-17,5.177843579194449e-43,1.0319809713937123e-39,1.0127163742632958e-39,1.1806100694010427e-51,4.972215662946776e-59,4.864573598111456e-82,5.077617231294008e-75,6.906752147253987e-96,9.342545572296795e-131,1.3127540594700623e-80,1.656681482921672e-110,1.2734418649321018e-122,7.918663216231148e-107,1.2297708610423056e-125,2.3235292912069934e-142,1.956183952614053e-140,1.2529536724090861e-163,1.4501076332555646e-131,3.4144471200272886e-108,3.0144901898999334e-147,2.999659353019455e-160,2.1918389769243457e-141,8.431085192883283e-148
1.591809517526011e-21,0.0033257888,0.2,0.0,0.009787796438391005,0.19999999999999937,0.19999999999999735,0.2,0.19999999999999502,1.1517907944456308e-43,3.389618876899425e-36,8.356303509962165e-103,2.108467315958778e-131,1.2786894742680124e-15,1.948322659375004e-20,2.679011293083392e-34,5.012612721405327e-15,2.6800348038796868e-15,2.138066570258568e-17,4.146474279259091e-42,4.336065725899211e-39,4.181792837923677e-39,4.7255169058945155e-51,1.997069107815725e-58,6.636962353940232e-81,5.3446086238106705e-74,2.901750822420922e-94,1.0149429617286176e-128,2.097965373300385e-79,9.027034261133883e-109,1.4040872018062198e-120,2.1518601816424285e-105,2.613553367340293e-123,1.2763408176100395e-140,1.074553884439348e-138,5.411514573666665e-161,3.160399758431049e-129,1.8604862341649672e-106,2.563376735234052e-144,3.2923158526238646e-158,2.3662330811220648e-139,6.053622462192705e-145
3.1843102245950206e-21,0.0033257888,0.2,0.0,0.00978779643838201,0.19999999999999873,0.19999999999999465,0.19999999999999998,0.19999999999999,2.304081715158903e-43,6.780709581361368e-36,4.938593435960309e-101,4.8873673226833135e-129,2.557934176268129e-15,3.897491312084082e-20,1.0719534749294395e-33,1.002740199956515e-14,5.3612333223613675e-15,4.277061523229391e-17,3.318860010675836e-41,1.8994063780704915e-38,1.7759257519388968e-38,1.890822185128215e-50,8.112778387049338e-58,9.813224950683558e-80,6.324324035577648e-73,1.3700845759964704e-92,1.1963408806928531e-126,3.397769330827668e-78,5.332274454094099e-107,1.7154419003369044e-118,6.344379085438175e-104,6.058164552163526e-121,7.584143758495775e-139,6.385105783185994e-137,2.5402127958390793e-158,7.466356963178136e-127,1.0989902929754402e-104,2.3770262208114404e-141,3.9099280945890035e-156,2.776748117824438e-137,5.481807485355784e-142
6.369311638733039e-21,0.0033257888,0.2,0.0,0.009787796438364017,0.19999999999999746,0.1999999999999893,0.19999999999999993,0.19999999999997997,4.608663556585358e-43,1.3562890990284703e-35,3.2029313279794054e-99,1.2396559900585223e-126,5.1164235802589394e-15,7.795828617487907e-20,4.288511916424815e-33,2.0056980552606874e-14,1.0723630359226372e-14,8.555051427628452e-17,2.655760407603742e-40,8.914396144777601e-38,7.926304358269719e-38,7.56451913535561e-50,3.478028579630587e-57,1.5921368565102598e-78,8.3359228144598e-72,7.208274743952009e-91,1.5469770336880002e-124,5.799716334309304e-77,3.4556269732043776e-105,2.3788848150321532e-116,2.0522933920041664e-102,1.5366291687484496e-118,4.946063829879994e-137,4.164101020474143e-135,1.3102552259793276e-155,1.934939392649191e-124,7.122102037789989e-103,2.411730446223917e-138,5.095942744779273e-154,3.5808956490302104e-135,5.5444664707397415e-139
1.2739314467009078e-20,0.0033257888,0.2,0.0,0.00978779643832803,0.1999999999999949,0.19999999999997858,0.19999999999999984,0.1999999999999599,9.217827239437916e-43,2.7127253808129173e-35,2.652007922694797e-97,3.891092157708114e-124,1.0233402388202868e-14,1.559250322823822e-19,1.715544381367777e-32,4.0116137645578646e-14,2.1448424432562966e-14,1.711103123025623e-16,2.1248773184876632e-39,4.618557199504894e-37,3.8279891217026635e-37,3.026053249792852e-49,1.8825658761513169e-56,3.3043020967577748e-77,1.1910536405776494e-70,4.1137297885031186e-89,2.54682072624112e-122,1.2392928102127376e-75,2.8591507667168527e-103,4.394529043415384e-114,8.460499781152205e-101,4.8232960185190914e-116,4.1504602089569236e-135,3.494280742425296e-133,8.698045750196201e-153,6.398789400609053e-122,5.892754245857436e-101,3.027645306256838e-135,8.537800073731024e-152,5.944390093611249e-133,6.956596603791699e-136
2.5479320123561154e-20,0.0033257888,0.2,0.0,0.009787796438256056,0.1999999999999898,0.19999999999995713,0.19999999999999968,0.1999999999999198,1.843615460514162e-42,5.425597944380931e-35,4.146014756246038e-95,2.2061991007305866e-121,2.046736000393996e-14,3.1185852449509503e-19,6.862456777122857e-32,8.023445177907546e-14,4.289801257766245e-14,3.4222990810830406e-16,1.7000094582241368e-38,2.689532472306011e-36,2.0570466674895226e-36,1.2104700201172917e-48,1.9211050632446735e-55,1.299600110907191e-75,1.7915087677786943e-69,2.472880859542712e-87,7.89848642883106e-120,4.944248614887666e-74,4.472426493874559e-101,1.620855861395671e-111,6.57829190667024e-99,2.7348035744824485e-113,6.647551892243761e-133,5.596587219705079e-131,1.223481471189428e-149,3.9981307868135185e-119,9.217739367137622e-99,6.864430405349071e-132,2.7271144383176784e-149,2.0904468658157393e-130,1.5766484535757845e-132
5.095933143666531e-20,0.0033257888,0.2,0.0,0.00978779643811211,0.19999999999997956,0.19999999999991422,0.19999999999999934,0.19999999999983956,3.6872809336543365e-42,1.085134307151344e-34,1.3058625006869692e-92,2.6188469620667375e-118,4.093527523481106e-14,6.237255089113472e-19,2.7450385718647836e-31,1.604710798362822e-13,8.579718886156663e-14,6.844690987325326e-16,1.3600506091132364e-37,1.74946544162133e-35,1.2434746909504772e-35,4.8419743171600354e-48,3.859852824367457e-54,1.027855071150247e-73,2.7750660989682504e-68,1.531467908288352e-85,4.956814284320812e-117,3.9231531506172884e-72,1.410344870024444e-98,1.3576921780857353e-108,1.0337512975310296e-96,3.2463667784898656e-110,2.1239492709882755e-130,1.7881571348354335e-128,6.285053507524559e-146,5.039136752474116e-116,2.9067423910894254e-96,3.258680241252014e-128,1.73994704711357e-146,2.6800451563410834e-127,7.479838979144674e-129
1.0191935406287362e-19,0.0033257888,0.2,0.0,0.009787796437824218,0.1999999999999591,0.19999999999982843,0.19999999999999865,0.19999999999967907,7.374611879932418e-42,2.170283332576436e-34,5.6022937098234195e-90,4.422354529347622e-115,8.187110569414094e-14,1.2474594777071568e-18,1.0980266088013196e-30,3.209443351115481e-13,1.715955414041959e-13,1.36894747603197e-15,1.0880577043216517e-36,1.2386861508089912e-34,8.339093959585517e-35,1.9368060100192764e-47,1.0402068688401661e-52,1.103926535557068e-71,4.36706595662581e-67,9.637712935526274e-84,4.249873956046063e-114,4.2149921205761637e-70,6.053827537023732e-96,1.7786138318519875e-105,2.2167273764688393e-94,5.482046788857653e-107,9.147963837330632e-128,7.70168903147547e-126,1.0970293681663729e-141,8.650406749272835e-113,1.2477031391606194e-93,2.2010133148495445e-124,1.4982445147396812e-143,1.1677566709126691e-123,5.045692239520518e-125
2.0383939931529023e-19,0.0033257888,0.2,0.0,0.009787796437248432,0.19999999999991816,0.19999999999965684,0.1999999999999973,0.19999999999935814,1.4749273772479527e-41,4.3405813834209865e-34,2.6549971460536275e-87,8.347369111651364e-112,1.6374276660315142e-13,2.4949274151519982e-18,4.392128857438358e-30,6.418908423054897e-13,3.43192246388738e-13,2.737904214834765e-15,8.70453049929931e-36,9.265661340574736e-34,6.0277776809638835e-34,7.74723609196148e-47,3.085096726622477e-51,1.3084118046121732e-69,6.92942957201436e-66,6.116246792496357e-82,4.027464119722614e-111,4.9960341936468314e-68,2.86945905901384e-93,2.8623146341483407e-102,5.252363391319379e-92,1.034759125334597e-103,4.3399020491443593e-125,3.6537721893645547e-123,3.078224891568082e-137,1.640033960579008e-109,5.913998350049907e-91,1.661781539909388e-120,1.422089677087413e-140,8.189403865814396e-120,3.799885809057714e-121
4.0767948982012345e-19,0.0033257888,0.2,0.0,0.009787796436096863,0.19999999999983628,0.19999999999931364,0.19999999999999454,0.19999999999871623,2.9498597557537504e-41,8.681177485087545e-34,1.3087186627470394e-84,1.643188204004325e-108,3.274860883825754e-13,4.989863289454569e-18,1.7568560770501767e-29,1.2837838432670122e-12,6.863856559549567e-13,5.47581762925604e-15,6.963651939157397e-35,7.154558845789225e-33,4.564811201869213e-33,3.0988804361420974e-46,9.509407113871042e-50,1.6125779792325663e-67,1.1047873199022155e-64,3.900287735721096e-80,3.970229679324154e-108,6.15785042709506e-66,1.4144959377277254e-90,5.1449590190617456e-99,1.2944811602816372e-89,2.0369348113015324e-100,2.140074623823374e-122,1.801732574481503e-120,9.583908899863485e-133,3.2338806480321854e-106,2.915296382793237e-88,1.3084895241188996e-116,1.4129931257503887e-137,6.374278606521944e-116,2.9769572410383335e-117
