Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144)
8.850050273411848e-22,0.002217192533333333,0.2,0.0,0.006525197625595917,0.19999999999999973,0.19999999999999882,0.2,0.19999999999999774,6.700937795576078e-59,1.2071382682440829e-46,8.761381976078645e-114,9.265116388030659e-147,5.804624110301554e-16,1.3349337900705377e-22,2.6085349198706798e-39,2.2754807360719522e-15,1.2165958636825402e-15,9.705775336896446e-18,1.989752516955246e-46,7.786820544676368e-42,2.0563962243858568e-42,7.641152572271506e-62,1.1608222421488681e-66,1.8422758242398907e-90,1.1579826380063252e-86,3.546458168402153e-107,6.8838014823963e-148,4.3464747561150535e-88,2.3809748933200116e-122,9.41592838359263e-134,2.0745474631952318e-123,2.030235709051355e-137,1.6082505726949372e-161,1.6529970784429741e-156
1.7707789556618144e-21,0.002217192533333333,0.2,0.0,0.006525197625591831,0.19999999999999946,0.1999999999999976,0.2,0.19999999999999546,1.340769743111348e-58,2.4153253099618498e-46,4.12367225638801e-111,1.741489147993401e-143,1.1614291334503307e-15,2.671027383605457e-22,1.0440937722345501e-38,4.552938431905051e-15,2.434248717688705e-15,1.9419983143126017e-17,1.5934157738612845e-45,5.736766977725652e-41,1.1477802482481485e-41,3.0584522877334224e-61,3.4142231838950475e-65,2.1671019134788844e-88,1.8299505793560864e-85,2.2423203937324028e-105,6.478524118512438e-145,5.112835908022336e-86,1.1206406331985834e-119,1.124658577119706e-130,4.879253825059947e-121,3.816070200423342e-134,7.570539889798774e-159,7.78117572708035e-154
3.542326812303074e-21,0.002217192533333333,0.2,0.0,0.0065251976255836595,0.19999999999999887,0.19999999999999515,0.19999999999999998,0.1999999999999909,2.6821216702188056e-58,4.831699393397293e-46,2.018316603575521e-108,3.405959476524308e-140,2.3233625782877674e-15,5.343214570668604e-22,4.1777350877929186e-38,9.107853823438282e-15,4.869554425697931e-15,3.8848398747411825e-17,1.2753784386744121e-44,4.392143686031564e-40,7.190948514547288e-41,1.223779230553482e-60,1.0444014246801331e-63,2.6513417245588595e-86,2.9127229477911802e-84,1.427789635483319e-103,6.3409951295094944e-142,6.255301486498562e-84,5.4849354872626546e-117,1.5675489166661887e-127,1.1937083955598252e-118,7.46337149283394e-131,3.7057943152981046e-156,3.80890097562518e-151
7.085422525585594e-21,0.002217192533333333,0.2,0.0,0.006525197625567317,0.1999999999999977,0.1999999999999903,0.19999999999999996,0.1999999999999818,5.364825524433627e-58,9.664447560267826e-46,1.0095315571506703e-105,6.81049747790883e-137,4.647229467950987e-15,1.0687588944768124e-21,1.6713660758787058e-37,1.821768460597288e-14,9.740165841703965e-15,7.770522992329017e-17,1.0205611418663824e-43,3.4347676367498675e-39,4.955851939243726e-40,4.8959132689131795e-60,3.264976252447804e-62,3.315188902260991e-84,4.686986385067766e-83,9.189748472395024e-102,6.342918342585537e-139,7.821514614849462e-82,2.7434821049092668e-114,2.501822210805964e-124,2.9849178760345716e-116,1.4923628152061056e-127,1.8537108780112167e-153,1.9052868479314884e-148
1.4171613952150633e-20,0.002217192533333333,0.2,0.0,0.00652519762553463,0.19999999999999538,0.19999999999998055,0.19999999999999987,0.1999999999999636,1.0730233232862897e-57,1.9329943894007467e-45,5.107704065489666e-103,1.3778800925734721e-133,9.294963247230808e-15,2.137633769286008e-21,6.686008441727518e-37,3.643734616891462e-14,1.9481388673666367e-14,1.554188921442737e-16,8.165522824773967e-43,2.716226483621181e-38,3.64584082070027e-39,1.9585242723466167e-59,1.0324492941278535e-60,4.19315061680597e-82,8.012386823495555e-82,6.279784544224667e-100,6.418154294121347e-136,9.892888779180733e-80,1.3880591066382066e-111,4.421247610856578e-121,7.550484648873516e-114,3.0193051544897303e-124,9.379172919733396e-151,9.64013051429779e-146
2.834399680528071e-20,0.002217192533333333,0.2,0.0,0.006525197625469257,0.19999999999999074,0.19999999999996107,0.1999999999999997,0.19999999999992715,2.146104864971994e-57,3.866093656148105e-45,2.59949486254975e-100,2.8045685527384182e-130,1.8590430805603984e-14,4.2753835188615634e-21,2.6745122225617266e-36,7.287666928628825e-14,3.896383433739248e-14,3.1084621606314804e-16,6.532831760899582e-42,2.160343069979115e-37,2.789120651406721e-38,7.834412573940807e-59,3.284082163661322e-59,5.335031354662297e-80,1.949654041300876e-80,6.091686915145385e-98,6.532772307952997e-133,1.2586929685518973e-77,7.064333546091042e-109,8.347174252192893e-118,1.9212901473183524e-111,6.14556254425858e-121,4.7735140825267654e-148,4.906328001062024e-143
5.668876251154086e-20,0.002217192533333333,0.2,0.0,0.006525197625338512,0.19999999999998144,0.1999999999999221,0.1999999999999994,0.19999999999985427,4.2922679483428046e-57,7.732292189640544e-45,1.326931696568753e-97,5.725993742205086e-127,3.718136592160445e-14,8.550883017841327e-21,1.0698266700690271e-35,1.4575531548699612e-13,7.792872566405002e-14,6.21700861808526e-16,5.226430814045925e-41,1.7232164738296852e-36,2.1802723919866893e-37,3.1338263866448697e-58,1.0477436017047813e-57,6.8082147702628425e-78,1.165486357492496e-78,1.449708461777543e-95,6.669565511442613e-130,1.6062620879171673e-75,3.6060421711754333e-106,1.6376510821870235e-114,4.903750707760194e-109,1.2547189348023966e-117,2.4367817726671e-145,2.5045805697633375e-140
1.1337829392406117e-19,0.002217192533333333,0.2,0.0,0.006525197625077021,0.19999999999996285,0.19999999999984416,0.1999999999999988,0.19999999999970852,8.584594115082109e-57,1.5464689256616368e-44,6.783598042904857e-95,1.1708598430291442e-123,7.436323615062188e-14,1.710188201511549e-20,4.279350334613972e-35,2.9151260775225433e-13,1.558585083141862e-13,1.2434101449297999e-15,4.1812108141307624e-40,1.3765460438632364e-35,1.723807301509379e-36,1.2535421460571335e-57,3.3477096559363158e-56,8.701279666055704e-76,1.2776799699711528e-76,6.347599053996007e-93,6.821052085780274e-127,2.052896017363863e-73,1.8434965932678608e-103,3.2806320595273106e-111,1.2537761635564742e-106,2.56566821618633e-114,1.246079379362944e-142,1.280749152373093e-137
2.267573567491018e-19,0.002217192533333333,0.2,0.0,0.00652519762455404,0.19999999999992565,0.19999999999968832,0.19999999999999754,0.199999999999417,1.7169246448555633e-56,3.0929483390533553e-44,3.4705401444533396e-92,2.3960350266399844e-120,1.4872697659672271e-13,3.4203880006922316e-20,1.711748938241278e-34,5.830271917381406e-13,3.117180736017432e-13,2.4868286776944188e-15,3.3449951162705243e-39,1.1004197601997142e-34,1.37088093229602e-35,5.0142090590081826e-57,1.0704499451592203e-54,1.1129080071973686e-73,1.6002562110692673e-74,3.17937043174884e-90,6.99407177371356e-124,2.6256958529437276e-71,9.431468227645759e-101,6.643805389420451e-108,3.2139444325951153e-104,5.2503559237225055e-111,6.388591987159622e-140,6.566342276916623e-135
4.53515482399183e-19,0.002217192533333333,0.2,0.0,0.006525197623508078,0.1999999999998513,0.1999999999993766,0.19999999999999504,0.19999999999883397,3.433855111574041e-56,6.185907165828651e-44,1.776207291407041e-89,4.905073371854625e-117,2.974544574411882e-13,6.840787597957e-20,6.847013949710189e-34,1.1660563575313927e-12,6.234372041259955e-13,4.973665609311946e-15,2.67600667841369e-38,8.79999042529831e-34,1.0934378942683185e-34,2.00577818155215e-56,3.424094338383006e-53,1.4239522560044739e-71,2.0420915440446745e-72,1.6228367921705356e-87,7.279301832676201e-121,3.3595664217320397e-69,4.826984281784472e-98,1.3529655403692735e-104,8.362643041329985e-102,1.0748332452441829e-107,3.325092028047614e-137,3.4176062682412645e-132
