Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144),SX(123),C2H4O2(73),SX(104),SX(148),C2H5X(150)
2.4834161925808877e-20,0.0006651577600000001,0.2,0.0,0.001957559287539702,0.19999999999999005,0.1999999999999582,0.19999999999999968,0.19999999999992182,8.984667693898903e-42,2.644108579853681e-34,1.61640068335622e-92,3.89264920714932e-118,1.994910892551797e-14,3.0396199965732573e-19,6.519330208000478e-32,7.82028467737368e-14,4.181179817376041e-14,3.335643538638277e-16,7.87057318285881e-38,1.2572727534118627e-35,9.644491309309026e-36,5.749729295738734e-48,3.3775129805694984e-54,1.0710757152532154e-73,4.048791531348802e-68,2.6546902845529866e-85,2.9933784875098354e-117,4.0854383587375433e-72,1.7461578705104056e-98,2.9671692727509547e-108,5.255639388895417e-97,4.8253810902380867e-110,2.623787797585872e-130,2.2089721890431175e-128,8.111776677210756e-149,7.40968873714223e-116,3.5988577111343987e-96,5.752013291293098e-128,1.0477795219089766e-146
4.9668997539649814e-20,0.0006651577600000001,0.2,0.0,0.0019575592873994005,0.19999999999998008,0.1999999999999164,0.19999999999999934,0.1999999999998436,1.7969579119115433e-41,5.288288887686573e-34,6.225582046375273e-90,5.867734242095015e-115,3.9898759016115427e-14,6.079322449771875e-19,2.6077852137856773e-31,1.5640781472130408e-13,8.362473058473485e-14,6.671377552093154e-16,6.296657820659475e-37,8.147918870378726e-35,5.805318506559499e-35,2.299936531993033e-47,8.186309253802817e-53,1.032839734577571e-71,6.266639738180953e-67,1.6427384766346665e-83,2.302619982902702e-114,3.9432835100906204e-70,6.727736768124523e-96,3.0887854080306008e-105,1.0112766430133049e-94,7.273761477712786e-107,1.0155476230650826e-127,8.549915728948194e-126,1.1110512704655315e-144,1.141642769555914e-112,1.3865968379849745e-93,3.467983951206337e-124,8.106501147246715e-144
9.933866876733169e-20,0.0006651577600000001,0.2,0.0,0.0019575592871187977,0.19999999999996013,0.19999999999983278,0.19999999999999868,0.1999999999996872,3.5939401969537734e-41,1.0576649503345666e-33,2.7705362790129885e-87,1.0373201876571258e-111,7.979805918586777e-14,1.2158727354426205e-18,1.0431247566823878e-30,3.1281774980131266e-13,1.6725059537317376e-13,1.3342845540722195e-15,5.037405965584363e-36,5.754129445827047e-34,3.880119908091528e-34,9.199823883370084e-47,2.2813696669200382e-51,1.1496304489986874e-69,9.85796015135421e-66,1.0333979016634208e-81,2.0486108090879157e-111,4.38958721446783e-68,2.99436960554464e-93,4.205440048945915e-102,2.2496800595277292e-92,1.2858851525997426e-103,4.5263404721255876e-125,3.8107350869887144e-123,2.452797180210273e-140,2.0323381196801129e-109,6.171441680923094e-91,2.4522938874155074e-120,7.224973096095361e-141
1.9867801122269544e-19,0.0006651577600000001,0.2,0.0,0.001957559286557592,0.1999999999999202,0.19999999999966553,0.19999999999999735,0.19999999999937437,7.187904767033931e-41,2.115337073463708e-33,1.3185837357849873e-84,1.9689462937509853e-108,1.5959665947960219e-13,2.4317537156763237e-18,4.172520728812649e-30,6.256376167008261e-13,3.345023248160117e-13,2.6685781364857422e-15,4.029956653279965e-35,4.297493332689104e-33,2.7984344869242102e-33,3.6799356066226984e-46,6.7914899446634685e-50,1.3681045364120066e-67,1.5643778768293767e-64,6.558787751284285e-80,1.949662226466457e-108,5.223963980311218e-66,1.4251626721889758e-90,6.782173430348272e-99,5.352923743417016e-90,2.440751331753291e-100,2.1555945608344303e-122,1.8147993675881413e-120,6.598158087051893e-136,3.8690932900572646e-106,2.9372817617564794e-88,1.8618774734783675e-116,6.881051116507269e-138
3.9735669613342294e-19,0.0006651577600000001,0.2,0.0,0.0019575592854351805,0.19999999999984042,0.19999999999933102,0.19999999999999468,0.19999999999874873,1.4375833907177034e-40,4.2306813197112856e-33,6.499077644520256e-82,3.876094102748013e-105,3.191938598839899e-13,4.863515673355075e-18,1.6690129196731138e-29,1.2512773374578378e-12,6.69005783165528e-13,5.337165240063647e-15,3.22397807011237e-34,3.3154723916860925e-32,2.1164775744343212e-32,1.4719678560886157e-45,2.093030870414076e-48,1.6859242656818234e-65,2.500143691132786e-63,4.1925028662192003e-78,1.9218400543866803e-105,6.437913828985981e-64,7.02445284083844e-88,1.2166436421858475e-95,1.3191797191421255e-87,4.8048975631491e-97,1.0628412174039998e-119,8.948081444632374e-118,1.9518877581432762e-131,7.628291326026541e-103,1.4477498169566195e-85,1.466122763015053e-112,6.785322799694235e-135
7.947140659548778e-19,0.0006651577600000001,0.2,0.0,0.001957559283190358,0.19999999999968082,0.19999999999866203,0.19999999999998935,0.19999999999749746,2.875169218739439e-40,8.461369812163615e-33,3.2626087601837594e-79,7.777447111314041e-102,6.383882599604411e-13,9.727039577557907e-18,6.67606323677376e-29,2.5025567268038046e-12,1.3380126977199233e-12,1.0674339202222906e-14,2.5791875472797413e-33,2.603053301712668e-31,1.6442666566872183e-31,5.887797906375107e-45,6.569041538537885e-47,2.11596279835856e-63,4.092001192435982e-62,2.744466691011532e-76,1.929950647348173e-102,8.081039249149861e-62,3.526361005295658e-85,2.3221380572190048e-92,3.311926554299507e-85,9.641108433205091e-94,5.337731087275898e-117,4.493846467052246e-115,6.066224280094739e-127,1.531906011727612e-99,7.267875144005645e-83,1.1767180430581176e-108,6.81523459588955e-132
1.5894288055977876e-18,0.0006651577600000001,0.2,0.0,0.001957559278700713,0.19999999999936163,0.199999999997324,0.19999999999997867,0.1999999999949949,5.750340874755371e-40,1.692274679689698e-32,1.653165298317235e-76,4.3852923882484384e-98,1.276777057184046e-12,1.945408734134453e-17,2.6704294477471294e-28,5.005115296823524e-12,2.676026518250163e-12,2.1348686146555303e-14,2.0633520618009415e-32,2.0622082164162986e-30,1.2958355907244705e-30,2.355055965440968e-44,2.081027960339293e-45,2.680447525602393e-61,7.81509056586631e-61,2.095584023191318e-74,1.9577214643808986e-99,1.0239308758774556e-59,1.786809284857896e-82,1.261148784696904e-88,8.399038914189471e-83,5.435262668232221e-90,5.337721375295605e-117,4.493838290589473e-115,3.7255963902964027e-121,3.10712476105623e-96,3.682630926991493e-80,2.6533293020159418e-104,2.0432820356306848e-131
3.1788582848836072e-18,0.0006651577600000001,0.2,0.0,0.0019575592697214234,0.19999999999872325,0.19999999999464801,0.1999999999999573,0.1999999999899898,1.1500684186677092e-39,3.3845500765678615e-32,8.412901988811157e-74,8.929518761785484e-95,2.5535546399140644e-12,3.8908182690438776e-17,1.0681740828425155e-27,1.0010231602174248e-11,5.352054124996442e-12,4.269737611527633e-14,1.6506824390425217e-31,1.6408664265627618e-29,1.0288189141476204e-29,9.419712747701572e-44,6.622390941715073e-44,3.4102036329533873e-59,2.8737554545616888e-59,3.078114981381944e-72,2.0005169454686382e-96,1.30332236851486e-57,9.093008116389594e-80,2.548551142763183e-85,2.1456754038965834e-80,1.1067512528047042e-86,5.3272875943673024e-117,4.485054069940629e-115,1.20680568892677e-116,6.3303911734949156e-93,1.874071688604855e-77,2.1612971373870649e-100,1.3953769557957869e-130
6.357717243455247e-18,0.0006651577600000001,0.2,0.0,0.0019575592517628478,0.19999999999744647,0.199999999989296,0.19999999999991455,0.19999999997997955,2.300137081008051e-39,6.769100870050497e-32,4.287071163020534e-71,1.8201343005552423e-91,5.107109758505331e-12,7.78163726746884e-17,4.27271272394118e-27,2.0020460874121936e-11,1.0704109201232211e-11,8.539474037294893e-14,1.3205462351289723e-30,1.3078457626578148e-28,8.198857774596098e-29,3.76748535244915e-43,2.111216738577113e-42,4.3444603066211894e-57,2.5311081960792774e-57,1.0834963539520718e-69,2.0714247183563707e-93,1.6619711731506578e-55,4.633636810454002e-77,5.1747844223211396e-82,5.554392712882629e-78,2.2559288565102158e-83,-7.505316753405264e-117,-6.318741100914807e-115,3.92123367426182e-112,1.2926170980884754e-89,9.549878642159707e-75,1.7621758190917695e-96,1.1947305424415503e-125
9.536576202026886e-18,0.0006651577600000001,0.2,0.0,0.0019575592338042756,0.1999999999961697,0.19999999998394397,0.1999999999998718,0.1999999999699693,3.450205743304543e-39,1.015365166326025e-31,3.728750725524214e-70,1.1616703268181517e-90,7.660664830227815e-12,1.1672456194496868e-16,9.079541657398799e-27,3.0030686807316976e-11,1.6056164140211204e-11,1.2809208895085779e-13,3.920371839189605e-30,3.877233703762026e-28,2.431330872783091e-28,8.005341571474277e-43,1.0090500613142041e-41,2.918053499281222e-56,1.6533018055632986e-56,9.217029946327926e-69,2.0138288966522188e-92,1.1166098830819796e-54,4.030180952862095e-76,3.3048459318786203e-81,4.294830241419224e-77,1.4398942239497515e-82,4.1492154622787935e-108,3.493232787936187e-106,2.070244515779027e-111,1.3805386243787335e-88,8.306151143411322e-74,1.476977832573525e-95,4.2426697046656636e-122
