Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH3OX(49)
1.5341170956525593e-21,0.0005542981333333334,0.2,0.0,0.001631299406393954,0.1999999999999992,0.2,0.2,0.19999999999999563,5.633714030698992e-49,1.2944305961132547e-39,2.2228467480689077e-113,1.8711640617950382e-137,1.617147870110118e-15,3.2029754092038806e-21,5.494980463077668e-31,4.410023883502781e-15,3.2029754105099022e-21,1.881039921492225e-17,1.798686760035284e-48,2.5415759797455004e-38,1.9612935246301042e-39,1.5876473206560746e-54,8.572260286202835e-64,1.1059333814878429e-85,4.535986839567159e-78,5.341786702685458e-103,8.55788271052543e-84
3.068900329861633e-21,0.0005542981333333334,0.2,0.0,0.0016312994063879054,0.1999999999999984,0.2,0.19999999999999998,0.1999999999999912,1.126987431151982e-48,2.589423255012449e-39,1.4367504127726233e-111,4.778424684946732e-135,3.2349979320714118e-15,6.40734160231408e-21,1.0992424926567805e-30,8.821962670523681e-15,6.40734160492669e-21,3.762896621056382e-17,1.439678424382014e-47,1.9674113823173478e-37,9.010347780639466e-39,6.352657289770791e-54,3.476507695543129e-63,1.7731527122895044e-84,3.633634058862314e-77,1.712044997048785e-101,1.3874085640351603e-82
6.1384667982797804e-21,0.0005542981333333334,0.2,0.0,0.0016312994063758081,0.1999999999999968,0.2,0.19999999999999996,0.1999999999999824,2.2542194873161336e-48,5.179408572810714e-39,1.0076820221471775e-109,1.3094611287278312e-132,6.470698055945984e-15,1.2816073988439428e-20,2.198754787631359e-30,1.7645840243156646e-14,1.2816073993665215e-20,7.52661002015625e-17,1.1520344172558707e-46,1.547576358961116e-36,4.5349724054716716e-38,2.5414765776634906e-53,1.5373905719932982e-62,3.1019455730925734e-83,2.9124544468045766e-76,5.489522475319215e-100,2.4416196194785985e-81
1.2277599735116075e-20,0.0005542981333333334,0.2,0.0,0.0016312994063516137,0.19999999999999354,0.2,0.19999999999999987,0.19999999999996473,4.50868359964438e-48,1.0359379208406749e-38,1.0983382076569126e-107,5.245893820148568e-130,1.2942098303503065e-14,2.5633538760309914e-20,4.397872986686684e-30,3.529359538278725e-14,2.5633538770762056e-20,1.505403681824221e-16,9.217442191245056e-46,1.2275173588828667e-35,2.5583944106223712e-37,1.01667337260931e-52,1.0804849023038145e-61,8.504876941376345e-82,2.3379572360205433e-75,1.7626964441525642e-98,6.718131515864546e-80
2.4555865608788662e-20,0.0005542981333333334,0.2,0.0,0.001631299406303225,0.19999999999998708,0.2,0.19999999999999973,0.19999999999992943,9.017611824300643e-48,2.0719320479596838e-38,3.0173799826658862e-105,5.22451803401561e-127,2.588489879784896e-14,5.126846830253007e-20,8.796483821221754e-30,7.058910563950713e-14,5.126846832343491e-20,3.0108890413959e-16,7.37442052235747e-45,9.777958189066765e-35,1.618829861846039e-36,4.066859065640284e-52,1.9161148695490198e-60,5.891231976404418e-80,1.8828037843049697e-74,5.678003091246451e-97,4.659571139177763e-78
4.911239735613384e-20,0.0005542981333333334,0.2,0.0,0.001631299406206447,0.19999999999997414,0.2,0.19999999999999943,0.19999999999985885,1.8035468273612259e-47,4.1439203021969084e-38,1.3759080828374803e-102,9.27385731140888e-124,5.1770499783467724e-14,1.0253832738088706e-19,1.759520323598753e-29,1.411801260627816e-13,1.0253832742269733e-19,6.021859760357208e-16,5.899723130674983e-44,7.80549230966449e-34,1.1238991388214999e-35,1.6267769865630943e-51,5.505945489518794e-59,6.731655610153594e-78,1.526014673933314e-73,1.8418051461437276e-95,5.3251406493554373e-76
9.822546085082419e-20,0.0005542981333333334,0.2,0.0,0.0016312994060128914,0.19999999999994825,0.2,0.19999999999999882,0.19999999999971765,3.6071181172231835e-47,8.28789681066819e-38,6.930738496859807e-100,1.8612221152893333e-120,1.035417017424131e-13,2.050780455132678e-19,3.519863304828525e-29,2.8236216654866934e-13,2.0507804559688892e-19,1.2043801197551627e-15,4.719853189749222e-43,6.23764245337167e-33,8.306512638238451e-35,6.507181995818205e-51,1.735433404595317e-57,8.480026809277773e-76,1.2525438467532993e-72,6.112529866965091e-94,6.708329420024954e-74
1.964515878402049e-19,0.0005542981333333334,0.2,0.0,0.00163129940562578,0.19999999999989648,0.2,0.19999999999999762,0.1999999999994353,7.21426069694564e-47,1.6575849827598073e-37,3.5397600633470716e-97,3.800374650347524e-117,2.070841056111354e-13,4.101574816806964e-19,7.042945660381448e-29,5.647262460778001e-13,4.1015748184793924e-19,2.408768406902766e-15,3.7759124244373865e-42,4.987410979071396e-32,6.371332825609384e-34,2.6029102557554687e-50,5.54048666710151e-56,1.0827926799402445e-73,1.0547551868456919e-71,2.4037974527283512e-92,8.565823861281503e-72
3.929038418189663e-19,0.0005542981333333334,0.2,0.0,0.0016312994048515576,0.19999999999979293,0.2,0.1999999999999952,0.19999999999887058,1.4428545856384715e-46,3.3151755861407124e-37,1.8114029669970305e-94,7.77837578986673e-114,4.1416891315190574e-13,8.203163536262219e-19,1.4098695943756043e-28,1.1294543993654823e-12,8.20316353960708e-19,4.817544980032853e-15,3.020741885972921e-41,3.9888437664993585e-31,4.9875130439825825e-33,1.0412427793749687e-49,1.7720681610553166e-54,1.3852215142172947e-71,9.533801190862113e-71,2.6316338654292688e-90,1.0958618655371361e-69
7.858083497764891e-19,0.0005542981333333334,0.2,0.0,0.0016312994033031124,0.19999999999958584,0.2,0.19999999999999038,0.19999999999774112,2.8857116175239505e-46,6.630356792882239e-37,9.272649662343083e-92,1.5926300464596884e-110,8.2833852744675e-13,1.640634095959946e-18,2.824853879874223e-28,2.2589106828585326e-12,1.640634096628919e-18,9.63509812163255e-15,2.416598283072212e-40,3.190634900850108e-30,3.946186634806653e-32,4.167385820562907e-49,5.669658574449282e-53,1.7726762176923884e-69,1.2609721693253888e-69,1.010147862852976e-87,1.4024632243593099e-67
