Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141),CC(144)
0.0,0.0006651577600000001,0.2,0.0,0.00195755928768,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.84754865289042e-25,0.0006651577600000001,0.2,0.0,0.0019575592876799955,0.2,0.2,0.2,0.2,2.8391381625269798e-46,8.355333586824743e-39,-1.2920603122891566e-116,1.884269762245687e-150,6.303881055357117e-19,9.605142256440255e-24,9.764665071416921e-41,2.4711953145464354e-18,1.3212449909020118e-18,1.0540571123933643e-20,4.3460036503465823e-51,7.154064357628315e-45,7.15390266219662e-45,8.611963031125199e-57,3.623055462031582e-64,6.169786427896501e-90,1.4622446176099837e-82,-1.317399046949024e-107,-1.505960098355596e-145,7.009471265838965e-90,-1.3979365639539102e-122,-4.73434323041644e-137,1.8989610647591495e-117,2.3355498372910054e-142,2.4375312549063203e-154,2.052162433625252e-152
2.1973136228093175e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799877,0.2,0.2,0.2,0.2,7.949586855075543e-46,2.339493404310928e-38,1.2851674777368537e-115,3.0964836138039653e-149,1.765086695499984e-18,2.689439831803256e-23,5.897857703145218e-40,6.9193468807293595e-18,3.699485974525606e-18,2.95135991470111e-20,6.567680638659909e-50,4.321445441919519e-44,4.321201086448633e-44,5.201625670560665e-56,2.1883255856696503e-63,9.360658586754522e-89,2.211476850111983e-81,1.3033937562242617e-106,2.9253782720712764e-144,1.2000762221705601e-88,1.3904675456805028e-121,1.420903055119997e-135,5.37580448889272e-116,3.836972301118782e-141,3.0469583456030594e-153,2.5652403189012057e-151
5.022431137849869e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799716,0.2,0.2,0.2,0.2,1.8170484240172667e-45,5.347413495567835e-38,7.140773199532658e-114,9.340431918997356e-147,4.0344838754284905e-18,6.147291044121663e-23,2.8395646027818584e-39,1.5815650013092568e-17,8.455967941772687e-18,6.745965519315364e-20,7.065211125227877e-49,2.0809766108592426e-43,2.0807137439279886e-43,2.504358849092775e-55,1.0535847576124246e-62,1.0151794241369936e-87,2.3828601615071732e-80,7.199379522772075e-105,3.1121389784038692e-142,1.6041721231155023e-87,7.725764152434122e-120,1.8464259231858434e-133,1.1785993018360858e-114,1.1575123825730365e-138,1.212286762267038e-151,1.0206266472678375e-149
1.0672666167930971e-23,0.0006651577600000001,0.2,0.0,0.0019575592876799395,0.2,0.2,0.2,0.19999999999999998,3.861227901036692e-45,1.1363253678081647e-37,2.8551494742003637e-112,1.7979184157112412e-144,8.573278235285355e-18,1.306299346875825e-22,1.2401124640840962e-38,3.360825627780844e-17,1.7968931876266415e-17,1.4335176728538917e-19,6.4941462522931e-48,9.091548179698895e-43,9.08913197803741e-43,1.09371930458252e-54,4.601284874349967e-62,9.482325835210748e-87,2.1973580438620174e-79,2.842452298960835e-103,2.4981470488669005e-140,2.0513515119138105e-86,3.0889798048509573e-118,1.608421443026987e-131,2.219185283645795e-113,2.2281444499432165e-136,4.4645073270626664e-150,3.75867763861547e-148
2.1973136228093176e-23,0.0006651577600000001,0.2,0.0,0.001957559287679876,0.2,0.19999999999999998,0.2,0.19999999999999996,7.949586855075542e-45,2.3394934043109266e-37,1.0404986004928973e-110,2.8394705268156247e-142,1.765086695499849e-17,2.689439831803052e-22,5.177225420992014e-38,6.9193468807198e-17,3.6994859745252135e-17,2.9513599146966206e-19,5.555878844056684e-47,3.798360404931916e-42,3.7962932929175816e-42,4.566062795769157e-54,1.9209517330018192e-61,8.370958810422656e-86,1.892038786559799e-78,1.0106924767331667e-101,1.8248587731378464e-138,2.742465065477037e-85,1.1256634935788826e-116,1.2170964679018768e-129,3.932001536862896e-112,3.5189765790599184e-134,1.567659642152562e-148,1.3198157848685857e-146
4.4574076348417586e-23,0.0006651577600000001,0.2,0.0,0.0019575592876797483,0.2,0.19999999999999996,0.2,0.19999999999999987,1.612630476315324e-44,4.74582947731645e-37,3.7087401846867764e-109,4.1748191587919564e-140,3.5806044394422397e-17,5.455720801657146e-22,2.115065513236284e-37,1.4036389386580835e-16,7.504671548321666e-17,5.987044398374153e-19,4.593708068419109e-46,1.5540563063297876e-41,1.5523471779304427e-41,1.8653856375715456e-53,7.847811849891819e-61,7.349019062107941e-85,1.5844732804352816e-77,3.438445415608687e-100,1.3010825783103395e-136,3.900738699730626e-84,4.011975647130731e-115,8.810025747968635e-128,6.907500694150076e-111,5.173913673789579e-132,5.50130034311419e-147,4.6315557503128466e-145
8.97759565890664e-23,0.0006651577600000001,0.2,0.0,0.001957559287679493,0.19999999999999998,0.19999999999999987,0.2,0.19999999999999973,3.247974057930862e-44,9.558501623327488e-37,1.3555087119143462e-107,6.12102488830181e-138,7.211639927326073e-17,1.0988282741363888e-21,8.549432974828925e-37,2.8270474398235397e-16,1.511504269591179e-16,1.2058413365697514e-18,3.7355271108616244e-45,6.300354544678496e-41,6.28645619605463e-41,7.540186984759937e-53,3.1723696280326746e-60,6.671860279944299e-84,1.3211569722448666e-76,1.1553243997886722e-98,9.495414686864745e-135,5.828544898486456e-83,1.4661346992659174e-113,6.462468686996261e-126,1.2518860096162693e-109,7.585895163560528e-130,2.004070278974605e-145,1.687230771945374e-143
1.8017971707036404e-22,0.0006651577600000001,0.2,0.0,0.001957559287678982,0.19999999999999996,0.19999999999999973,0.2,0.19999999999999946,6.518661221161935e-44,1.918384591534955e-36,5.295473511508824e-106,9.413542609594384e-136,1.447371090308995e-16,2.20534066207716e-21,3.437689397765997e-36,5.673864442127448e-16,3.0335784991080937e-16,2.4201151300217422e-18,3.012837943669469e-44,2.5483110744329586e-40,2.537101553459706e-40,3.031876014129267e-52,1.2758533730707561e-59,6.5037971315860115e-83,1.11829219190391e-75,3.924077273451596e-97,7.395536253657765e-133,8.987590907898839e-82,5.726430716758584e-112,5.032467219494649e-124,2.4312209468805844e-108,1.1666386534742392e-127,7.86486321573901e-144,6.621444055108543e-142
3.609872380329593e-22,0.0006651577600000001,0.2,0.0,0.0019575592876779607,0.19999999999999987,0.19999999999999943,0.2,0.19999999999999887,1.3060035547624066e-43,3.8434534499393575e-36,2.2885258766862277e-104,1.5823472754372768e-133,2.8997852854602537e-16,4.4183654379563935e-21,1.3786672032087983e-35,1.1367498446627253e-15,6.077726958137483e-16,4.8486627168749975e-18,2.4200752815066464e-43,1.03399093094444e-39,1.0249868356957672e-39,1.2159178780185713e-51,5.1209338202679e-59,7.030301249667316e-82,9.829864991915938e-75,1.3806684924849915e-95,6.365107294574303e-131,1.4115307867942632e-80,2.4740763059118012e-110,4.324598990059103e-122,5.2285488404557906e-107,1.9610350774011734e-125,3.429814453163967e-142,2.8875676407925937e-140
