Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35)
6.889742408436661e-22,0.0006651577600000001,0.2,0.0,0.0019575592876761075,0.19999999999999976,0.19999999999999887,0.2,0.19999999999999785,2.4926166713943538e-43,7.335551354444695e-36,8.479995901684929e-103,2.0704504073444192e-131,5.534481984858083e-16,8.432818816448344e-21,5.019872640798766e-35,2.1695818542099855e-15,1.1599848625806954e-15,9.254077048775203e-18,1.6815525248110244e-42,3.8441566851432256e-39,3.78159311948954e-39,4.427285137015552e-51,1.8700845904815664e-58,7.172894688623757e-81,7.89783097509135e-74,4.0305188413446635e-94,4.479140820902879e-129,1.8543766438487946e-79,9.164782699639843e-109,3.0485791775809567e-120,1.0121598375589975e-105
1.3785470692119575e-21,0.0006651577600000001,0.2,0.0,0.0019575592876722118,0.19999999999999948,0.1999999999999977,0.2,0.19999999999999568,4.987398952407615e-43,1.4677475907285782e-35,4.569972326626995e-101,4.336061005517043e-129,1.1073772381489432e-15,1.6872964147896616e-20,2.0092572744879414e-34,4.341048662037003e-15,2.3209775312888214e-15,1.851619412875539e-17,1.346605818946093e-41,1.6053870700952067e-38,1.5552855133343767e-38,1.7720677962777383e-50,7.580689931328227e-58,9.67796005745282e-80,8.122413456291983e-73,1.6546571126149343e-92,4.809055594889443e-127,2.987007509123755e-78,4.9372323041215915e-107,3.3098931784976775e-118,2.7186508267644287e-104
2.7576927259485403e-21,0.0006651577600000001,0.2,0.0,0.0019575592876644203,0.19999999999999893,0.19999999999999538,0.19999999999999998,0.19999999999999135,9.976963514434054e-43,2.9361325012967437e-35,2.7579140823758958e-99,1.0179334564978218e-126,2.21523531746639e-15,3.375325481065878e-20,8.039646289577834e-34,8.6839822770626e-15,4.642962868679238e-15,3.704042828576443e-17,1.077830441389213e-40,6.957593371897642e-38,6.556578449320767e-38,7.090579071528101e-50,3.200295850100344e-57,1.462127543683117e-78,9.379069239368095e-72,7.623547385320217e-91,5.783733609266739e-125,5.0158047848021906e-77,2.9782544803415214e-105,4.094468535635134e-116,8.180605357522312e-103
5.5159840394217055e-21,0.0006651577600000001,0.2,0.0,0.0019575592876488377,0.19999999999999782,0.19999999999999074,0.19999999999999996,0.19999999999998266,1.99560926384866e-42,5.872902322432869e-35,2.0366824361060683e-97,2.8703870526823356e-124,4.430951476065996e-15,6.751383613564563e-20,3.216382036421976e-33,1.7369849504600042e-14,9.28693354335673e-15,7.40888965879772e-17,8.624827209093694e-40,3.210722382859519e-37,2.8898301538082043e-37,2.8366930683254393e-49,1.5930700601268561e-56,2.706209626642909e-77,1.2110875594376842e-70,3.92880122233742e-89,8.498689886961784e-123,9.87918664790709e-76,2.1984115701518539e-103,6.3390148983827955e-114,3.009418020331213e-101
1.1032566666368037e-20,0.0006651577600000001,0.2,0.0,0.0019575592876176725,0.1999999999999956,0.19999999999998144,0.19999999999999987,0.1999999999999653,3.991435088659037e-42,1.1746441964704291e-34,2.4732652825721077e-95,1.2760701146078034e-121,8.86238379312406e-15,1.3503499878346934e-19,1.2866575323028894e-32,3.474158394961992e-14,1.8574874892298354e-14,1.4818583314518149e-16,6.90073534482523e-39,1.6262057081847466e-36,1.3694609505684654e-36,1.1347693591828602e-48,1.2831091455157892e-55,8.260141167553173e-76,1.7060012088996723e-69,2.210175955627777e-87,2.0474606662888417e-120,3.1175790991531717e-74,2.6698436754908304e-101,1.662902708795081e-111,1.817279699196594e-99
2.20657319202607e-20,0.0006651577600000001,0.2,0.0,0.001957559287555342,0.19999999999999116,0.19999999999996287,0.19999999999999973,0.19999999999993054,7.98308673827926e-42,2.3493521249243835e-34,6.0159428162128106e-93,1.1520591900863787e-118,1.7725248426675588e-14,2.70077324070517e-19,5.146839621410617e-32,6.948505279943965e-14,3.7150757588528146e-14,2.9637970607070493e-16,5.520937727745589e-38,9.239677871642565e-36,7.18561424094896e-36,4.539260405682319e-48,2.0118901037941478e-54,5.0469500669007e-74,2.544176792122748e-68,1.3171237270390707e-85,9.903712940972033e-118,1.9241195862280767e-72,6.4982475746177696e-99,9.44308121195907e-109,2.2021157551978e-97
4.413206242804602e-20,0.0006651577600000001,0.2,0.0,0.001957559287430681,0.1999999999999823,0.1999999999999257,0.19999999999999943,0.19999999999986104,1.596639003751758e-41,4.698767981830972e-34,2.225054807458653e-90,1.6591328610329734e-115,3.545097769152024e-14,5.401619746102128e-19,2.058777787169092e-31,1.3897199033819898e-13,7.430252297437393e-14,5.927674511662113e-16,4.416889966473188e-37,5.883633106177797e-35,4.240369308743436e-35,1.8157397156594304e-47,4.691423214558145e-53,4.675118517779893e-72,3.922345975994612e-67,8.11793945366536e-84,7.313172188342843e-115,1.7848302419662395e-70,2.404434798500735e-96,9.233191995460058e-106,4.0681059961794446e-95
8.826472344361667e-20,0.0006651577600000001,0.2,0.0,0.0019575592871813588,0.19999999999996457,0.1999999999998514,0.19999999999999885,0.19999999999972207,3.193299663598572e-41,9.397599695638868e-34,9.735403859801808e-88,2.8798932130995713e-112,7.090243621217594e-14,1.0803312755520066e-18,8.235195341986664e-31,2.779458647721971e-13,1.4860605371961023e-13,1.185542938335063e-15,3.5335678865529216e-36,4.103596363590703e-34,2.7890271052679406e-34,7.263021641658611e-47,1.28593438359472e-51,5.1166875793766435e-70,6.157292553298609e-66,5.0959222099080303e-82,6.396411186906705e-112,1.9536706981087965e-68,1.052180929761842e-93,1.2114747094545788e-102,8.897164267558398e-93
1.7653004547475796e-19,0.0006651577600000001,0.2,0.0,0.0019575592866827142,0.19999999999992912,0.1999999999997028,0.19999999999999765,0.19999999999944412,6.386620983288804e-41,1.8795263123233524e-33,4.594015366212843e-85,5.417716842941156e-109,1.4180535321735291e-13,2.160669876885203e-18,3.294095227815153e-30,5.558936110661115e-13,2.97213115104262e-13,2.3710939005841185e-15,2.8268766728595626e-35,3.0414725101078398e-33,1.9899089098283937e-33,2.9052145500187717e-46,3.7960401379336443e-50,6.037499576394856e-68,9.75952522237543e-65,3.2303975777107954e-80,6.035514115819361e-109,2.305340059684996e-66,4.965325899159419e-91,1.9076778015612294e-99,2.0989609486717447e-90
3.5306068953704055e-19,0.0006651577600000001,0.2,0.0,0.0019575592856854256,0.1999999999998582,0.1999999999994056,0.19999999999999526,0.19999999999888823,1.2773263622655683e-40,3.7590589978338316e-33,2.254131444744278e-82,1.0615529656617999e-105,2.836111870831691e-13,4.321347077350025e-18,1.3176417111647442e-29,1.1117890933576126e-12,5.944272374502817e-13,4.742195776727645e-15,2.261510280723799e-34,2.336492494485222e-32,1.4953984729247013e-32,1.1620816692834059e-45,1.164666626515904e-48,7.406679676488591e-66,1.5574234856299433e-63,2.0618542539410713e-78,5.922198035787223e-106,2.8282959242167567e-64,2.4363498342943288e-88,3.3727953156535705e-96,5.149083891467153e-88
