Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49)
0.0,0.0006651577600000001,0.2,0.0,0.00195755928768,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.746030646984128e-25,0.0006651577600000001,0.2,0.0,0.001957559287679997,0.2,0.2,0.2,0.2,2.8024103055233748e-46,8.247246738060333e-39,-2.50167160620217e-116,-4.901103257969028e-154,8.944602752879521e-19,9.480887545644568e-24,9.51366247762469e-41,2.4392272654607773e-18,9.480887589863159e-24,1.0404215453017106e-20,4.334431936680884e-56,1.0019608368061751e-44,1.0019152223273984e-44,8.390590865003397e-57,3.529924158166603e-64,8.528901043404042e-90,2.0214333555600662e-82,-2.550687751778688e-107,-6.565893721428634e-184,9.674689923949847e-90
2.168888581155556e-24,0.0006651577600000001,0.2,0.0,0.0019575592876799903,0.2,0.2,0.2,0.2,7.84674885546545e-46,2.3092290866568934e-38,2.48811288673898e-115,9.13883188379826e-153,2.5044887708062577e-18,2.6546485127804674e-23,5.746252136484849e-40,6.8298363432895375e-18,2.654648525161673e-23,2.913180326844489e-20,6.550175467231696e-55,6.052383405637827e-44,6.051694077815767e-44,5.067916882232255e-56,2.13207436141591e-63,1.293919676444878e-88,3.057154427845978e-81,2.5235282846727745e-106,2.138095448515565e-182,1.6541740698344905e-88
4.957459614069842e-24,0.0006651577600000001,0.2,0.0,0.001957559287679978,0.2,0.2,0.2,0.2,1.79354259553496e-45,5.278237912358614e-38,1.3823394783067673e-113,1.1617622008898048e-150,5.7245457618428285e-18,6.067768029212447e-23,2.7665730484925648e-39,1.5611054498944504e-17,6.067768057512346e-23,6.658697889928848e-20,7.046372908275878e-54,2.9144966131701154e-43,2.9137550651122284e-43,2.439983823198292e-55,1.026502394907949e-62,1.4031327459753e-87,3.2940067143412065e-80,1.3938607378670393e-104,5.6243695594620805e-180,2.206840757751384e-87
1.0534601679898414e-23,0.0006651577600000001,0.2,0.0,0.001957559287679954,0.2,0.2,0.2,0.19999999999999998,3.8112780155117904e-45,1.1216255563762052e-37,5.526010799278351e-112,1.0752062672309363e-148,1.216465974391581e-17,1.2894007062076236e-22,1.2082351346576183e-38,3.3173490810244224e-17,1.289400712221352e-22,1.4149733016092763e-19,6.476827979079536e-53,1.2733040464156635e-42,1.2726224357604241e-42,1.0656050394992459e-54,4.483012385747764e-62,1.3103366540081096e-86,3.0374469091034925e-79,5.503003077033455e-103,1.0427330753997085e-177,2.8155949776309326e-86
2.168888581155556e-23,0.0006651577600000001,0.2,0.0,0.0019575592876799057,0.2,0.2,0.2,0.19999999999999996,7.84674885546545e-45,2.3092290866568925e-37,2.0130696886275222e-110,9.921009534980928e-147,2.5044887708061137e-17,2.654648512780314e-22,5.04414384563016e-38,6.829836343280283e-17,2.6546485251615195e-22,2.9131803268401407e-19,5.541061624498969e-52,5.3196895552304676e-42,5.3138582317099484e-42,4.4486912734191327e-54,1.8715809461102263e-61,1.1563130542051862e-85,2.615183212642199e-78,1.956547420796774e-101,1.9243234217712704e-175,3.75628775720133e-85
4.3997454074869846e-23,0.0006651577600000001,0.2,0.0,0.0019575592876798094,0.2,0.2,0.2,0.19999999999999987,1.591769053537277e-44,4.684436147218267e-37,7.170367419442207e-109,9.992362400603244e-145,5.0805343636349266e-17,5.385144125925426e-22,2.0606973472979577e-37,1.3854810867775663e-16,5.385144151041587e-22,5.909594377294193e-19,4.581456477395171e-51,2.1764494057423917e-41,2.1716279543961051e-41,1.8174355410090636e-53,7.646209568631926e-61,1.0144335831748475e-84,2.189710905804024e-77,6.655249347622761e-100,3.874565269966425e-173,5.334433175135217e-84
8.861459060149842e-23,0.0006651577600000001,0.2,0.0,0.001957559287679617,0.19999999999999998,0.2,0.2,0.19999999999999973,3.2059573895187403e-44,9.434850268341012e-37,2.6176364127712628e-107,1.1462775184370258e-142,1.0232625549291539e-16,1.0846135352214579e-21,8.329668154914435e-37,2.7904759916701086e-16,1.0846135402800645e-21,1.1902422478171591e-18,3.7255641498193726e-50,8.82328492348995e-41,8.784077681420143e-41,7.346365028346072e-53,3.0910312560151505e-60,9.19873660322354e-84,1.825244345224974e-76,2.235490694033453e-98,8.884039285458265e-171,7.963238776369095e-83
1.7784886365475558e-22,0.0006651577600000001,0.2,0.0,0.0019575592876792318,0.19999999999999993,0.2,0.2,0.19999999999999946,6.434334061481664e-44,1.8935678510586485e-36,1.0208918688934653e-105,1.5218174299331439e-140,2.0536807920600699e-16,2.176811780478858e-21,3.349322929861262e-36,5.600465801429053e-16,2.1768117906314465e-21,2.388807867980356e-18,3.00480238642511e-49,3.5684944206619358e-40,3.5368723605146498e-40,2.9539410582791046e-52,1.2433951082279775e-59,8.951829785142907e-83,1.5440820076130217e-75,7.588542835281496e-97,2.3575163393523664e-168,1.227463929502195e-81
3.5631740976126987e-22,0.0006651577600000001,0.2,0.0,0.001957559287678461,0.19999999999999982,0.2,0.2,0.1999999999999989,1.2891087405407508e-43,3.793733499507738e-36,4.4042677773256963e-104,2.353066728508522e-138,4.1145172663202793e-16,4.3612082709919395e-21,1.343228296989007e-35,1.1220445420842395e-15,4.3612082913324906e-21,4.785939108257618e-18,2.4136206576529763e-48,1.4477213383912078e-39,1.4223207822108208e-39,1.1846624752884579e-51,4.994789310153852e-59,9.659695537884539e-82,1.3558893827503456e-74,2.6673317941761557e-95,7.28658636839815e-166,1.92868254139775e-80
