Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
8.572249952723272e-22,0.0004434385066666667,0.2,0.0,0.0013050395251169784,0.19999999999999962,0.2,0.2,0.19999999999999782,3.24529872298589e-58,5.846232870548733e-46,1.764562273503033e-110,9.588643560308522e-150,8.082226979003635e-16,1.293030634320165e-22,2.447342944120518e-39,2.204054104732145e-15,1.2930306343351445e-22,9.40111407311241e-18,1.4234877638037019e-52,5.112657762904406e-41,1.3224789315106586e-41,3.584487352436642e-61,5.14076454349536e-65,5.502074650112782e-88,3.666927500400918e-85,7.573149617342246e-105,6.899736877097458e-187
1.7151947559619194e-21,0.0004434385066666667,0.2,0.0,0.001305039525113954,0.1999999999999992,0.2,0.2,0.19999999999999563,6.493416993081227e-58,1.1697545005103062e-45,8.285005044872614e-108,1.7977926813241904e-146,1.6171475875402113e-15,2.5871846662294856e-22,9.795749736155114e-39,4.410023113070807e-15,2.587184666259458e-22,1.8810395923034236e-17,1.139944710412441e-51,3.757776079682645e-40,7.225592376348846e-41,1.434729047677289e-60,1.5083627305884788e-63,6.456496530822919e-86,5.797021115037189e-84,4.790026696193738e-103,2.5872417611103768e-183
3.4311342773411045e-21,0.0004434385066666667,0.2,0.0,0.0013050395251079055,0.1999999999999984,0.2,0.19999999999999998,0.1999999999999912,1.2989653533271854e-57,2.3400169274211442e-45,4.049432950923156e-105,3.511021254854069e-143,3.2349973668049043e-15,5.175492730024135e-22,3.9195758498666183e-38,8.821961129608283e-15,5.175492730084093e-22,3.762895961514523e-17,9.124177937592372e-51,2.873149907722891e-39,4.437465546678934e-40,5.740784711548579e-60,4.6076842632953345e-62,7.888248508367088e-84,9.282995026770064e-83,3.068298089442318e-101,1.0105463281653207e-179
6.863013320099473e-21,0.0004434385066666667,0.2,0.0,0.0013050395250958082,0.1999999999999968,0.2,0.19999999999999996,0.1999999999999824,2.598212661365295e-57,4.680541781242708e-45,2.0239545038198652e-102,7.015142439886185e-140,6.470696925274276e-15,1.0352108857517463e-21,1.5680855673291162e-37,1.7645837162123848e-14,1.0352108857637392e-21,7.526608696843661e-17,7.301190903062004e-50,2.245265026494965e-38,3.0125064373820006e-39,2.29668746495766e-59,1.439375665896015e-60,9.85597675319551e-82,1.566121336525463e-81,2.0695143729501086e-99,4.0381900065420614e-176
1.372677140561621e-20,0.0004434385066666667,0.2,0.0,0.0013050395250716138,0.19999999999999354,0.2,0.19999999999999987,0.19999999999996473,5.196707277441448e-57,9.361591488885389e-45,1.0236193958209369e-99,1.4187125524198907e-136,1.2942096041972964e-14,2.0705341112120234e-21,6.2728527600194254e-37,3.529358922491744e-14,2.0705341112360103e-21,1.5054034155129693e-16,5.8416922337231125e-49,1.7749042325293386e-37,2.1949661678911705e-38,9.187495746174234e-59,4.549842671271539e-59,1.2461321535553947e-79,3.587247056604312e-80,1.890432954346251e-97,1.6333278046952739e-172
2.745428757664969e-20,0.0004434385066666667,0.2,0.0,0.001305039525023225,0.19999999999998708,0.2,0.19999999999999973,0.19999999999992943,1.039369650959349e-56,1.8723690904168964e-44,5.208541724753662e-97,2.887087989617241e-133,2.588489427441012e-14,4.141180561979023e-21,2.5092432054513397e-36,7.058909334155443e-14,4.141180562026998e-21,3.010888502221277e-16,4.673649609219206e-48,1.4113982655673902e-36,1.6699467575793927e-37,3.675146695887514e-58,1.4469611997900776e-57,1.585167591427695e-77,1.9554882891814302e-78,4.101764508193675e-95,6.647652239832409e-169
5.490931991871664e-20,0.0004434385066666667,0.2,0.0,0.0013050395249264474,0.19999999999997414,0.2,0.19999999999999943,0.19999999999985885,2.078767497389657e-56,3.744788973472904e-44,2.658474988459492e-94,5.8938612373510434e-130,5.177049073544357e-14,8.282473462898805e-21,1.0037177025668877e-35,1.411801015390277e-13,8.282473462994755e-21,6.0218586558423e-16,3.739038019362711e-47,1.1257068206397375e-35,1.301544711859906e-36,1.4700886035098548e-57,4.615886540252742e-56,2.0226855229291927e-75,2.0768748744036304e-76,1.7395159992150284e-92,2.7141749449740093e-165
1.0981938460285056e-19,0.0004434385066666667,0.2,0.0,0.001305039524732892,0.19999999999994825,0.2,0.19999999999999882,0.19999999999971765,4.157563190250128e-56,7.48962873958233e-44,1.35900946460968e-91,1.2051231517668912e-126,1.03541683642147e-13,1.6565059262281498e-20,4.0149116492766126e-35,2.823621177907713e-13,1.6565059262473404e-20,1.2043798883901975e-15,2.9912777481750554e-46,8.991982428728739e-35,1.0274700764761177e-35,5.880443966737075e-57,1.4747773160271547e-54,2.584976820514448e-73,2.5872099320332078e-74,8.66550205182661e-90,1.1099391916349098e-161
2.196395139711184e-19,0.0004434385066666667,0.2,0.0,0.001305039524345781,0.19999999999989648,0.2,0.19999999999999762,0.1999999999994353,8.315154575987018e-56,1.4979308271798552e-43,6.952623476472375e-89,2.466087591461494e-123,2.070840693941e-13,3.313023085121941e-20,1.6059728258470688e-34,5.647261497214469e-13,3.313023085160322e-20,2.408767902329185e-15,2.3930411304270578e-45,7.188077724077313e-34,8.16469387918126e-35,2.3523077021508545e-56,4.7155717466135065e-53,3.306146374609393e-71,3.29828123128424e-72,4.418708807901973e-87,4.5426174597138185e-158
4.39279772707654e-19,0.0004434385066666667,0.2,0.0,0.0013050395235715594,0.19999999999979293,0.2,0.1999999999999952,0.19999999999887058,1.663033734858208e-55,2.99586673364674e-43,3.558280040607122e-86,5.0484197067124685e-120,4.141688406521905e-13,6.626057398978533e-20,6.42390762208354e-34,1.1294542112915515e-12,6.626057399055296e-20,4.817543803515378e-15,1.9144404749961186e-44,5.748196027445183e-33,6.5097232503272325e-34,9.413213615071817e-56,1.508372214081548e-51,4.230123893082343e-69,4.218368083098064e-70,2.2605320126745993e-84,1.8598720816296062e-154
8.785602901807252e-19,0.0004434385066666667,0.2,0.0,0.001305039522023116,0.19999999999958584,0.2,0.19999999999999038,0.19999999999774112,3.326070296592223e-55,5.991738547465025e-43,1.8214096428856152e-83,1.0336678154589763e-116,8.283383821851094e-13,1.3252126010967752e-19,2.5695663016849567e-33,2.2589103252667745e-12,1.325212601112128e-19,9.635095099120685e-15,1.5315554048609172e-43,4.597549806809624e-32,5.198957838526781e-33,3.778091337907644e-55,4.825710017374933e-50,5.4132786599099104e-67,5.398023767599371e-68,1.1570734618491865e-81,7.616204429643103e-151
1.7571213251268676e-18,0.0004434385066666667,0.2,0.0,0.0013050395189262295,0.19999999999917167,0.2,0.19999999999998075,0.1999999999954822,6.652143881911246e-55,1.1983482203913902e-42,9.32395246463505e-81,2.1165716019975135e-113,1.656677461317899e-12,2.6504263172050353e-19,1.0278271625317361e-32,4.517822516557276e-12,2.6504263172357404e-19,1.9270195663263422e-14,1.2252455284001143e-42,3.6774761728601594e-31,4.1556251804470645e-32,1.552290802769016e-54,1.5439877642453386e-48,6.927757494888753e-65,6.908354107524759e-66,5.923259850279261e-79,3.119037185829096e-147
3.514243395019152e-18,0.0004434385066666667,0.2,0.0,0.0013050395127324563,0.19999999999834334,0.2,0.1999999999999615,0.19999999999096438,1.3304320606814214e-54,2.3966970440692055e-42,4.772859188981442e-78,1.2066376185021708e-109,3.313355603851284e-12,5.300853724263217e-19,4.11130986413947e-32,9.035646752498505e-12,5.300853724324628e-19,3.8540388683280644e-14,9.80196895861168e-42,2.9414981344743865e-30,3.323063260809383e-31,7.523274431376682e-54,4.939952399553428e-47,8.865661392468643e-63,8.841241207371084e-64,3.0322112437045736e-76,3.555711209369337e-143
7.028487534803722e-18,0.0004434385066666667,0.2,0.0,0.0013050395003449107,0.19999999999668666,0.2,0.19999999999992293,0.19999999998192872,2.661056504628793e-54,4.793397647894385e-42,2.442854929759731e-75,2.4711082915760663e-106,6.626711825989274e-12,1.0601708437746233e-18,1.6445241326956585e-31,1.8071294637821906e-11,1.0601708437869053e-18,7.70807422902693e-14,7.841576921887481e-41,2.3525938128650272e-29,2.6578431421515624e-30,7.213942204486167e-53,1.58038331261581e-45,1.1344099966745798e-60,1.1313921252149948e-61,1.552098744996491e-73,1.4565967108532405e-139
1.405697581437286e-17,0.0004434385066666667,0.2,0.0,0.0013050394755698227,0.1999999999933733,0.2,0.19999999999984586,0.19999999996385742,5.334401941276964e-54,9.58689342140173e-42,1.2499188799494886e-72,5.057499055664275e-103,1.3253424018550096e-11,2.1203417462178933e-18,6.578096458761107e-31,3.6142588062232796e-11,2.1203417462424574e-18,1.5416131977227934e-13,6.273262022768377e-40,1.8811751741724234e-28,2.125979189385854e-29,1.6336486229866996e-51,5.054844161694168e-44,1.4510885812081778e-58,1.4475016434987968e-59,7.943011596232771e-71,5.962294666108658e-136
2.1085464093942003e-17,0.0004434385066666667,0.2,0.0,0.0013050394507947373,0.19999999999005996,0.2,0.19999999999976878,0.19999999994578613,8.054989851784456e-54,1.4380682282514007e-41,1.0878383917504501e-71,3.2288054098466452e-102,1.9880135959395686e-11,3.1805126084078354e-18,1.397845440463322e-30,5.4213879140408044e-11,3.1805126084446815e-18,2.3124176752253783e-13,1.8623746800252512e-39,5.5832911650725375e-28,6.311196619063825e-29,7.558741052335469e-51,2.417907746008525e-43,9.754602663854304e-58,9.731022790155194e-59,6.913312540215033e-70,4.401744009245527e-135
2.8113952373511145e-17,0.0004434385066666667,0.2,0.0,0.0013050394260196543,0.1999999999867466,0.2,0.1999999999996917,0.19999999992771483,1.0913496879406429e-53,1.9175227321974224e-41,6.49798294347459e-71,3.751856639888343e-101,2.6506847648525985e-11,4.2406834303444546e-18,2.3845597556616707e-30,7.228516787234796e-11,4.240683430393583e-18,3.0832208554126093e-13,4.058016375323522e-39,1.216286075583383e-27,1.3751313073353827e-28,2.468647149348895e-50,8.0010136971746e-43,4.4873745308991135e-57,4.476695997423403e-58,4.129666958256878e-69,4.862164329903777e-134
