Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112),CH3X(35),SX(107),C2H6X(141)
7.794862409966004e-22,0.0005542981333333334,0.2,0.0,0.0016312994063959801,0.19999999999999973,0.19999999999999882,0.2,0.1999999999999978,2.862495037102373e-49,6.5770132048891926e-40,1.0677053156896834e-107,8.275522893471388e-138,5.715994784546707e-16,1.6274346129146142e-21,1.0065112780417522e-36,2.2407370007719134e-15,1.1980214675701432e-15,9.557580328168098e-18,9.382400518071977e-44,3.9327926914497635e-40,3.2513915288581297e-40,4.0996642424632616e-55,9.215543482133318e-63,1.524585991580589e-85,1.4306527808773305e-78,1.2206190862455793e-98,4.0266243984839683e-137,1.2043439519643287e-83,9.806925653124913e-115,6.014183940348808e-126,1.2446590900119662e-113,3.091022035199027e-129,1.7811210851969781e-149
1.5596497072243014e-21,0.0005542981333333334,0.2,0.0,0.0016312994063919567,0.19999999999999946,0.19999999999999762,0.2,0.19999999999999554,5.727477037746939e-49,1.3159740582849371e-39,3.2939176070175403e-105,1.0116168208181943e-134,1.1436955680945061e-15,3.2562831568462476e-21,4.0286681613757235e-36,4.483420775530937e-15,2.3970837878444687e-15,1.9123464373552313e-17,7.513529876066795e-43,1.9472198961994017e-39,1.4015464396989763e-39,1.640934056909023e-54,1.7826617678059223e-61,1.1761702399581384e-83,1.960318116434779e-77,6.680325876952984e-97,2.482719361080273e-134,9.303174808341588e-82,3.025927821753762e-112,3.869050813827595e-123,1.918270745012156e-111,3.7785284703171345e-126,5.505646287212496e-147
3.1199766396797032e-21,0.0005542981333333334,0.2,0.0,0.00163129940638391,0.19999999999999887,0.19999999999999524,0.19999999999999998,0.19999999999999105,1.1457441039035976e-48,2.632519533876925e-39,1.1538571780826892e-102,1.4074327614766552e-131,2.287887747362886e-15,6.5139802446773764e-21,1.6119920269739522e-35,8.96878832467974e-15,4.795208428379937e-15,3.8255232459594754e-17,6.01386917300074e-42,1.0777009581433415e-38,6.409412116722554e-39,6.565873295816899e-54,3.9095300311781925e-60,1.0302607146498654e-81,2.8731287022833395e-76,3.912470409794999e-95,1.7384644630981337e-131,8.150182862055502e-80,1.060038014476231e-109,2.939598329441075e-120,3.3579799067116935e-109,5.2569556488891866e-123,1.9313358233178804e-144
6.240630504590507e-21,0.0005542981333333334,0.2,0.0,0.0016312994063678163,0.19999999999999774,0.19999999999999044,0.19999999999999996,0.19999999999998208,2.291736904161365e-48,5.265610485060709e-39,4.5578063516733086e-100,2.209887444338785e-128,4.5762721058544785e-15,1.3029374420211074e-20,6.449017806829312e-35,1.7939523421500358e-14,9.591457709398136e-15,7.651876861277563e-17,4.812313744708478e-41,6.700367058751671e-38,3.205407143166468e-38,2.62677658434844e-53,9.665744328209601e-59,1.0176364593529523e-79,4.3861657237578727e-75,2.3877232524847277e-93,1.3727635974501705e-128,8.050419128253464e-78,4.187293653164689e-107,2.6866378588808944e-117,6.629354338675045e-107,8.254234662894926e-120,7.638191766924368e-142
1.2481938234412114e-20,0.0005542981333333334,0.2,0.0,0.0016312994063356289,0.19999999999999546,0.19999999999998083,0.19999999999999987,0.19999999999996415,4.5837225046767425e-48,1.0531792387427515e-38,1.988735673522126e-97,3.838659430668244e-125,9.153040822657006e-15,2.606016277076424e-20,2.5798170971304494e-34,3.588099360923364e-14,1.9183956271223583e-14,1.5304584084352145e-16,3.850338417678001e-40,4.5916061038239665e-37,1.7952888663552392e-37,1.0507959262273732e-52,2.6388666419782265e-57,1.1102921926461502e-77,6.849408275649425e-74,1.4909798027235203e-91,1.197546189164717e-125,8.783424562283512e-76,1.8270785318914984e-104,2.9823507981978515e-114,1.445893852208927e-104,1.4337922872460016e-116,3.335890216831529e-139
2.4964553694055327e-20,0.0005542981333333334,0.2,0.0,0.0016312994062712544,0.19999999999999088,0.19999999999996165,0.1999999999999997,0.19999999999992826,9.16769370570687e-48,2.1064156192158068e-38,9.299755266863428e-95,7.158018119097029e-122,1.830657825553941e-14,5.212173946981367e-20,1.0319688509558532e-33,7.176393396106841e-14,3.836895339403071e-14,3.0609998500254944e-16,3.08046571461985e-39,3.365766618268138e-36,1.1285787228134726e-36,4.203352961622431e-52,7.718003160579353e-56,1.298157735304032e-75,1.0827592922104183e-72,9.42619269544133e-90,1.1197393021309849e-122,1.0269627894950244e-73,8.543826655228102e-102,3.9836995701548706e-111,3.3800466160936845e-102,2.673618578777395e-113,1.5608606035538726e-136
4.9929784613341755e-20,0.0005542981333333334,0.2,0.0,0.0016312994061425054,0.19999999999998172,0.1999999999999233,0.1999999999999994,0.1999999999998565,1.8335636107764602e-47,4.212888380160694e-38,4.535509626619573e-92,1.3939022483845784e-118,3.661365311841365e-14,1.0424489285968491e-19,4.127959555356491e-33,1.4352981457021072e-13,7.673894763626988e-14,6.122082721107505e-16,2.4644505659658273e-38,2.56958936411303e-35,7.797944040144047e-36,1.6813739693992453e-51,2.3535399473996201e-54,1.5829043914176776e-73,1.7259988318463844e-71,6.00978529502985e-88,1.0920535863986217e-119,1.2522273008555588e-71,4.166843673986027e-99,6.216902203353366e-108,8.241438521103364e-100,5.2064173159457136e-110,7.614955475425239e-134
9.98602464519146e-20,0.0005542981333333334,0.2,0.0,0.0016312994058850071,0.1999999999999634,0.19999999999984655,0.1999999999999988,0.19999999999971296,3.667152091187e-47,8.425833902045577e-38,2.2643055588524453e-89,2.7808836606337107e-115,7.322780283259977e-14,2.084911996065167e-19,1.6512007532632297e-32,2.8706157541038654e-13,1.5347893610724776e-13,1.2244248414877335e-15,1.9715916504746337e-37,2.006445834741122e-34,5.746064088745255e-35,6.725552918671309e-51,7.345319107732431e-53,1.9757016474938087e-71,2.8079224177185448e-70,3.910023343621407e-86,1.0903147545126381e-116,1.5629760561917725e-69,2.080253205153332e-96,1.0863313424681879e-104,2.0571139765449134e-97,1.0386984353462188e-106,3.8023885698585963e-131
1.9972117012906032e-19,0.0005542981333333334,0.2,0.0,0.0016312994053700107,0.1999999999999268,0.19999999999969306,0.19999999999999757,0.1999999999994259,7.334329052004049e-47,1.6851724945795776e-37,1.1444816885728193e-86,5.619518841225603e-112,1.4645610221472268e-13,4.1698381296853776e-19,6.604837680759742e-32,5.741250955783026e-13,3.0695891299520176e-13,2.448857960884022e-15,1.5772857987844855e-36,1.5854427739951138e-33,4.399928894166368e-34,2.6902257792915636e-50,2.3207066167794953e-51,2.496573909727057e-69,5.181655724977094e-69,2.8831951526437743e-84,1.1021478356118027e-113,1.97506024828507e-67,1.0514533946073084e-93,2.0395076745091437e-101,5.1986456440828876e-95,2.098967860551058e-103,1.9220833501096118e-128
3.9944301748335175e-19,0.0005542981333333334,0.2,0.0,0.0016312994043400177,0.19999999999985357,0.1999999999993861,0.19999999999999513,0.19999999999885176,1.4668682973622034e-46,3.3703507033217905e-37,5.8214803158550055e-84,1.1430708454927643e-108,2.929127007939712e-13,8.339690391660089e-19,2.6419426501130454e-31,1.148252129864393e-12,6.139188665551028e-13,4.897724122245893e-15,1.2618336291748337e-35,1.2604312749064322e-32,3.441168900450056e-33,1.0760858815419234e-49,7.37837285497707e-50,3.174780626025858e-67,1.7142936609546293e-67,3.80259390394545e-82,1.1212137390898707e-110,2.511652525163645e-65,5.34828587483746e-91,3.990123447098752e-98,1.3221501346586694e-92,4.269527400209319e-100,9.777327168807792e-126
7.988867121919346e-19,0.0005542981333333334,0.2,0.0,0.001631299402280032,0.1999999999997071,0.1999999999987722,0.19999999999999024,0.19999999999770351,2.9337390816793654e-46,6.740707120774952e-37,2.9705276549540565e-81,2.332804143843697e-105,5.858258972124791e-13,1.667939489454659e-18,1.0567790910107636e-30,2.2965061742376078e-12,1.2278387728108773e-12,9.795456135246835e-15,1.0094688974294235e-34,1.0051161155304742e-31,2.721417853217124e-32,4.304294536119613e-49,2.3532795568972693e-48,4.0500112456726585e-65,1.4047921173110398e-65,1.2432478864525747e-79,1.1442788721872786e-107,3.2042168024817095e-63,2.729070633150497e-88,7.981387277540164e-95,3.3733799291274526e-90,8.713345502040243e-97,4.9894008100215126e-123
1.5977741016091003e-18,0.0005542981333333334,0.2,0.0,0.0016312993981600606,0.1999999999994142,0.19999999999754434,0.19999999999998044,0.19999999999540702,5.86748065028846e-46,1.348141995555746e-36,1.5180515773629253e-78,1.3275136604638342e-101,1.171652287089538e-12,3.3358803816067277e-18,4.227124549193366e-30,4.593014166188176e-12,2.455678581866316e-12,1.9590918922357647e-14,8.075759124255873e-34,8.027058105025388e-31,2.1645154142427864e-31,1.7216844951699244e-48,7.517134651218627e-47,5.174283880299313e-63,1.6696033292304035e-63,5.907245233047214e-77,1.169908726518721e-104,4.094072901810543e-61,1.3946579262304367e-85,4.4758956018305e-91,8.622356200714938e-88,4.958446772956037e-93,4.9893908646484714e-123
3.1955488804434317e-18,0.0005542981333333334,0.2,0.0,0.0016312993899201187,0.19999999999882836,0.19999999999508866,0.19999999999996085,0.199999999990814,1.1734963787433808e-45,2.6962845624667033e-36,7.76223490325089e-76,2.716037888102967e-98,2.3433050550038276e-12,6.671762132209441e-18,1.6908547552814055e-29,9.186029762905903e-12,4.91135818615275e-12,3.9181839541016245e-14,6.46061042694197e-33,6.414570689222374e-30,1.7265456798343612e-30,6.886757351681276e-48,2.4027824229035564e-45,6.614406564791313e-61,2.1146204848726596e-61,2.992482220772604e-74,1.1994803842287336e-101,5.23450363399362e-59,7.131287706232584e-83,9.130687182187365e-88,2.21008137461872e-85,1.014477643061702e-89,4.979046241570585e-123
6.3910984381120945e-18,0.0005542981333333334,0.2,0.0,0.0016312993734402359,0.19999999999765672,0.1999999999901773,0.19999999999992166,0.19999999998162796,2.3469930063080432e-45,5.392569696233716e-36,3.9687195789689256e-73,5.55468546765033e-95,4.6866105434730945e-12,1.334352549860518e-17,6.763455280919466e-29,1.837205940760796e-11,9.822717339427859e-12,7.836366095609118e-14,5.168489512196968e-32,5.126384919796634e-29,1.3791793247279155e-29,2.755652144075394e-47,7.680982854197076e-44,8.454625327017066e-59,2.700713539730338e-59,1.5287367424377487e-71,1.251649509310347e-98,6.693257647502096e-57,3.646125856440804e-80,1.8645729753909416e-84,5.7656099822764605e-83,2.0747516960573056e-86,-7.009616865366558e-123
9.586647995780758e-18,0.0005542981333333334,0.2,0.0,0.0016312993569603548,0.19999999999648507,0.19999999998526596,0.19999999999988247,0.19999999997244192,3.520489634508371e-45,8.088854830251141e-36,3.4536632044161746e-72,3.546022796808545e-94,7.029915984583044e-12,2.001528873018591e-17,1.4372402660685513e-28,2.755808750357688e-11,1.4734076437405206e-11,1.1754546254893376e-13,1.5343954136994255e-31,1.5211954753876088e-28,4.0926708466228844e-29,5.859111644366663e-47,3.673559686809421e-43,5.682535860973487e-58,1.8152661332732862e-58,1.3303692076965308e-70,1.2207912271048092e-97,4.499158482939821e-56,3.172935528124013e-79,1.1906099888392404e-83,4.476288057841063e-82,1.3244884615425014e-85,3.973609634769768e-114
1.2782197553449422e-17,0.0005542981333333334,0.2,0.0,0.0016312993404804755,0.19999999999531343,0.19999999998035461,0.19999999999984328,0.19999999996325588,4.693986264625581e-45,1.0785139965231059e-35,2.062744432597191e-71,4.119963343843208e-93,9.37322137833367e-12,2.6687051826946297e-17,2.4517727823782413e-28,3.674411405081293e-11,1.964543548008481e-11,1.5672724431955377e-13,3.343366935611489e-31,3.313358788836417e-28,8.915556347118255e-29,1.0005196499750643e-46,1.215455885129671e-42,2.613765863978501e-57,8.349858532040062e-58,7.946008964854817e-70,7.966587652474721e-97,2.0696052989568834e-55,1.8950764038519735e-78,1.3825499413275668e-82,2.272769204827355e-81,1.5388631783432135e-84,2.1122936321364273e-113
