Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49)
0.0,0.002217192533333333,0.2,0.0,0.006525197625599999,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.486913172852309e-25,0.002217192533333333,0.2,0.0,0.006525197625599995,0.2,0.2,0.2,0.2,7.183147335818145e-62,1.2940057496469002e-49,4.816756748437497e-136,-1.5053306204738298e-181,8.944604510624434e-19,1.4309976290150552e-25,4.494254065912686e-45,2.439227744804664e-18,1.430997629031633e-25,1.0404217497595752e-20,6.749328244745607e-62,3.1056909474231315e-48,3.0877201835410454e-48,1.3164969232400988e-67,1.4865016533321257e-78,-2.0999639833183895e-107,1.0361058213430796e-96,-6.975505944452936e-122,-2.3947843448140583e-221,-5.111809801933547e-105
2.6563356883986465e-24,0.002217192533333333,0.2,0.0,0.006525197625599989,0.2,0.2,0.2,0.2,2.011281254029081e-61,3.623216099011321e-49,9.71508778077293e-134,4.9132458609044666e-179,2.5044892629748397e-18,4.00679336124215e-25,2.7145294558112226e-44,6.829837685452941e-18,4.006793361288569e-25,2.913180899326053e-20,1.0199585539527947e-60,1.8942153799902512e-47,1.867057959639357e-47,7.951641415979572e-67,4.721867661647609e-77,1.2238824113386201e-105,1.6638523399854696e-95,7.644064507421373e-121,1.4045450199609784e-218,2.863563334936776e-103
6.071624430625478e-24,0.002217192533333333,0.2,0.0,0.006525197625599977,0.2,0.2,0.2,0.2,4.597214294923613e-61,8.281636797740162e-49,4.657895996708272e-131,2.1951683676327673e-175,5.72454688679962e-18,9.15838482569632e-25,1.3069290823673468e-43,1.5611057566749006e-17,9.158384825802422e-25,6.658699198455971e-20,1.0972248737843907e-59,9.301769113532334e-47,9.009621976442859e-47,3.8283730521962655e-66,1.0656870866436294e-75,1.2878485774240661e-103,2.0080707233312355e-94,4.678649330149611e-119,1.2573418407183832e-214,3.035724399121665e-101
1.290220191507914e-23,0.002217192533333333,0.2,0.0,0.006525197625599953,0.2,0.2,0.2,0.19999999999999998,9.769080376712677e-61,1.7598478195197838e-48,1.636665856732185e-128,3.838670791193569e-172,1.2164662134449134e-17,1.9461567754604583e-24,5.707702663708458e-43,3.317349732933918e-17,1.9461567754830047e-24,1.4149735796703663e-19,1.0085386946110455e-58,4.221210927401372e-46,3.952677375787566e-46,1.671951091909452e-65,2.0677348658968514e-74,1.064045985053107e-101,2.2476077361129194e-93,2.2360435162413e-117,4.3981704088062095e-211,2.510056739425494e-99
2.656335688398647e-23,0.002217192533333333,0.2,0.0,0.006525197625599904,0.2,0.2,0.2,0.19999999999999996,2.0112812540290808e-60,3.623216099011319e-48,5.147016102662863e-126,5.323323376762424e-169,2.504489262974797e-17,4.00679336124208e-24,2.3828535057463153e-42,6.82983768545117e-17,4.0067933612884994e-24,2.913180899315048e-19,8.628260866651825e-58,1.894872246828336e-45,1.6651361399907263e-45,6.980066681569746e-65,3.830487154703733e-73,8.124060166243171e-100,2.6107879679278123e-92,1.0694816402298403e-115,1.21993434460842e-207,1.9166042566357324e-97
5.388566682180112e-23,0.002217192533333333,0.2,0.0,0.006525197625599808,0.2,0.2,0.2,0.19999999999999987,4.0800276867447064e-60,7.349952657994389e-48,1.598918345941475e-123,6.9104038252514e-166,5.080535362034489e-17,8.128066532805201e-24,9.734734076924497e-42,1.3854813590482542e-16,8.128066532899367e-24,5.909595538584984e-19,7.134012938788536e-57,8.824432301191515e-45,6.924929746890579e-45,2.8515849910012875e-64,7.229202965253242e-72,6.220280297560453e-98,3.2963678738236496e-91,5.4708562200209346e-114,3.167362229949871e-204,1.4674838983220353e-95
1.0853028669743042e-22,0.002217192533333333,0.2,0.0,0.0065251976255996155,0.19999999999999998,0.2,0.2,0.19999999999999973,8.217520552175958e-60,1.4803425775960523e-47,5.237101644026601e-121,9.214183587146166e-163,1.0232627560153566e-16,1.6370612875930958e-23,3.934935158897588e-41,2.790476540053276e-16,1.6370612876120613e-23,1.1902424817047143e-18,5.801260843137303e-56,4.442682609654158e-44,2.8980386848221696e-44,1.1526562443538981e-63,1.4606624498397234e-70,5.058717567341358e-96,4.530968249848908e-90,3.0246258574990717e-112,8.446499217347396e-201,1.1934501044411209e-93
2.17819526448689e-22,0.002217192533333333,0.2,0.0,0.00652519762559923,0.19999999999999993,0.2,0.2,0.19999999999999946,1.6492506283038454e-59,2.9710372011892764e-47,1.886463048697003e-118,1.3339292555707829e-159,2.0536811956390504e-16,3.285570556218053e-23,1.5822201209174715e-40,5.600466902058312e-16,3.285570556256116e-23,2.388808337366062e-18,4.678927035096653e-55,2.49061049416695e-43,1.2447992202981565e-43,4.63478004736126e-63,3.270276119383314e-69,4.5409098135861256e-94,6.639278650322436e-89,1.7770740332346467e-110,2.4455121062432195e-197,1.0712892733997702e-91
4.363980059512062e-22,0.002217192533333333,0.2,0.0,0.00652519762559846,0.19999999999999982,0.2,0.2,0.1999999999999989,3.3042477744763433e-59,5.952426448375718e-47,7.571296231745338e-116,2.1401353226305933e-156,4.1145180748859493e-16,6.582589093467188e-23,6.345410350110709e-40,1.1220447626048344e-15,6.582589093543448e-23,4.7859400485644195e-18,3.758368645556217e-54,1.5636979567256168e-42,5.6299460765892315e-43,1.8587540821459837e-62,8.18667241518368e-68,4.549596733910259e-92,1.012832635623109e-87,1.0855533114324773e-108,7.846818298008409e-194,1.0733387038822894e-89
